{'短评内容': '出差方便之选', '短评打分': 4}
{'短评内容': '一般般，主要是坐车方便', '短评打分': 4}
{'短评内容': '房间还算可以，就是靠近汽车站，比较差，酒店外面的比较乱脏。', '短评打分': 4}
{'短评内容': '机场大巴就在下面很方便', '短评打分': 3}
{'短评内容': '不是真的七天，', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错！在携程上定的，很好', '短评打分': 5}
{'短评内容': '电视机都是个烂电视。房间也太不好了。', '短评打分': 3}
{'短评内容': '真的好一般，设备真的好旧。。。。', '短评打分': 3}
{'短评内容': '服务上总体还可以，但是硬件条件确实不怎么样，当然这与价格直接相关，', '短评打分': 4}
{'短评内容': '155元标间，竟然和我说这个价格没有洗漱用具，汗，99连锁，100元都比7天好！！！', '短评打分': 3}
{'短评内容': '卫生不错的。设施老了点', '短评打分': 4}
{'短评内容': '还行吧，服务挺好！', '短评打分': 4}
