{'短评内容': '州医院对面', '短评打分': 4}
{'短评内容': '差评', '短评打分': 1}
{'短评内容': '服务及恶劣', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '旁边是酒吧、幼儿园，很嘈杂，不利于睡眠啊！凌晨两三点还在打架吵闹，大清早又被旁边的学校喇叭吵得我睡不着觉啦', '短评打分': 5}
{'短评内容': '早餐有粉，鸡蛋，豆奶。适合带孩子一起住，酒店位置不太好找。酒店设施齐全，各方面还不错。前台特别有耐心，很满意。', '短评打分': 5}
{'短评内容': '携程网上订的，房间设施陈旧，空调噪音大，空气里透着霉味，最可恨的是卫生间还趟水！早餐超级差，上批客人吃完后的食物残渣留桌上都没收拾，苍蝇到处飞，没住过这么差的酒店，差差差差评', '短评打分': 3}
{'短评内容': '该酒店不诚实，9℃左右居然说没空调，在入住时还不告知客人，另所谓的早餐就是一个鸡蛋，一个烂面包及一盒牛奶，如图所示！现在还觉一样一样的与他价位不符，特别有种车欺骗的感觉，此处绝对实情真话，忘大家别再上当……', '短评打分': 1}
{'短评内容': '是个老酒店，设施设备比较旧，浴巾都破旧得有洞了，其他都挺好', '短评打分': 5}
{'短评内容': '只能这个评价了，除了位置离夜市近，没什么可取之处。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '酒店可以，每次都定的是这家酒店。稍微旧一点', '短评打分': 5}
{'短评内容': '位置挺好的，房间卫生不错，总体不错。', '短评打分': 4}
{'短评内容': '比较不错，紧临市中心，环境也还可以。', '短评打分': 3}
{'短评内容': '很旧了，一股骚味', '短评打分': 3}
{'短评内容': '地段还是不错就是有点旧。房间有股旧的味道！', '短评打分': 3}
{'短评内容': '房间还不错，市中心闹中取静，早餐有待加强。', '短评打分': 3}
{'短评内容': ' 酒店很新的，干净卫生。孩子来了就上网，电脑也是新的，网速很快。服务员工作很热情。', '短评打分': 3}
{'短评内容': '软件服务很好很热情，但是不能上网。因为修路弄坏了光纤，运气不好。硬件很好。', '短评打分': 5}
