{'短评内容': '值得去，很好', '短评打分': 5}
{'短评内容': '早餐免费就好了', '短评打分': 5}
{'短评内容': '很干净，连锁酒店卫生还是不错的，交通也方便，只是不带早餐差了点其它的都还不错！希望商家继续努力，带早餐就更好了！', '短评打分': 5}
{'短评内容': '很干净，连锁酒店卫生还是不错的，交通也方便，只是不带早餐差了点其它的都还不错！希望商家继续努力，带早餐就更好了！', '短评打分': 5}
{'短评内容': '很干净，连锁酒店卫生还是不错的，交通也方便，只是不带早餐差了点其它的都还不错！希望商家继续努力，带早餐就更好了！', '短评打分': 5}
{'短评内容': '给好评是我的一贯作风，这次也一样。好评！好评！好评！（重要的事情说三遍）', '短评打分': 5}
{'短评内容': '挺安静的  睡得很舒服', '短评打分': 5}
{'短评内容': '卫生很好！服务很好！每次出差都来这住', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 3}
{'短评内容': '住的还好，到了唐县这里是首选', '短评打分': 5}
{'短评内容': '每次来唐县都住这里，挺好的', '短评打分': 4}
{'短评内容': '没啥说的了，不知道说啥', '短评打分': 5}
{'短评内容': '还何以吧！卫生可以，服务不错，设施一般，，，', '短评打分': 4}
{'短评内容': '怎么说呢，还算比较好，就是电视没法看啊，宾馆网速慢，就别整这网络的呀。你的知道自己的网速有几斤几两。', '短评打分': 5}
{'短评内容': '位置方便，价格合适，室内配套齐全，推荐入住', '短评打分': 3}
{'短评内容': '酒店楼下背后有个可以停车的小院，对于自驾的住客还是比较方便的。', '短评打分': 4}
