{'短评内容': '房间很大，干净，酒店位置非常满意，交通方便。前台接待很有礼貌，有问必答，行李寄存提供方便，下次还要住在这里。', '短评打分': 4}
{'短评内容': '不错的房间，赞一个哦', '短评打分': 5}
{'短评内容': '酒店还可以，就是楼下KTV吵的无法入睡。', '短评打分': 5}
{'短评内容': '地段不错，带个早餐', '短评打分': 4}
{'短评内容': '还好，比较好找', '短评打分': 5}
{'短评内容': '房间可以的，性价比高，这个价位我都地理环境也不错。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间可以的，性价比高', '短评打分': 5}
{'短评内容': '还过得去', '短评打分': 4}
{'短评内容': '还过得去', '短评打分': 4}
{'短评内容': '酒店卫生很不错，经济实惠，出差很方便，就是旁边有两个歌城有点吵', '短评打分': 5}
{'短评内容': '这个价位的房间，不说什么了，还可以吧，至少空调好用，热水充足。服务是不错的！', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '干净 总体都不错 适合各种群体 各种性质的出游', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '周边方便，适合步行逛逛', '短评打分': 4}
{'短评内容': '还是比较干净的酒店 就在酒吧一条街上 环境佳', '短评打分': 5}
