{'descr': '性价比超高', 'star': 4}
{'descr': '挺好的，每次都很满意！唯一的遗憾就是早餐，太差了！比以前差多了', 'star': 5}
{'descr': '性价比很好', 'star': 5}
{'descr': '条件一般', 'star': 4}
{'descr': '交通便利，早餐有点单调', 'star': 4}
{'descr': '不错，可以推荐，有早餐', 'star': 5}
{'descr': '还可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 4}
{'descr': '还可以。。。', 'star': 4}
{'descr': '价格适中，位置及环境均可，设施稍显陈旧。', 'star': 4}
{'descr': '一般', 'star': 4}
{'descr': '早餐简单，服务一般。', 'star': 5}
{'descr': '建议房间除除味。整体感觉不够好。', 'star': 3}
{'descr': '很好，房间大而且很干净，还有早餐……', 'star': 3}
{'descr': '还不错，就是返现的钱怎么反的啊', 'star': 4}
{'descr': '环境可以，交通方便，前台服务超级赞！', 'star': 3}
{'descr': '在这个价位来说，还是不错的，就是房间隔音不大好', 'star': 5}
{'descr': '千万别去，服务差，而且房间设施也差，席梦思像太阳晒过茄子弹簧严重寿命到期，墙面发霉有味，要求换房，就说房间已满（其实有房，后来自已人透露才知道的），早上7点入住，11点实在受不了就走了，下次再也不会去了。', 'star': 1}
{'descr': '总体来说还是不错的吧，性价比比较高，这次入住比较满意', 'star': 5}
{'descr': '一般般吧，早餐不好', 'star': 3}
{'descr': '酒店还行，蛮大的，有早餐，但睡过头没吃到！', 'star': 3}
{'descr': '很好，蛮干净，空间也大，，推荐   ，因为楼层高，较安静', 'star': 5}
{'descr': '比较的安静，就是房间的下水有点问题，马桶老是堵着！', 'star': 5}
{'descr': '房间很大,是4星酒店的水准,装修得也不错.性价比非常高.就是酒店大门朝内,应该再设个标志.', 'star': 5}
