{'短评内容': '位置还好，早餐很一般', '短评打分': 4}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。积挺大,设施虽然有些旧了,房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 5}
{'短评内容': '非常不错，很好非常不错，很好非常不错，很好非常不错，很好非常不错，很好非常不错，很好非常不错，很好非常不错，很好非常不错，很好', '短评打分': 5}
{'短评内容': '非常不错，很好，非常不错，很好非常不错，很好非常不错，很好非常不错，很好非常不错，非常不错，很好非常不错，很好', '短评打分': 5}
{'短评内容': '不错，帮忙预定的，不知怎样，自己感觉这个酒店还是很不错的。', '短评打分': 5}
{'短评内容': '挺好的 挺干净 也安静', '短评打分': 5}
{'短评内容': '比较好找。', '短评打分': 3}
{'短评内容': '真的非常棒，环境，设施，服务都很好！价格还很便宜！以后到成都还回去住！', '短评打分': 5}
{'短评内容': '真的非常棒，环境，设施，服务都很好！价格还很便宜！以后到成都还回去住！', '短评打分': 5}
{'短评内容': '真的非常棒，环境，设施，服务都很好！价格还很便宜！以后到成都还回去住！', '短评打分': 5}
{'短评内容': '风风光光哈哈哈哈哈哈', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '还不错，就是电视不清楚。', '短评打分': 3}
{'短评内容': '还是可以的咯～～～～', '短评打分': 4}
{'短评内容': '一般的商务旅行，距离办公地点近', '短评打分': 4}
{'短评内容': '价格公道，房间设施一般，周边有不少有特色的餐馆', '短评打分': 4}
{'短评内容': '酒店很棒 房间很大 环境不错 要是去火车站的话 打车也很便宜', '短评打分': 5}
{'短评内容': '很好，环境挺不错的！', '短评打分': 3}
