{'短评内容': '感觉还可以吧，总体给好评', '短评打分': 5}
{'短评内容': '還行吧  旅遊', '短评打分': 5}
{'短评内容': '不错的，以后有机会，还会去住。经济实惠。', '短评打分': 4}
{'短评内容': '这个价格在观前街已经很实惠了，环境也还好。', '短评打分': 3}
{'短评内容': '这个时间段入住，这个价位入住。还算不错。', '短评打分': 3}
{'短评内容': '交通方便，基本设施齐全', '短评打分': 3}
{'短评内容': '环境还行，日用品太旧了，毛巾都是破的', '短评打分': 4}
{'短评内容': '地理位置挺好的，可惜去的话酒店门前在修路，所以有点吵', '短评打分': 4}
{'短评内容': '有点七天的风格，不过总体上很连锁酒店还有很大差距。商务大床房，1米5德床，房间小，应该较单人房。厕所从入住一直就有股臭臭的味道，卫生还有待加强', '短评打分': 3}
{'短评内容': '要求不高的话可以入住的，周围环境不错，交通便利', '短评打分': 4}
{'短评内容': '感觉的确不错 位置别按地图推荐 最好打电话 火车高铁下车后 做公交游1路到观前街北下车 一共7站 过了路口就看见了 挺好 房间也齐全 到拙政园 博物馆走路也就二十分钟 坐车五分钟 满分好评', '短评打分': 5}
{'短评内容': '服务还行，前台服务员态度是不错的，就是这设施太糟糕了吧，好好得旅游心情都被破坏了，卫生间的淋裕间和毛巾简直都不想说什么，还好我们自己带了毛巾，还有床单上又是污渍又是补丁的，我也真的是醉了。', '短评打分': 3}
{'短评内容': '服务环境都比较一般', '短评打分': 3}
