{'短评内容': '性价比之选。对得起这个价格', '短评打分': 4}
{'短评内容': '地理位置优越周边就是商业圈。设施较为陈旧。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '宜昌市中心区域，非常便利，服务一般吧。', '短评打分': 3}
{'短评内容': '房间不错，值得推介', '短评打分': 4}
{'短评内容': '环境丶交通丶卫生都很好，前台服务员业务不熟、手忙脚乱丶问她们问题态度不好且质疑客人，希望改进！', '短评打分': 4}
{'短评内容': '各个方面都挺好的，适合出差', '短评打分': 4}
{'短评内容': 'jiu  dian tiao jian hao ,wei zhi hao ,chu xing hen fang bian de.fu wu dao wei ,wei sheng tiao jian hao ,zhi de xia ci zai guang lin.', '短评打分': 5}
{'短评内容': '与价格成正比！', '短评打分': 3}
{'短评内容': '经常过来住，一楼餐厅服务态度一般', '短评打分': 5}
{'短评内容': '位置好，交通方便，安静舒适，非常不错。', '短评打分': 5}
{'短评内容': '环境和各方面条件都很好，价格合适！', '短评打分': 5}
{'短评内容': '就是停车位少了点，还有房间隔音不好，门口单行道', '短评打分': 4}
{'短评内容': '酒店位置在市中心主义闹中取静，干净卫生，很好，适合一家人自助游，早餐较差，可以自己出去吃，强烈推荐酒店', '短评打分': 5}
{'短评内容': '酒店服务很好早餐丰富，只要来郑州就住这', '短评打分': 3}
{'短评内容': ' 很干净', '短评打分': 3}
{'短评内容': '酒店的前台服务员表现欠佳，一点笑容都没有，难得的是前台的毛主管还是一个比较负责。在此谢过！', '短评打分': 5}
{'短评内容': '酒店设施很不错，交通便利，房间布置舒适，下次来还要住这里！', '短评打分': 3}
{'短评内容': '环境不错，酒店地段也不错，在市中心，周边比较热闹，去哪都方便。房间才装修，订的有一间卫生间门关不上，装修工人的问题。但是，服务不错，马上给换房。', '短评打分': 5}
{'短评内容': '隔音效果差,晚上走廊集外面的声音严重影响睡眠.', '短评打分': 1}
{'短评内容': '酒店服务很差，大堂和客房服务员没有笑容，对客人的问题应付、不解决实际问题。客房宽带网第一天上不去，打电话客房服务部说来检查，等了几个小时也不来。房间电话使用没有说明，如何与大堂、客服部联系都查不到；淋浴间门安装不正确，门缝很大，淋浴时水都流到外面，地巾乃至地面都湿了。总之，服务与价位不符。', '短评打分': 1}
{'短评内容': '酒店装修的异味很大，早餐很差。房间硬件设施与四星级不符', '短评打分': 1}
{'短评内容': '酒店新装修的，挺舒服，价格也合适。地段很好，老城区中心，周边很安静，小路绿化很好，吃饭也非常方便，很多不错的大小饭店。', '短评打分': 5}
{'短评内容': '性价比很高，服务也有四星级，非常，非常不错！', '短评打分': 5}
{'短评内容': '服务、环境卫生不错\n房间应该有免费的矿泉水、咖啡来满足客人的需要\n房间冰箱空的，完全闲置在那，可以备一些零食、饮料之类的东西', '短评打分': 5}
{'短评内容': '新装修的！还可以！地段蛮好的！！！！！！！！！！！！！！！！！！！！！！！\n！', '短评打分': 5}
{'短评内容': '干净、舒适，就是我的那个房间没有饮料、零食、方便面之类的东西\n也就是说房间配置的冰箱相当于是个摆设，完全是空的\n住这样的房间应该赠送水果、房间还要有免费的矿泉水赠送\n总之：还不错。我提的一些要求希望有待改进', '短评打分': 5}
{'短评内容': '这家酒店干净舒适，服务好， 又近市中心， 特别是价钱合理。 我们全家都非常喜欢。再来宜昌还会住此。', '短评打分': 5}
{'短评内容': '新装修的，环境和服务都还挺好的，价格也不贵，下次还会去', '短评打分': 5}
