{'短评内容': '环境好，干净卫生', '短评打分': 5}
{'短评内容': '不错不错不错不错不错', '短评打分': 5}
{'短评内容': '地理位置不错，干净卫生，空间也不小，wifi也不错，挺舒适的', '短评打分': 5}
{'短评内容': '繁华地段，而且房间十分舒服。', '短评打分': 5}
{'短评内容': '环境不错，而且给人感觉十分清新，装修比较简约。', '短评打分': 5}
{'短评内容': '很不错的', '短评打分': 5}
{'短评内容': '经济适用', '短评打分': 4}
{'短评内容': '房间有点小，有点旧，位置挺方便', '短评打分': 5}
{'短评内容': '房间有点小，有点旧，位置挺方便', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间旧了点', '短评打分': 5}
{'短评内容': '相当差，服务员太叼了，简直无法沟通，', '短评打分': 3}
{'短评内容': '干净舒适，服务跟得上，价格就更没得说了，', '短评打分': 3}
{'短评内容': '干净，舒适，出行方便。', '短评打分': 3}
{'短评内容': '酒店很好，值得入住。', '短评打分': 3}
{'短评内容': '地理位置不错因是晚上到的，周围很热闹。', '短评打分': 3}
{'短评内容': '酒店整体感觉还可以，设施比较新。前台的服务态度很好，但是wifi连上以后老是断，还有电梯的地板开裂了，有点恐怖= =', '短评打分': 5}
{'短评内容': '酒店门面很小，没有电梯，价格略高于当地其他宾馆，设施陈旧，', '短评打分': 1}
{'短评内容': '还不错，挺安静的。睡觉舒服，下次过来益阳继续入驻', '短评打分': 5}
{'短评内容': '店面的招牌很小，很容易就忽略。但是房间装修和空调都很不错，面积也比较大', '短评打分': 5}
{'短评内容': '这里的感觉很温馨，交通也方便，还不错吧！', '短评打分': 5}
{'短评内容': '环境布置不错，不过和宣传图片还是有点差距的。建议床单不用白色。', '短评打分': 3}
{'短评内容': '还不错。房间整体布局还不错。有个半月的蓝色灯。可惜不能单独开。', '短评打分': 5}
{'短评内容': '卫生状况较差，舒适度不行，在那住了两天挺受罪的，推荐大家到益阳最好去华天，实在不行就在街上找个好点的宾馆也行。这个地方不仅贵的不行，招待所的装修和设施，价格还比三星级的还贵。', '短评打分': 1}
{'短评内容': '色彩搭配的不错~有现代感~和一般的酒店比还是有不少优点的', '短评打分': 5}
{'短评内容': '环境干净服务周到', '短评打分': 5}
{'短评内容': '就店比较干净', '短评打分': 5}
{'短评内容': '给我的感觉干净整洁，下次到达此地还会选择住此宾馆，我对该酒店的服务态度非常满意！', '短评打分': 5}
{'短评内容': '宾馆位置可以，环境不好，有股难闻的霉味。房间面积算大，但不卫生，住的不是很放心。以后不会选择这家了。入住不能刷卡，只能给现金。听本地人说益阳能住的就只有华天了。', '短评打分': 3}
{'短评内容': '酒店地段可以，但烟味很重，房间也感觉不是那么干净。还不可以刷卡。路上问了当地益阳人，他们说益阳只有华天能住。', '短评打分': 5}
{'短评内容': '该酒店设施一般，费用有限的朋友可以入住。', '短评打分': 5}
{'短评内容': '酒店不错，很小，但很温馨。旁边就是超市，交通也很方便，性价比高，适合年轻情侣和短期出差的人。', '短评打分': 5}
{'短评内容': '房间布置显得很温馨，性价比不错', '短评打分': 5}
{'短评内容': '酒店名字很好听，装修也挺好看的，感觉很舒服。', '短评打分': 5}
{'短评内容': '整体环境还行，客房特别干净，空间虽然不大但布局合理，挺好的。', '短评打分': 5}
{'短评内容': '服务态度不错，位置好，下次来还住这！', '短评打分': 5}
{'短评内容': '好喜欢这种房间布置，很适合年轻人出行至此入住，年轻时尚的感觉！服务和位置也很好。', '短评打分': 5}
{'短评内容': '周围的交通便利，出去办事比较方便，适合来益阳办事住。', '短评打分': 5}
