{'descr': '还好。', 'star': 3}
{'descr': '带妈妈去医院看病住这里很近，环境也很好，周边很多小饭店，不错！', 'star': 5}
{'descr': '还行吧', 'star': 4}
{'descr': '……我们自己也许我的', 'star': 1}
{'descr': '老宾馆了', 'star': 2}
{'descr': '???，携程上订的四晚1132收的我1192，而且那鬼畜电水壶开关几乎没用，一会儿没注意一壶水烧开了五六遍', 'star': 3}
{'descr': '距离皮研所超近，出门左转再左转即到，相当方便。夜间环境较安静，睡眠质量不错。有电脑上网，小孩很开心。', 'star': 4}
{'descr': '挺好的，房间很卫生，普通大床房的配置吧，电视相对其他酒店来说算不错的，起码不会有收不到台的情况。有无线。', 'star': 5}
{'descr': '酒店还比较干净，周围环境一般啊，离我要去的地方非常的近，出行也很方便。前台服务还可以吧嗯，感觉周边吃饭的地方蛮多的，', 'star': 4}
{'descr': '距离医院很近，走路五分钟就到了，附近吃饭的地方多，药店也很近，挺方便的', 'star': 5}
{'descr': '卫生间抽气扇比拖拉机还要响，外面烧水的什么东西响了一夜。', 'star': 3}
{'descr': '房间不大！设施够用！', 'star': 3}
{'descr': '很一般的酒店，不太值这个价格', 'star': 3}
{'descr': '酒店环境不错，设施齐全，周边环境还好，，很方便，价格也很便宜', 'star': 5}
{'descr': '出差一直住这里，习惯了，觉的还不错', 'star': 4}
{'descr': '好！！！！！！', 'star': 5}
{'descr': '好！！！！！！', 'star': 5}
{'descr': '还不错的，交通方便，也很干净卫生，重要的是院子里还可以停车，离汽车站很近', 'star': 5}
{'descr': '还可以，就是房间有点小，不过这个价钱也就差不多这个样子', 'star': 5}
{'descr': '交通方便 也很安静 但去的时候遇到房屋刷漆 。。。。。。', 'star': 5}
{'descr': '挺不错的，环境较好，交通方便，装修时间稍长一些了，不过可以避免甲醛了', 'star': 5}
{'descr': '只能说一般。房间的隔音性比较差，外面人说话，可以听的一清二楚，睡眠轻的人不建议入住', 'star': 5}
{'descr': '感觉很干净也很安静的 很喜欢 位置也比较好找 马路边上就有牌子。', 'star': 5}
{'descr': '环境安静，房间干净，总体干净不错，下次旅游还会入住', 'star': 5}
{'descr': '距离汽车东站很近，走路几分钟就到了，酒店周围很安静，很难得，屋子打扫的很干净，墙壁还是彩色的，很温馨，唯一的缺点就是厕所不是一般的滑，虽然有地巾可是相对而言太小了，厕所真的是很滑', 'star': 5}
{'descr': '环境安静，交通较便利，感觉不错。', 'star': 3}
{'descr': '服务很好吧，值得推荐！就是酒店大堂位置不在路边，在里面，需要辨认的找下', 'star': 5}
{'descr': ' 硬件不错，软件还须改进', 'star': 3}
{'descr': '前台的服务态度很好。房间也不错。蛮大的，硬件设施也很好。', 'star': 5}
{'descr': '宾馆离汽车东站很近，交通方便，但没地铁。环境也较安静，房间虽小，但很干净。以前应该是安全生产研究所的招待所吧。', 'star': 3}
{'descr': ' 这酒店位置满好的，离火车站和汽车站都很近。', 'star': 3}
{'descr': '隔音差,隔壁打呼噜都能传过来,早歺难吃', 'star': 3}
{'descr': '卫生还好,很安静,隔音差点.', 'star': 3}
{'descr': '很安静，环境不错。似乎是机关单位改造，前台穿公务员制服似的。觉得待遇不错。', 'star': 5}
{'descr': '干净整洁 交通便利。就是招牌不够醒目，找了好久才在院子里找到', 'star': 5}
{'descr': ',今天上午入住的，环境不错。差一双拖鞋，送上来吧', 'star': 3}
{'descr': '比较实惠，设施不算很豪华，但是也够了，还蛮干净的，性价比高', 'star': 5}
{'descr': '房间很干净，环境也很好，感觉挺好的！', 'star': 3}
{'descr': '性价比比较高，比较安静，就是房间的隔音效果稍差，服务人员的态度也蛮热情的', 'star': 5}
{'descr': '强烈推荐啊。\n距离火车站和汽车站都近。坐公交车很方便。环境不错，性价比高。\n第二天早上早餐的时候把包忘在餐厅了。自己还没意思到东西丢了，是前台打电话过来才知道的。酒店的流程很完善，餐厅服务员发现后立刻交给保卫部登记，保卫部再交给前台寻找失主。非常感动，想拿钱答谢他们无论如何都不收。\n以后来南京就住这个酒店了。', 'star': 5}
{'descr': '长途东站这附近性价比很高的一家酒店了，而且在大院里，很安静，外面吃的很多。\n最关键是因为不是太好找，所以一般不会客满，容易订到。', 'star': 5}
{'descr': '很好。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '位置不错，挨这客运站，在大院内，闹中取静。\n卫浴设施老旧了一些，其它还不错。', 'star': 5}
{'descr': '很好 入住了两次了 性价比较高 比较干净和温馨', 'star': 5}
{'descr': '交通便利，管理规范！距离长途东站步行5分钟路程，很方便！', 'star': 5}
{'descr': '房间还可以，但是不配送早餐就有点太差强人意了！', 'star': 5}
{'descr': '酒店还可以，在花园路上，离中科院皮肤研究所很近。步行10分钟就到了。非常方便。', 'star': 5}
{'descr': '近南京火车站,长途汽车东站,性价比还行的酒店', 'star': 1}
{'descr': '停车场不归酒店管，隶属整幢建筑的单位，保安嚣张的一塌糊涂。', 'star': 3}
{'descr': '空调效果较好，交通也方便！还有内部停车场！就是车进去时门太小了。', 'star': 5}
{'descr': '朋友说：一点都不为客人考虑，中午午休时（12：00－14：00）服务员来敲门，然后吸尘器非常吵的开始打扫卫生！搞得睡不好觉！', 'star': 5}
{'descr': '帮朋友订的酒店，因为其它的酒店没有订到，朋友说服务态度非常差，下次不住！酒店设备还好！朋友还说，头一天说早餐12元，第二天早晨去买时，就说15元（还说因为有团队餐，好一点），还一点都不好！', 'star': 5}
{'descr': '服务员那个笨啊！问了3个问题，一个都没有回答个所以然，还爱理不理的！服务态度一般！酒店设备可接受！', 'star': 5}
{'descr': '还是不错的地方，单位培训定的，挺干净，环境也挺好', 'star': 5}
{'descr': '环境一般，马桶漏水，室内气味比较大，总体服务还算可以。', 'star': 1}
{'descr': '地理位置不错，房间还算可以，有宽带。性价比不错。要是提供早餐就更好了。', 'star': 5}
{'descr': '位置很好，房间不是很干净。卫生间味道比较大，不过价格在那，还算性价比高。 \n ', 'star': 5}
{'descr': '环境还不错，就是进房间时有股味道，排气机的声音有点大', 'star': 3}
{'descr': '房间的距离太近,隔音效果有点不好,而且没有提供免费早餐', 'star': 5}
{'descr': '房间设施不错,地理位置挺好!!!!!!!!!!!!!!!!!!!', 'star': 5}
{'descr': '隔音太差了，晚上都没有睡好', 'star': 3}
{'descr': '还不错，就是早上很吵\n真心吵啊，房间里面还有蟑螂\n而且网线也比较短啊\n', 'star': 5}
{'descr': '感觉不错的。住的还行。。房间很干净。周围环境也很好。不吵闹。就是隔音有待提高。', 'star': 5}
{'descr': '卫生环境很好', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '该酒店的环境不错，晚上睡觉很安静。但是房间的网络、前台服务员的态度能够更热情一点，我相信业务会更好。', 'star': 5}
{'descr': '环境不错～很干净～价格也很合理～就是插座有坏的～充电不是很方便～要是有无线网覆盖就更好了～再有就是外面要是有些比较明显的牌子设置在路边就好了～因为在花园路朝其中一个方向走不回头看看的话很可能就看不到中安之家的牌子……', 'star': 5}
{'descr': '     地处汽车东站附近，地址不错，交通便捷。酒店服务较人性化，其它与一般快捷酒店差不多，总体还不错。', 'star': 5}
{'descr': '离皮研所比较近，房间隔音效果较差，手机充电床头没有电源不是很方便，房间不提供早餐。应该人性化一点早餐还是应该满足客人正常所需的。', 'star': 5}
{'descr': '还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错', 'star': 5}
{'descr': '房间的设施有点陈旧，第一次入住电话是坏的，不过他们维修很及时，维修效率蛮高的。前台员工服务态度很好。', 'star': 5}
{'descr': '酒 店 还 行，总 台 的 服 务 水 平 需 提 高。房间的隔音效果较差。邻近长途车站，远离市区，倒是价格蛮公道。', 'star': 5}
{'descr': '刚刚办好入住手续。非常满意,价廉物美,物超所值。实为工薪层首选.....', 'star': 3}
