{'短评内容': '早饭不错唯一就是在马路边6点就吵醒了', '短评打分': 5}
{'短评内容': '房间私密性很好 宽敞明亮 早餐一般 ', '短评打分': 5}
{'短评内容': '下次还会来', '短评打分': 5}
{'短评内容': '可以，经常住。方便、安静', '短评打分': 5}
{'短评内容': '第一次住，环境，房间，价格都不错，值得选择，下次还来。', '短评打分': 5}
{'短评内容': '有点老旧了', '短评打分': 4}
{'短评内容': '设施全服务好！', '短评打分': 4}
{'短评内容': 'very good', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '总体挺好的，套房两间房各一床，只是小床间没有空调，略有不足！', '短评打分': 4}
{'短评内容': '还不错 蛮好的 干净卫生 细节', '短评打分': 5}
{'短评内容': '交通方便，中心，吃饭方便，早歺一般', '短评打分': 5}
{'短评内容': '非常安静，一直都来。', '短评打分': 5}
{'短评内容': '环境很好 性价比非常高 下次还会来', '短评打分': 5}
