{'短评内容': '干净', '短评打分': 5}
{'短评内容': '不足点房间只有个小天窗，其它都还不错', '短评打分': 5}
{'短评内容': '酒店是新装修的，下电梯是前台，特别好闻的香味，前台服务人员态度非常好，本来定的无窗的，加20元升级内床，房间很干净，没有异味，很宽敞，床特别舒服，很软！距离三坊七巷打车十分钟左右，楼下就是沃尔玛超市，很方便！这个价格非常划算！', '短评打分': 5}
{'短评内容': '房间很温馨设施不错，服务热情，交通方便。', '短评打分': 5}
{'短评内容': '卫生可以，但有欺骗之行，窗间是内窗，辨说上面只说有窗，非常讨人嫌，态度也差', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店位于市中心，楼下到福州汽车南站，机场大巴都很近，还有公交车去到各个景点！酒店网络速度很快，我这次住的是632房间，离WIFI发射信号器很近，测了下网速有1M/秒非常快，热水也是很快的。需要改进的地方1.632房间衣服架在卫生间内部，很不方便。另外装一次性卫浴用品的盒子也坏掉了。希望酒店可以修理一下2.酒店早餐在7楼，可是每天的品种都是一样的，感觉还是要多变换下，这样才能更吸引顾客到店常住。', '短评打分': 4}
{'短评内容': '环境不错。交通便利', '短评打分': 5}
{'短评内容': '环境很好，价格合理', '短评打分': 5}
{'短评内容': '设施老旧，环境不好，是隔间出来的', '短评打分': 4}
{'短评内容': '酒店环境还可以，出行也较便利，楼下是超市，外观设计不错，酒店服务态度一般。', '短评打分': 5}
{'短评内容': 'manyi', '短评打分': 4}
{'短评内容': '酒店位置不错，楼下就是沃尔玛大超市和公交车站，离机场大巴也近，旁边吃饭也方便，卫生条件还可以，早餐难吃了点。房间比较安静，服务员态度也不错。', '短评打分': 4}
{'短评内容': '酒店离机场大巴点很近，楼下有大卖场，周围吃饭的地方多，斜对面是长途汽车站，门前公交站，很便利。', '短评打分': 5}
{'短评内容': '还不错，下次有机会还来。服务卫生都挺好的！', '短评打分': 5}
{'短评内容': '很好！很舒服！就是网速有点慢', '短评打分': 3}
{'短评内容': '1、虽然有停车场但不是很理想。\n2、晚间入住时前台只有一个服务员，过于忙碌了些。\n3、住的是带有电脑的大床房，但是窗户外是一堵墙，导致房间内空气不好，入住是4月份，不是开空调的季节，无窗户自然通风不畅……\n4、卫生间下水道排水不畅。\n5、客房隔音效果极差，睡到半夜，隔壁客房客人在卫生间与门外的客人说话，声音极为清晰。\n6、早餐米有什么东东吃，但是好似管饱喔。\n7、推荐还是不推荐这家酒店真不好说，住', '短评打分': 5}
{'短评内容': '快捷酒店還有雙早餐! 是我安排客戶的最大條件!', '短评打分': 5}
{'短评内容': '位置很好，就在五一路上，离公交站很近。房间大，也整洁，就是墙壁太薄，隔音效果非常差。早饭也一般，不过不算钱，呵呵。', '短评打分': 5}
{'短评内容': '隔音不是很好 床铺太响了 交通方便 不爱爱还是可以住的', '短评打分': 1}
{'短评内容': '说是大床房，但是床铺不会大到哪里去！床铺还有响！', '短评打分': 1}
{'短评内容': '和酒店人员发生了一些不太愉快的事情。服务上存在很大的问题！房间设置，特别是7层的床板要换下了。翻下身都响的很厉害，纠结！！', '短评打分': 1}
{'短评内容': ' 除了毛巾不干净 隔音不好 其它还好', '短评打分': 3}
{'短评内容': '环境不错。卫生也还可以，下次还会来！挺方便的····', '短评打分': 5}
