{'descr': '服务周到，环境不错，隔音差一点点，其他都很好', 'star': 5}
{'descr': '一般般吧！', 'star': 4}
{'descr': '没有停车场，热水器水很凉，马桶不能放水，空调不热，房间不算隔音，打呼噜都听得见！电视是老式的背头的！', 'star': 4}
{'descr': '非常不错，屋子很暖和', 'star': 5}
{'descr': '还可以吧  墙上有墙皮脱落  但是不是很大', 'star': 5}
{'descr': '奔着速8快捷酒店的口碑来的，价格实惠，所以也就毛病不少，这个浴室的门是关不上了，淋浴头也是破破烂烂的。', 'star': 3}
{'descr': '不错啊。', 'star': 5}
{'descr': '还不错，就是信号太差，Wifi也不给你，住的还挺舒服', 'star': 5}
{'descr': '挺好的，专业都不错啊，服务也挺好了，入住快捷', 'star': 5}
{'descr': '房间干净，小点，淋浴头不好，根本就是一股水，喷不出水，为什么没窗，因是楼的中间，附近没有大的饭馆，要想吃点好的，要走上一段，', 'star': 4}
{'descr': '房间下水道反味，好难闻！', 'star': 3}
{'descr': '房间小，设备陈旧，床ta的，床品陈旧，总的随便住一下无所谓，但商务出行不推荐，离火车站好远，卫生间好小，马桶还是老式的', 'star': 4}
{'descr': '好像是这样', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '一般', 'star': 3}
{'descr': '隔音效果差，离火车站有快2公里的距离，走路要15-20分钟左右。卫生还凑乎着，服务员也算热情，2楼就是餐厅也算方便。', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '长春站出来坐1路公交4站即到酒店，酒店服务不错，设施和卫生也对得起房价。购物要走很远，吃饭很方便，选择也多，都在后面的小巷里。', 'star': 4}
{'descr': '长春站出来坐1路公交4站即到酒店，酒店服务不错，设施和卫生也对得起房价。购物要走很远，吃饭很方便，选择也多，都在后面的小巷里。', 'star': 4}
{'descr': '还好', 'star': 4}
{'descr': '环境不错,经济实惠', 'star': 3}
{'descr': '房间很昏暗，而且毛巾都破了，而且电视又旧，也没几个台，住了很不舒服', 'star': 1}
{'descr': '还不错哦·交通方便··酒店的性价比也算是比较高的', 'star': 5}
{'descr': '位置好，离火车站近，打车也方便，卫生条件也不错，总体来说，是物有所值。推荐入住。', 'star': 5}
{'descr': '说是有窗的房间 结果只是个不到半平米的通气窗  还被住宅挡住光线  其他都还好', 'star': 5}
{'descr': '隔音太差了 要是运气不好隔壁正好 ~~ \n\n啥时候完事啥时候睡觉吧 亲呐 ~', 'star': 5}
{'descr': '离车站近 交通方便，安静，就是价格高和房间设施不相配！', 'star': 5}
{'descr': '周围环境特别差，也很不方便，买个东西都要走很远.房间也特小.不过里面的饭莱做的挺好吃。', 'star': 1}
{'descr': '服务员态度不错，人挺好。环境也不错，\n缺点。。。隔音也太，，，，，这隔壁这一夜都 。。。。那啥\n叮当的。哈哈', 'star': 5}
{'descr': '服务很不错，配置也不错，就是位置比较偏僻。价钱偏贵', 'star': 5}
{'descr': '不错，经济实惠型酒店。住宿比较舒服，设施也不错。', 'star': 5}
{'descr': '去的时候正在装修，隔音有点差，早饭实惠。在繁华地段，离火车站较近', 'star': 5}
{'descr': '酒店在一条幽深的小巷子里，闹中取静，过去应该是个大宅院，庭院很漂亮，房间装修精致，设施现代，格调古雅，总之是西塘数一数二的酒店了，就是价格有点小贵，建议住这间酒店可以附带拍个写真大片之类的，也算是值回票价了，呵呵~', 'star': 5}
{'descr': '住着还好，很方便。', 'star': 3}
{'descr': '中秋入住该酒店，感觉如下：\n1、住在一楼，到了晚上，楼上是木地板，隔音效果极差，就感觉是人在自己头顶上走来走去，明显感觉到楼上，扔下两只拖鞋，然后倒在床上睡去；\n2、房间的桐油味很大，可能是新装修的原因；\n3、结账时酒店不给开发票，说是网站上都有注明，但这种注明也太隐蔽了吧，要开发票需要去旅游局开，还要加收税款，还没遇到过这样的情况，这象是一个正规酒店的做法么；\n4、结账只能以现金，不能拉卡。', 'star': 1}
{'descr': '老板热情，服务周到，唯一的遗憾（房间不配电脑）', 'star': 5}
{'descr': '垃圾酒店，比如家差远了，隔音效果非常差！', 'star': 3}
{'descr': '酒店装修较简单面积较小', 'star': 3}
{'descr': '房间小，有点暗，窗户太小。价格还可以，有早餐。', 'star': 5}
{'descr': '酒店一般，设施稍差，环境不太好，性价比一般。', 'star': 1}
{'descr': '酒店还可以吧，有早餐，不过有点单调。窗户有点小。', 'star': 5}
{'descr': '这个价钱的酒店也就这样,房间有点小,还错凑合吧', 'star': 5}
{'descr': '房间还是一般，酒店离火车站还是很紧，性价比也就一般。', 'star': 3}
{'descr': '房间卫生设施还可以，离火车站也很近还不错，价格还是可以的。服务态度也不是太差。', 'star': 5}
{'descr': '经济型的酒店条件不是很好.尤其是速8类的酒店.室内的卫生条件一般.其它各方面还行.', 'star': 3}
{'descr': '位置好靠近火车站及汽车站,出行方便,不过室内条件相对来讲并不是很达标.', 'star': 3}
{'descr': '硬件设施太差，电视不清楚，而且灯光很差。最主要的是房间里竟然没有冰箱，水，吃的啥地都没有，想要喝水，吃东西得跑到前台去买，很不方便。', 'star': 1}
{'descr': '房间有很重的霉味,感觉很不舒服,而且服务员有些不通情理', 'star': 1}
{'descr': '房间太小，服务霸道、隔音差。原定17平方实际不到12平方（含卫生间）。得看服务员眼色。隔壁屋还在干活儿，日本sm不用看。', 'star': 1}
{'descr': '酒店还可以，性价比很高，交通比较方便，服务很周到。', 'star': 3}
{'descr': '位置还可以，给我的房间有宽带，没有电脑，后来调了房间，服务员让我加10元钱。大概是刚开业的缘故，感觉不是很好，酒店的老板态度很好，相当于导游了，帮我介绍得很详细，谢谢他。', 'star': 5}
{'descr': '订的没有窗户的大床房，感觉空气不是很好，有早餐还可以吧', 'star': 5}
{'descr': '酒店的卫生条件还可以，很干净，服务不错，很周到热情，舒适度不错', 'star': 5}
{'descr': '+厕所反味，网络不是无限。', 'star': 5}
{'descr': '总体感觉比较差,尤其是卫生间设施.居然连最起码的浴帘都没有,一洗澡一地都是水,弄得马桶,纸篓到处都是水,而且水流特别小,相当不舒服,强烈不推荐.', 'star': 1}
{'descr': '整体感觉较差，位置很乱，停车场也没有人管。但价格还算可以，第一次入住，打算换酒店。', 'star': 1}
{'descr': '+好', 'star': 5}
