{'descr': '早餐一般，房间有点旧，价格偏高了！', 'star': 5}
{'descr': '除了早餐，都差', 'star': 1}
{'descr': '鸿华给我的感觉还是很高大上的 是因为在崇明这个地方 有这么个酒店无论从哪方面讲都是很不错的 房间布置的很温馨 就连加床睡的都非常舒服 如果自助早餐能在跟上节奏 就真的很棒了', 'star': 4}
{'descr': '还行', 'star': 4}
{'descr': '总体还不错，满意', 'star': 4}
{'descr': '房间还不错，比较大，酒店有养牛羊，孩子很喜欢，崇明空气清新，适合度假。', 'star': 5}
{'descr': '懒得评价。', 'star': 3}
{'descr': '酒店不错，位置较偏，周边无购物点', 'star': 4}
{'descr': '有温水泳池，有牛，羊，鸡，狗，孔雀小动物给小朋友看喂，还是室内儿童活动室。离崇明县中心也不远。安静，干净。适合家庭亲子游。家庭房很大。', 'star': 4}
{'descr': '不错，就是吃的一般，周围也没什么好的餐馆', 'star': 5}
{'descr': '代人预定的，不过反馈下来，据说很不错，可以推荐一下，很舒适，很整洁，客服服务很周到，所提到的要求也都满足了，总体很好', 'star': 5}
{'descr': '代订房间，据说很不错', 'star': 5}
{'descr': '非常好，非常满意，一家人过来度假，非常满意，小孩也玩的很开心，而且正好是长假末期，人也不多，非常的舒服。', 'star': 5}
{'descr': '訂的大床房被升級到家庭房和豪華房，很滿意!!   但是早餐部的飲食不好吃，都是冷的，沒有保溫裝置。咖啡沒有也是說了好幾次才補上，看到工作人員都在玩手機、聊天!!  這方面需要極度改善!!其他都還不錯。', 'star': 3}
{'descr': '设施略旧', 'star': 4}
{'descr': '一般般吧，在游泳池还掉下了陷阱！还好没出事，不然一定索赔到底', 'star': 3}
{'descr': '在陈海公司旁一家酒店，地址还是容易找到，但房间有股异味，早餐品种似乎少了些，服务还行吧', 'star': 3}
{'descr': '房间很大，环境也超棒，适合度假！就是客房服务服务得瑟了点，睡个懒觉，被敲门2次要求打扫！', 'star': 3}
{'descr': '整个酒店环境不错，作为度假酒店来说，规模还是有的，房间的装修、配套也很好，床很大！只是泳池居然在建有点失望，早餐的品质相对它58的价格也不是很高。', 'star': 5}
{'descr': '酒店总体还可以，位置绍偏点。', 'star': 3}
{'descr': '房间不错，环境不错，餐饮不错，\n客房服务有待改进。', 'star': 5}
{'descr': '房间很大很干净，不过服务不到位，给的门卡竟然开不开房间，等了很久客房服务才来说这间房的门卡有问题要换间房，是前台没有交接好，早餐品种不多。', 'star': 5}
{'descr': '大堂无空调，客房服务差，早餐厅太小，游泳池收费，中餐价格太贵', 'star': 1}
{'descr': '服务差。无中央空调。游泳要收费。一次性拖鞋要收费。', 'star': 1}
{'descr': '已经不止一次入住了，此次恰好周末后，偌大的一家度假酒店，就俺两个人入住。环境地方设施还是不错的。', 'star': 5}
{'descr': '比较好的酒店，安静舒适，适合自驾游居住。唯独餐馆味道不好。', 'star': 5}
{'descr': '整体感觉不错，硬件设备较好。餐饮感觉一般，希望改进！', 'star': 5}
{'descr': '离景点都很近，不过需要自驾游，有车的话就很方便啦，酒店环境很好，住的很舒服，', 'star': 5}
{'descr': '環境很好，離景點不遠，飯店很新房間也很棒!!酒吧很舒服適合聊天，其他附設設施也很好，有麻將間，游泳池，健身房，等等，如果要五星評鑑，到是櫃檯服務要多加強!!不夠專業親和，沒笑容~早餐餐廳人太多，導致餐具不足，桌子也隨便擦擦，有待加強!', 'star': 5}
{'descr': '房间挺大挺爽的的，床也挺舒服的，就是窗户不关的话，有虫子会飞进去。', 'star': 5}
{'descr': '酒店硬件环境一流，国庆期间任员比较多，但是服务还是不错的。就是价格自驾游的话小贵，希望能有优惠套餐就好了。早餐还是比较丰富的，就是国庆人实在太多，但是服务员态度还是很好的，有缺的食物补充的还是比较及时。以后还是会去。', 'star': 5}
{'descr': '酒店环境十分不错，适宜休假。住房条件也比较好，房间大，而且温馨，下次长假还准备前往。', 'star': 5}
{'descr': '酒店蛮新的，硬件设备不错，早餐很好，适合自驾游的住。', 'star': 5}
{'descr': '酒店很不错，环境好，值得推荐。下次去还会住这个酒店', 'star': 5}
{'descr': '酒店交通方便，房间安排得比较安静，酒店前台客服态度非常好，有温馨如家的感觉。', 'star': 5}
{'descr': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', 'star': 5}
{'descr': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', 'star': 5}
{'descr': '属于该地区不错的酒店，硬件尚可，服务人员的熟练成都还不够，需要加强', 'star': 5}
{'descr': '酒店环境不错，还有中餐厅菜的味道比以前好。\n', 'star': 5}
{'descr': '五星级的酒店，三星级的享受。酒店前台面无表情，问话也不回答，表情僵硬', 'star': 1}
{'descr': '我们是第一次登上崇明岛旅游,从网上选择该酒店,是考虑它的地理位置比较理想,位于西沙湿地和东平森林公园之间,入住后的感觉很不错,值得推荐.', 'star': 5}
{'descr': '长江大桥下来后,沿陈海公路一直开就能找到上海鸿华度假酒店.被子蛮干净,睡觉感觉好,就是早餐太单调了.', 'star': 5}
{'descr': '我住的是9号楼，可能是刚刚装修不多久，大堂里，走道里以及房间里的装修后的刺鼻味道非常浓。本人认为近期不适合居住！最起码一年以后，等气味完全散发了，再考虑入住这家酒店。还有这家酒店只适合自驾游，如果没有车子，出行很不方便。另外离商业区很远。', 'star': 1}
{'descr': '.酒店及其一般。卫生状况差，房间地板和桌子都没有擦干净，三星都够不上。', 'star': 3}
{'descr': '环境很优美，有五星级的气派，但是吃饭不够特色，且菜量太少，味道也不是最好。房间没有充电器，希望以后可以配齐，作为五星级酒店，应该要面面俱到。', 'star': 5}
{'descr': '我住的是行政大床房，酒店房间整体感觉很不错，配置装修都很新。酒店周围环境一般，没有好的风景，晚上黑乎乎的一片，不适合在酒店周围溜达，电视没有IPTV，看电视节目不太方便。光住宿的话，强烈推荐。', 'star': 5}
{'descr': '房间挺大的，床也挺舒服的，就是可能是乡下的关系，窗户不关的话，有虫子会走进来，，，，这里有网球场和篮球场，不错的', 'star': 5}
{'descr': '酒店还是不错的，很大很新的酒店，酒店服务人员都很友善', 'star': 5}
{'descr': '早餐质量太差，环境太烟，东西太少。有待改善。\n', 'star': 5}
{'descr': '房间大但床太小。环境清幽', 'star': 3}
{'descr': '房間裝修有特色，早餐中等，約值30元，泳池需付費難怪假日連一個客人也沒有。', 'star': 5}
{'descr': '距离离市区比想象的远  环境还不错 饭菜一般', 'star': 5}
