{'短评内容': '周边相对性价比比较高的酒店了。', '短评打分': 5}
{'短评内容': '态度极为不好', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店有停车场，价位还合理，就是浴室水龙头不好用', '短评打分': 3}
{'短评内容': '酒店有电梯，免费停车区，24小时热水，就是热水需要放一会才能出，浪费了。房间也很大，设计很独特，大窗，宽敞明亮，透明玻璃浴室，有遮挡布，不是夫妻出行可以拉上，整体都很好，就是卫生间味道太大，开窗通风好了，但晚上一夜还那样，我看了看发现是浴室地漏没有盖，反的味，楼下没看到仓买超市，只有各种饭店，经济实惠好吃', '短评打分': 4}
{'短评内容': '还不错，整体各方面都还可以，前台有个美女，哈哈', '短评打分': 3}
{'短评内容': '挺好的，环境什么的都挺好的，值得评价推荐。', '短评打分': 5}
{'短评内容': '交通便利，周边设施完善，房间有点偏小，下次选择大一点的房间。', '短评打分': 4}
{'短评内容': '不错环境好干净服务不错', '短评打分': 3}
{'短评内容': '非常不错，以后有机会还会再次光顾', '短评打分': 3}
{'短评内容': '去铁岭一直住这里，落了东西，酒店耐心给寄了回来', '短评打分': 5}
{'短评内容': '位置好，交通便利，房间有点小，但是很整洁', '短评打分': 5}
{'短评内容': '房间太小了', '短评打分': 3}
{'短评内容': '舒服，舒适，舒心', '短评打分': 5}
{'短评内容': '在此价位感觉不错！经济适用！以后继续入住！出差旅游选择比较合适', '短评打分': 5}
{'短评内容': '隔音不是很好。装修一般，不是特别豪华，不过这个价位，还有窗户，也很好了。', '短评打分': 5}
{'短评内容': '房间小了点，其他都很不错。卫生设施很好。', '短评打分': 5}
{'短评内容': '环境很好，干净整洁。卫生间不是很大，不过不影响使用。', '短评打分': 5}
{'短评内容': '服务不错，，房间也很好，，很满意，，大家可以考虑', '短评打分': 5}
{'短评内容': '还不错，，就是厕所有点小。。而且洗澡的地方跟厕所没有门隔着，', '短评打分': 5}
{'短评内容': '服务非常好，房间也不错，哈哈', '短评打分': 3}
{'短评内容': '双人间不错，干净，舒适。挺适合出差人员的，主要是价格不错，只可惜早餐没有！', '短评打分': 5}
