{'短评内容': '卫生不好，空调不好用，！！', '短评打分': 2}
{'短评内容': '整体可以', '短评打分': 5}
{'短评内容': '环境不错,面积挺大,地理位置好找 性价比高 设施完善。设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。 前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的。', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '有停车场的', '短评打分': 5}
{'短评内容': '电视机无法正常看', '短评打分': 3}
{'短评内容': '还不错 打了客服电话解决了问题', '短评打分': 5}
{'短评内容': '周边啥都没有，小店都要很远，连免费瓶装水都没，毛巾N小，就是其它酒店的擦手布', '短评打分': 4}
{'短评内容': '环境设施非常好，房间也大', '短评打分': 5}
{'短评内容': '对这个酒店还是比较满意的，房间大，设施全，按商务方设计的，就是感觉有点旧', '短评打分': 5}
{'短评内容': '还不错，蛮干净的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '价格实惠，划算', '短评打分': 5}
{'短评内容': '位置不错，服务也可以，挺实惠的', '短评打分': 5}
{'短评内容': '早餐真心差', '短评打分': 3}
{'短评内容': '酒店还是不错的，就是前台只有一个人，效率不太高，套房是两个浴室，但是有一个是没有毛巾的，淋浴只有一个固定花洒，不太好用而且比较旧，其他都还可以', '短评打分': 5}
{'短评内容': '第一感觉还可以，可是后来发现居然网络都没有，早餐也差，拖鞋收费，停车场太小', '短评打分': 4}
{'短评内容': '价格偏高，房间挺大，订的套房，棋牌间没有空调很热，服务挺好的，下次还会住', '短评打分': 5}
{'短评内容': ' 总体不错，房间很大，也很干净，还有书桌方便上网，离商圈开车也就几分钟，就是有些过路车乱鸣喇叭。给好评！', '短评打分': 3}
{'短评内容': '房间很大，就是周围吃饭不方便。有点郁闷，位置稍微有些偏', '短评打分': 5}
{'短评内容': '酒店很宽敞干净，服务很好，我带了笔记本电脑去的还主动拿了网线给我，很好，下次还会订', '短评打分': 3}
{'短评内容': '干净，房间很大，洗手间也很干净。就是没有吹风机不方便。', '短评打分': 5}
{'短评内容': '经常住这家，最主要是男朋友觉得干净~~浴室的水洗澡很舒服，整个环境都很舒适~而且有一次没有订到有窗户的，前台看是常客还给换了好的房间，很贴心啊。交通的话其实都很OK，打的什么反正很方便。而且不管是不是有早餐的房间，都会送早餐券。。比起附近的酒店来说，最大的优点就是干净了吧。唯一不足的就是靠马路，晚上有点吵。', '短评打分': 5}
{'短评内容': '很好，很不错的酒店，下次还会入住！！值得推荐！！', '短评打分': 5}
{'短评内容': '非常值得，强烈推荐,很好的装修，设施很新，早餐便宜但不错\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '房间挺大，地点也比较好找 热水供应足。只是没有吹风机，需要向前台拿', '短评打分': 5}
{'短评内容': '溧阳比较有特色的主题酒店，房间很大，感觉很有艺术感，不错的，就是早饭差了点···', '短评打分': 5}
{'短评内容': '不错，环境好，就是位置较偏，不好坐车，打的不好打', '短评打分': 5}
{'短评内容': '非常不错的酒店，性价比高，就是早餐稍微简单了一点，以后如去溧阳还会选择这家酒店', '短评打分': 5}
{'短评内容': '酒店性价比很高，房间干净舒适，空调也非常好，去天目湖泡温泉推荐住在米兰风尚', '短评打分': 3}
{'短评内容': '环境还不错...价格也比较合理..以后还会来的...', '短评打分': 5}
{'短评内容': '这家酒店很好，建议去，以后还要去，连去温泉的地图都给画好了，很好', '短评打分': 5}
{'短评内容': '房间总的还不错。', '短评打分': 3}
{'短评内容': '在溧阳市的新的开发区，位置有点偏，周围都是新起的楼盘，国庆假日价格还是有点贵。房间很大，装修也很新，早饭差了点，其余的感觉还行。\n\n', '短评打分': 5}
{'短评内容': '位置有点偏，价格还是有点贵。其余的感觉还行。', '短评打分': 5}
{'短评内容': '早餐太差', '短评打分': 3}
{'短评内容': ' 房间确实不错 地段周围配套差了点 有车一族强烈推荐 ', '短评打分': 3}
{'短评内容': '房间很大，很舒服。但是隔音不太好，床单不太干净。', '短评打分': 5}
{'短评内容': '周围冷清了点，但是房间很不错的，很大，很干净，服务也可以，打车去汽车站也方便', '短评打分': 5}
{'短评内容': '性价比不错，也干净。早餐普通，菜点断档补充不及时。不在市中心，稍嫌冷清，不是很方便（本也不大，6元出租基本都能到了）。', '短评打分': 5}
{'短评内容': '非常值得，强烈推荐,很好的装修，设施很新，早餐便宜但不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店设施比较新， 但是清洁工作做的不到位。 还有就是酒店前台结帐的时候相当慢。 等了40分钟。', '短评打分': 1}
