{'短评内容': '还不错啊。。。。。', '短评打分': 5}
{'短评内容': '对得起这个价格，交通方便', '短评打分': 5}
{'短评内容': '不错，很不错', '短评打分': 5}
{'短评内容': '这就是个贫民窟，男的无所谓了，省的换了，千万别住，慎住。', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '电梯坏了，听说坏好几个月了，但一直没修好.….这怎么回事呢？', '短评打分': 5}
{'短评内容': '离地铁站相隔不远，服务员的服务态度很好，晚上很安静，周边餐饮店与士多店挺多，作为商务出差是值得推荐的住宿之地！', '短评打分': 4}
{'短评内容': '卫生干净，离地铁口也近', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '服务态度很好。', '短评打分': 5}
{'短评内容': '周边设施很齐全，很方便。', '短评打分': 5}
{'短评内容': '带人预定，服务员态度不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '房间小', '短评打分': 2}
{'短评内容': '房间小', '短评打分': 2}
{'短评内容': '地理位置优越，离地铁口大概800米，前台很nice', '短评打分': 5}
