{'短评内容': '电视频道太少', '短评打分': 4}
{'短评内容': '一如既往的好评', '短评打分': 4}
{'短评内容': '来海门就住这俩酒店，干净，服务好，住的很舒服。', '短评打分': 5}
{'短评内容': '携程预订的是双人大床房，酒店给我的是豪华大床房，房间小了很多，差评，第一次给差评！以后不会再来这住了！', '短评打分': 3}
{'短评内容': '就是隔音太差', '短评打分': 4}
{'短评内容': '房间还行，空调制热效果不好', '短评打分': 5}
{'短评内容': '一个字，好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '嗯嗯嗯嗯嗯嗯', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '不错！就是早餐差点！希望可以改进！', '短评打分': 5}
{'短评内容': '比较旧了，所以便宜，设施自然不够理想。但最差的是早餐，再也不住了', '短评打分': 3}
{'短评内容': '很干净，舒适，处于市中心，各方面都很方便.', '短评打分': 3}
{'短评内容': '环境真的不错，值得我们广发消费者来入住！', '短评打分': 5}
{'短评内容': '每次都固定酒店', '短评打分': 5}
