{'短评内容': '服务态度不错，最大缺点是房间无窗，有点闷，另外地毯没打扫干净。平时价格可以接受，但过年期间300左右的价格还是不划算', '短评打分': 4}
{'短评内容': '卫生属实不行，地上全是是灰。', '短评打分': 3}
{'短评内容': '环境一般，有点差，服务不错，价格因为春节特别贵', '短评打分': 3}
{'短评内容': '酒店服务态度好，酒店位置也好找，环境不吵很安静', '短评打分': 5}
{'短评内容': '很好  特别效率', '短评打分': 5}
{'短评内容': '整体感觉还不错！', '短评打分': 5}
{'短评内容': '下高速后很快就找到了酒店，由于带着小孩，前台妹妹还主动给我们换了有窗户的房间，床单也非常干净，还有早餐提供，性价比超高！非常满意的一次入住体验。', '短评打分': 5}
{'短评内容': '酒店环境不错，床单非常干净（对于有点洁癖的我这点非常重要）。上下高速也很方便，去邛海只需要20分钟，相对于邛海附近的酒店性价比超高，服务员态度也特别好，入住特别满意！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间干净 只是窗户太小', '短评打分': 4}
{'短评内容': '服务不错，房间就是太小了，设施也一般', '短评打分': 4}
{'短评内容': '酒店很不错，服务很热情。', '短评打分': 3}
{'短评内容': '一般了了了来咯哦了拒绝空啦啦怕怕咯', '短评打分': 3}
{'短评内容': '酒店很一般，停车停在路边，不安全，早餐不是很好', '短评打分': 2}
{'短评内容': '还可以………………', '短评打分': 5}
