{'短评内容': '酒店在市区，有大巴去机场，交通还算方便。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '非常好的酒店！酒店主动帮我升级的房型！房间非常干净卫生', '短评打分': 5}
{'短评内容': '酒店去机场非常方彬，环境也十分好。而且入住还送白酒真的非常nice。商务房间还配备了电脑办公很方便。', '短评打分': 4}
{'短评内容': '很熟悉，服务周到', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '酒店太老了，其它都还好 价格真心过高', '短评打分': 4}
{'短评内容': '地理位置优越，酒店设施老旧', '短评打分': 4}
{'短评内容': '一般一般，5星的价格贵，3星的水平', '短评打分': 3}
{'短评内容': '仁怀最好的酒店，但设置陈旧', '短评打分': 4}
{'短评内容': '性价比太低了', '短评打分': 4}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '酒店位置不错，但服务水平有待提升。因仁怀市区目前仅此酒店硬件较好，只得选择些店。该酒店与天豪商务酒店在同一地点但分前后楼，容易让人误解，订错房间。', '短评打分': 5}
{'短评内容': '太陈旧的酒店了。性价比不高。', '短评打分': 3}
{'短评内容': '酒店在县级城市里面算是不错的，价格也是不错的！', '短评打分': 5}
{'短评内容': ' 在仁怀是最好的酒店！去茅台也很方便！', '短评打分': 3}
{'短评内容': '房间80分，服务100分，对酒店的服务很满意，热情有礼貌。', '短评打分': 5}
{'短评内容': '主路边上的酒店位置方便，交通出行也很好。可以推荐入住。', '短评打分': 3}
{'短评内容': '小城市的星级酒店肯定不能和大城市比较，但是基本设施环境都很达标。在当地算是很不错的酒店。', '短评打分': 5}
{'短评内容': '服务热情周到，设施配置也很好。性价比还是很不错滴。', '短评打分': 5}
{'短评内容': '房间装饰布置的挺温馨的设施配置也很不错，位置去哪都很方便，当地打车也很便宜。', '短评打分': 5}
{'短评内容': '设施配置不是很完善，卫生服务还不错，整体来讲算是合格。', '短评打分': 3}
{'短评内容': '虽说是仁怀最好的酒店 可是距离五星级还有很大的差别 入住时卫生间里的味道很重 让人很不舒服 &#183;&#183;', '短评打分': 5}
{'短评内容': '酒店给我留下了比较深刻的印象：\r\n1、酒店的整体氛围较好，装修有特色、有档次。\r\n1、楼层感应照明，比较温馨和人性化，应该是贵州省首家。\r\n2、服务员的微笑和问候也做得比较到位，很朴实，有亲切感。\r\n3、餐厅食物味道不错，有地方特色。\r\n4、客房面积虽然小了点，但整体感觉还是比较舒适。礼品袋很漂亮，我很喜欢。\r\n听说酒店正在申评五星，大有希望。\r\n', '短评打分': 5}
{'短评内容': '装修个性，服务优质，环境舒适，性价比优，特别向朋友推荐。', '短评打分': 5}
{'短评内容': '标间，单人间房间连浴衣都没有！网线也没有长的。都没有空调的。只能是自然风，晚上又线路故障`连电视跟部分灯都没有了', '短评打分': 1}
