{'短评内容': '交通比较方便。', '短评打分': 5}
{'短评内容': '离西湖很近，年底听说有花灯。再来', '短评打分': 5}
{'短评内容': '不错，挺好的！', '短评打分': 5}
{'短评内容': '服务态度很好，位置好找', '短评打分': 5}
{'短评内容': '没吃过早晨，不能加床，适合带孩子，位置不错，没吃过早晨，不能加床，适合带孩子，位置不错，没吃过早晨，不能加床，适合带孩子，位置不错，', '短评打分': 5}
{'短评内容': '还好吧！！！', '短评打分': 5}
{'短评内容': '房间很舒适，七天连锁酒店，信的过', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '价格比较便宜，环境不错。', '短评打分': 5}
{'短评内容': '价格比较便宜，环境不错。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还不错，服务态度很好', '短评打分': 5}
{'短评内容': '酒店住宿环境不错，但交通有少少拥挤！', '短评打分': 5}
{'短评内容': '位置安静服务热情干净卫生', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '服务好好，下次继续。赞赞赞', '短评打分': 5}
{'短评内容': '给家人订的，听说挺不错。设备齐全，卫生还可以，楼下有吃的，有便利店。离西湖不远，交通方便。下次来惠州还住这里', '短评打分': 5}
{'短评内容': '去惠州游玩住的这里，离西湖挺近，走过去就可以。旁边去美博城也不远，吃饭看个电影都很方便的', '短评打分': 5}
{'短评内容': '7天还是一如既往的好', '短评打分': 5}
{'短评内容': '不错，下次还会再来！', '短评打分': 5}
{'短评内容': '环境比较好，态度不错，再次会住', '短评打分': 5}
{'短评内容': '不错，简洁干净，刚好四个人住、还挺舒适', '短评打分': 5}
{'短评内容': '酒店的大堂在3楼，虽然走到1楼感觉不是很好，但是上来后，前台的服务超好，面带微笑欢迎光临，有什么问题情况找到她们都是很快帮我们解决，房间好像比上次来住的要新一点，听说重新刷新了墙壁，这次住的房间不是很正，可能是酒店结构的问题，但是光线还是不错，也很安静。还会继续来住这家的。', '短评打分': 5}
{'短评内容': '帮朋友订的，酒店离西湖很近，前台的服务非常棒，会主动告知睡前牛奶。周边很多吃饭和逛街的地方，非常方便。下次过来还会住这家的。', '短评打分': 5}
{'短评内容': '强烈要求酒店及其管理方和物业公司改善一楼大堂及过道和外立面的环境！实在太旧了！都不敢拍照了！三楼的酒店前台环境还可以这真的花不了多少钱简简单单弄一弄也挺好的！另外建议一楼设立保安台值班，否则感觉什么人都能上去！但是酒店房间的卫生及服务设施还是挺好的！特别是服务态度！五分好评！', '短评打分': 4}
{'短评内容': '感觉还行吧', '短评打分': 4}
