{'短评内容': 'hai  ke  yi  zhu  yao   shi  pianyi', '短评打分': 3}
{'短评内容': '哎,只能说很失望啦,还四星级呐,都不如有些个招待所.\n房间地上到所还有烟灰~,天呐.空气有异味,招待所都液晶电视啦,他们竟然还是大屁股电视~卫生间排水那真叫一个在便秘啊~淋浴头还是在浴池的上方,总体就是非常不给力~', '短评打分': 1}
{'短评内容': '酒店地方相对于其他酒店来说有点偏，不过就在路边，蛮好找的，规模很大，如果自己有车就无所谓了，开车到温泉也就五分钟吧，酒店不算特别新，不过档次在那里，毕竟是四星，还有电吹风，不过设施旧点，电视还不是液晶的，也没有机顶盒，床上用品都还蛮干净的，229的性价还算可以吧', '短评打分': 5}
{'短评内容': '酒店还不错，就是早点种类太少！', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '非常一般的酒店，早餐差，只有白菜和咸菜，剩下的就是包子馒头稀饭了，', '短评打分': 1}
{'短评内容': '酒店很一般，早餐很差，卫生条件不是很好，下次不会再住了。', '短评打分': 1}
{'短评内容': '装修豪华，房间干净舒适。早餐有待改进。还有如果房间里可以有无线WIFI上网就更好了！', '短评打分': 5}
{'短评内容': 'Good to stay and near to the Town !', '短评打分': 5}
{'短评内容': '整洁干净！环境舒适！服务不错！下次还会考虑再次入住！！！', '短评打分': 5}
{'短评内容': '入住地方总的来说还不错 就是地毯有点脏  每次出去回来房卡得重新激活  早饭不行', '短评打分': 5}
{'短评内容': '普通得不能再普通的一个酒店，早餐我没去吃，但我妈妈那个年纪的人都说“啥都没有”。周边有很多酒店。', '短评打分': 1}
{'短评内容': '总的来说，还行！下次还会入住，就是地段不繁华！离汽车站较近！', '短评打分': 3}
{'短评内容': '总的来说还不错，就是没有处于繁华地段，不过我下次还会考虑再次入住，比较安静！', '短评打分': 5}
{'短评内容': '实在是很不满意，先开的房空调还是坏的，还什么大床房，中央空调，郁闷，稀烂', '短评打分': 1}
{'短评内容': '第二次去的时候，去温泉泡了泡，打车大概十来分钟。希望在酒店内做个温泉，那就更好了。', '短评打分': 3}
{'短评内容': '酒店确实比较新，卫生还不错。遗憾的是，离温泉区稍微有点远，如果能在温泉边就更好了。', '短评打分': 5}
{'短评内容': '很干净，房间和小巧，时尚。我们住的是南面，很安静，阳光也很好。推荐', '短评打分': 5}
{'短评内容': '价格稍贵。服务不错。', '短评打分': 5}
{'短评内容': '不错的位置，不错的服务，不错的管理。', '短评打分': 5}
{'短评内容': '位置在温泉区，并在市政府大楼附近，不远处还有市民广场，性价比不错，要去洗温泉也很方便。', '短评打分': 5}
{'短评内容': '都还可以，交通便利，距离汽车站很近，就是早餐差了点。', '短评打分': 3}
{'短评内容': '交通方便，早餐品种太少，客房服务要多准备一些客人可能需要使用的物品，比如：指甲刀.....', '短评打分': 5}
{'短评内容': '酒店离全国华中第一泉比较近，去那里泡温泉很方便，别的酒店是没这个优势的，要是休闲的话我还是建议住这里', '短评打分': 5}
{'短评内容': '房间挺干净的，服务也很好，价格也比较适中，在咸宁来说还是不错的，值得推荐', '短评打分': 5}
{'短评内容': '酒店比较干净，感觉还不错，但是里面的东西都是很一般的，虽然他的位置不错，挺方便的，但是晚上会有点吵，安静的比较晚一些，但是总体来说还算是可以的。', '短评打分': 5}
{'短评内容': '位置不在咸宁市区有点远，交通不方便，开车还要10多公里呢，价格到是很优惠', '短评打分': 3}
{'短评内容': '酒店整体服务，环境都很好，交通也方便，不过在他周围没什么娱乐休闲商场。', '短评打分': 5}
