{'短评内容': '空间还行，但价格真的算比较贵了，老板态度还行', '短评打分': 3}
{'短评内容': '很好很不错，两个家庭还给安排到了一起不错不错', '短评打分': 5}
{'短评内容': '酒店老板很不错！人好能领！可以自己买水产加工吃！我十月一来赶上吃大闸蟹～老板带着去买自己蒸着吃新鲜价格也便宜！', '短评打分': 4}
{'短评内容': '首先老板人很好非常热情民宿离西栅很近房间也蛮大的还有一个阳台。。。。但是！我有过敏性鼻炎我的鼻子实在受不了老板家准备的纸那种一眼看上去就非常廉价粗糙的纸即使是小镇纸的质量也不至于这么差吧我每天下楼都要抽老板桌子的的纸还有卫生拖鞋上一抹都是灰玻璃杯盖子上全是灰尘一摸还有污垢的粗糙感两个晚上600就是这样？ps：对面有个工地有点吵是我要求太高还是怎样？我不知道。', '短评打分': 4}
{'短评内容': '老板很热心。很愉快的住宿', '短评打分': 5}
{'短评内容': '还可以，比较近，老板很热情亲自送我去车站', '短评打分': 4}
{'短评内容': '老板很好，服务很贴心，驱车去车站接送人，点赞', '短评打分': 4}
{'短评内容': '房间虽然有点小，但是很温馨，老板人也很好，还帮忙买特产，还细心的跟我们说附近得景点，值得推荐。', '短评打分': 4}
{'短评内容': '感觉很不错', '短评打分': 5}
{'短评内容': '老板人很热情，给介绍了很多，很好喔', '短评打分': 5}
{'短评内容': '虽然住的地方小了一点，但是环境很不错，而且安静，安安稳稳睡到一大早。出门左走就是西栅南门，出门走正对面的甘泉路过桥就是东栅，也很方便。然后老板的态度也很亲切。', '短评打分': 5}
{'短评内容': '找了很多家酒店最后决定了这家，真心的好，离西栅景区好近，停车也方便，老板人好热情，走时还送了礼物，这次旅行很开心', '短评打分': 5}
{'短评内容': '民宿里面算不错的选择了，离景区不远，房东阿姨人很好，给送开水拿地图，还细心的介绍玩的地方，游玩的时行李都寄存在旅馆，游玩结束也安排人帮忙把行李送到车站，超好的服务，赞', '短评打分': 5}
{'短评内容': '我们昨天在那里回来的。真的挺意外的，为什么这么说呢，首先因为我们到的是桐乡高铁站，离乌镇很远，前一两天给假日旅馆的高阿姨打电话，她就非常耐心解答我们路线应该怎么走最方便，房间有什么东西我们不需要带什么东西之类的。然后周六的时候我们坐282到汽车站，高阿姨果断开车去接的我们回酒店。路上详细给我们讲了东西栅怎么玩最合算，什么区域的民俗饭馆好吃又便宜又能尝到当地美食，路边什么样的商贩的东西不要买。旅馆房', '短评打分': 5}
{'短评内容': '阿姨人挺好，设备有点旧，整个乌镇感觉都是有点周边设施跟不上！就像原来的乡下突然做了一个旅游景点出来，大家都趁着节假日涨一倍！', '短评打分': 4}
