{'短评内容': '不含早歺，商务性。', '短评打分': 4}
{'短评内容': '房间卫生不错，床单有点旧了', '短评打分': 5}
{'短评内容': '还不错，值得入住哦', '短评打分': 5}
{'短评内容': '交通地点便利', '短评打分': 3}
{'短评内容': '性价比高，停车方便。房间空间大，只是房间空调老了很响。服务态度可以。地板很旧，墙壁有点脏。需要加强了', '短评打分': 5}
{'短评内容': '综合性价比还可以', '短评打分': 4}
{'短评内容': '首先房间一股浓厚的烟味 窗子开着吹到晚上味道还是很大  通知前台换房态度差 说没房，强烈要求之下换了一个双人间 但也有一股怪味  还不如之前那间。房价趁着国庆涨得太高 酒店人服务态度太差  劝大家别去了', '短评打分': 2}
{'短评内容': '标间还可以  前台态度太差  爱理不理', '短评打分': 4}
{'短评内容': '凑合', '短评打分': 5}
{'短评内容': '交通方便，就在北海大道边上。设施还算齐全，有停车场位。设施旧点。', '短评打分': 4}
{'短评内容': '吧台服务员态度不好。开票时候态度太差', '短评打分': 3}
{'短评内容': '环境不错，住起来舒服电视台不多', '短评打分': 3}
{'短评内容': '地理位置不错，性价比还行', '短评打分': 3}
{'短评内容': '环境好、整洁干净', '短评打分': 5}
{'短评内容': '干净整洁物美价廉', '短评打分': 5}
{'短评内容': '正入住中，房间比较干净，只是交通不太方便，离购物中心有点远，走路得40分钟左右。', '短评打分': 5}
{'短评内容': '网速不错，热水还行，电视收到的台很多', '短评打分': 3}
{'短评内容': '房间条件很不错，床很软很舒服，洗澡也方便，看电视上网都很快捷，但是洗脸盆处有很多小虫子，再有一个就是前台服务员态度极为恶劣，不仅拒绝开发票，还扬言要投诉就尽管去投诉她们好了，非常没有素质。', '短评打分': 5}
{'短评内容': '除了交通不是很便利，其他都不错。值得入住的一家酒店', '短评打分': 5}
{'短评内容': '房间不错，入住时每天还送纯牛奶和纯净水，停车就在门口，方便，值得入住。隔壁的重庆餐馆味道不错。', '短评打分': 5}
{'短评内容': '酒店设施还不错，就是空调有点旧，声音有点大', '短评打分': 5}
{'短评内容': '房间还不错，服务态度也很好', '短评打分': 3}
