{'短评内容': '还可以，下次还会再来', '短评打分': 5}
{'短评内容': '有立体停车场，标准大床房只能算标准间，一米五床，总体还可以', '短评打分': 4}
{'短评内容': '服务一般，，，', '短评打分': 3}
{'短评内容': '位置近温泉，停车方便！', '短评打分': 4}
{'短评内容': '酒店位置离温泉很近，停车方便！', '短评打分': 4}
{'短评内容': '比较旧了', '短评打分': 3}
{'短评内容': '亲子游出行订购的，出发前一天预订，找了几家网站对比，携程的性价比最高，很方便很实惠，以后出行都会在这里订喔！希望携程出更多优惠项目！说说酒店感觉吧，虽然不是订主楼的，副楼性价比更高，不过总体来说偏贵，说是包含了无限次温泉，不过实际最多会去泡一次两次而已，因为离得远，温泉池有不到20个吧，毛巾要自己拿着走，这个不是很方便，有些没开的温泉看不到，周五去的，人不算多，第二天才发现水果小吃在二楼有，有橙子', '短评打分': 3}
{'短评内容': '来过很多次，环境优美，池干净，干湿蒸都有。', '短评打分': 5}
{'短评内容': '房间还可以。。就是周边环境一般。。感觉门口那段路有点杂。。住主楼会好一点方便一点。。主副楼都住过。。虽然主楼贵点还是喜欢主楼多一点。。', '短评打分': 3}
{'短评内容': '在大路边的巷子进去一点，不算难找。环境凑合。要豪华的还是到温泉酒店。凭房卡无限次温泉，价格实惠，适合工薪阶层偶尔休闲。', '短评打分': 4}
{'短评内容': '与朋友一起去玩，刚到就开始下雨，看着河面飘着毛毛细雨，泡着温泉，很享受!假日酒店离温泉酒店很近，温泉每天早上换水，很干净。', '短评打分': 5}
{'短评内容': '预定的是温泉酒店、但是到的时候告知却是旧楼！旧楼明明是假日酒店！所以泡温泉要去新楼去！出门玩不想去计较那么多、虽然池有好几个、但是里面的汤一直循环使用！都不知道多久才换、感觉好脏', '短评打分': 4}
{'短评内容': '房间不错 给人很干净 很舒服的感觉 只是床偏软', '短评打分': 3}
{'短评内容': '有改进!因国庆假期，故住多了一晚。温泉不错', '短评打分': 4}
{'短评内容': '卫生太差，房间里还有蚂蚁，望改进。', '短评打分': 3}
{'短评内容': '有泉水直到房间，泡的舒服。', '短评打分': 3}
{'短评内容': '我们约午后二点左右到达，，梁淑贞', '短评打分': 3}
{'短评内容': '还不错，酒店较新，房间干净，洗手间温泉泡池还行，不过天台的空中泡池不开放，有点失望。房费不含早餐有点贵', '短评打分': 3}
{'短评内容': '酒店服务态度不错，东西比较新，但地点不太好不是对江。', '短评打分': 5}
{'短评内容': '环境尚可，相对安静，但是最后没有主动提供发票，等想起来时已经开车出几十公里之外了。', '短评打分': 1}
{'短评内容': '酒店的位子 很偏僻，服务配套设施不完善。性价不高。', '短评打分': 1}
{'短评内容': '在那么多酒店里面，总体还行，不过离大路口有些远，不是很方便。', '短评打分': 5}
{'短评内容': '我是订了一间江景蜜月房，一间单人房，一间双人房的。\n总体还是不错的。！！很安静。！！\n\n但是，要说不好的也有，开始根本不知道，原来不是每间房间都可以泡温泉的，就江景蜜月房有，。而且那个温泉套，是要钱的。20一个，也没有什么所谓，但是价钱标明不明显。不细心看。还以为酒店那么好，送的，还有就是洗手间的小毛巾，差点想拿来洗脸了，细心一看，。叠起来的另外一面，有茶污渍，还有灰尘，灰黑的，感觉好像没有洗，直', '短评打分': 5}
{'短评内容': '与介绍相符，房间内泡温泉，舒服。房间空间大，但是装修有些老旧，不过，晚上很安静，价格适宜。', '短评打分': 5}
{'短评内容': '酒店一般,住的是江景蜜月房还可以吧，只是根本看不到江景,说是有温泉泡,但不知浴缸出的水是温泉水还是一般热水', '短评打分': 3}
{'短评内容': '离中大南方挺近的，周围也有不少景点和美食，环境不错。房间挺舒适、干净，近温泉，周围也有其他酒店食肆。还算满意。', '短评打分': 5}
{'短评内容': '不错，房间挺舒适、干净，近温泉宾馆。下次去从化，还会再选择此酒店', '短评打分': 5}
{'短评内容': '酒店设施一般，房间还是够大，我是入住的豪华江景蜜月房，但各种分项收费项目繁多。入住酒店在露天泡温泉都要收费。所以大家要看清楚才消费。', '短评打分': 5}
{'短评内容': '不错，环境还可以，设施太旧了。不错，环境还可以，设施太旧了。不错，环境还可以，设施太旧了。不错，环境还可以，设施太旧了。', '短评打分': 5}
{'短评内容': '服务态度不错，但感觉有点发霉的味道。总体还行吧', '短评打分': 5}
{'短评内容': '共预定7间房:豪华双人3间,标双4间.总体感觉良好.\n其中有一间明显是单间.用品都是按单间摆放.\n有露天温泉,但是收费!\n早餐一般.', '短评打分': 5}
{'短评内容': '可以不错。里面有温泉，值得推荐，消费也不贵。 \n', '短评打分': 5}
{'短评内容': '可以不错。里面有温泉，值得推荐，消费也不贵。', '短评打分': 5}
{'短评内容': '环境不错啊！房间内透明度高，小而精美，很适合情侣度假居住。', '短评打分': 5}
{'短评内容': '感觉大床房有点儿小了！\n  比较有压抑的 感觉\n', '短评打分': 5}
{'短评内容': '房子挺大的，设施齐全，没什么江景，如果有地毯就更好。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店离河边很近，也很新，不过就是环境稍微差一点，没有很大的院落，旁边的一张吃饭的地方也不错，值得入住。', '短评打分': 5}
{'短评内容': '酒店设施比较新，服务较好。地理位置也不错，离仙沐园很近。如果在每个客房引入温泉水，能用木桶泡澡就更上档次了。', '短评打分': 5}
{'短评内容': '酒店看着挺新，挺干净的，设施也不错，还能泡温泉，值得一住。', '短评打分': 5}
{'短评内容': '顶楼有个露天温泉，感觉一般，住宿条件还好，干净卫生，设施完善。', '短评打分': 3}
{'短评内容': '房间挺好，电视空调等设施都有，干净卫生，感觉还不错。', '短评打分': 3}
{'短评内容': '房间新是新，但是很小，装修也挺简陋，顶多象干净的旅店', '短评打分': 3}
{'短评内容': '酒店需然较新，但是，房间设施简陋，性价比不值。', '短评打分': 1}
{'短评内容': '交通嘛，还算方便。坐从化4路车在幸福楼下车即到。周边环境尚可，餐饮饭店比较多，适合不喜欢在酒店用餐的朋友。购买特产要多问几家。报价相关太大了。', '短评打分': 5}
{'短评内容': '总体感觉挺好，挺干净卫生的。', '短评打分': 5}
{'短评内容': 'i love the bathing tub !!\nand specially recommend the little restaurant around it, i had more than 3meals there..', '短评打分': 5}
{'短评内容': '酒店环境挺好，里面的东西都比较新，也很清洁干净，性价比高。', '短评打分': 3}
{'短评内容': '标准大床房的房间不大，但是干净整洁，还是很不错的～', '短评打分': 3}
{'短评内容': '酒店很干净~感觉很舒适~泡池也可以用一次性的胶袋套着泡~下次还会继续光顾~', '短评打分': 5}
{'短评内容': '总体还算可以，本人住的是江景房，可惜不是想象一样，江景只能从小巷望出去。\n房间较大，干净，舒适，安静，个人很喜欢。\n周边环境不错，酒店有免费自行车踩。\n酒店的温泉是否真的温泉，本人不得而知。', '短评打分': 5}
{'短评内容': '确实是新酒店，房间有点小。但是应该不够四星标准吧!', '短评打分': 5}
