{'短评内容': '特别满意，位置很好，正好在山东职业学院培训基地前院，客服态度也很好，非常满意，卫生也很干净，房间很大很舒服', '短评打分': 5}
{'短评内容': '酒店位置优越', '短评打分': 5}
{'短评内容': '非常感谢前台接待的热情服务       店长人很好     给换花洒   谢谢', '短评打分': 5}
{'短评内容': '别的都还好就是隔音特别差。', '短评打分': 4}
{'短评内容': '还不错，就是隔音效果很差，晚上有故事', '短评打分': 5}
{'短评内容': '第一次从京东订酒店就非常不愉快！预定了济南市解放路的某家汉庭酒店，京东的页面显示可以预定，但是预定后订单迟迟不能确定，期间已经在线支付。最后打京东酒店客服才了解到这家汉庭客房已满。既然酒店客房已满为什么京东还能显示可以预定？不知道是京东的问题还是酒店的问题！总之此次预定非常不愉快！耽误了行程不说，对京东旅行的印象也受到影响！以后不敢从京东预定酒店了，不靠谱！', '短评打分': 1}
{'短评内容': '第一次从京东订酒店就非常不愉快！预定了济南市解放路的某家汉庭酒店，京东的页面显示可以预定，但是预定后订单迟迟不能确定，期间已经在线支付。最后打京东酒店客服才了解到这家汉庭客房已满。既然酒店客房已满为什么京东还能显示可以预定？不知道是京东的问题还是酒店的问题！总之此次预定非常不愉快！耽误了行程不说，对京东旅行的印象也受到影响！以后不敢从京东预定酒店了，不靠谱！', '短评打分': 1}
{'短评内容': '京东物流就是快，还是一如既往的支持，不错', '短评打分': 5}
{'短评内容': '酒店一般，不通风有味道', '短评打分': 3}
{'短评内容': '房间一般很小门窗', '短评打分': 3}
{'短评内容': '确认很不错', '短评打分': 5}
{'短评内容': '不错吧，就是没有暖气不过有空调，还可以。', '短评打分': 5}
{'短评内容': '酒店离山东大学很近', '短评打分': 5}
{'短评内容': '洗浴间有异味', '短评打分': 4}
{'短评内容': '环境安全', '短评打分': 5}
{'短评内容': '还不错吧……', '短评打分': 5}
{'短评内容': '不满意 周围环境很嘈杂 五分的服务是给值班经理的 给考生延长了中午时间 其他真的不值这个价格', '短评打分': 3}
{'短评内容': '挺好挺安静的', '短评打分': 5}
{'短评内容': '酒店环境、卫生干净、服务周到!', '短评打分': 4}
{'短评内容': '还行吧…马马虎虎', '短评打分': 5}
{'短评内容': '还可以吧，不错！', '短评打分': 5}
{'短评内容': '环境还不错吧，可以！', '短评打分': 5}
{'短评内容': '房间小,其余还好。。。。。。。。。。。。。。。\n', '短评打分': 5}
{'短评内容': '还不错，比较清静，酒店也比较新，************8', '短评打分': 5}
{'短评内容': '还行  不错   价格还比较实惠  有早餐   ', '短评打分': 5}
{'短评内容': '还行  比较实惠   靠马路的比较吵    靠停车场的  比较安静  总体不错   住了两晚 ', '短评打分': 5}
{'短评内容': '环境和服务都很好', '短评打分': 3}
{'短评内容': '还行吧  在那个位置还是不错的  对得起那价位了 哈哈哈', '短评打分': 5}
{'短评内容': '不怎么样.宾馆的套餐很难吃', '短评打分': 3}
{'短评内容': '酒店前台等待时间较长，进了房间花洒居然漏水，半夜抱着行李换房间比较崩溃', '短评打分': 1}
{'短评内容': '还可以，有路边车的噪音较大。晚上休息不是很好。', '短评打分': 5}
{'短评内容': '房间虽小，但感觉比较精致，但因为离餐厅很近，一进楼道就闻到一股油味。入住的第一天没网络，修了半天还没修好，比较受影响。', '短评打分': 5}
{'短评内容': '硬件设施很齐全，房间很大，很舒适，唯一不足的是房间里总是有股很浓的下水道味', '短评打分': 5}
{'短评内容': '服务还不错，哈哈………………………………', '短评打分': 5}
{'短评内容': '环境挺好，挺好', '短评打分': 3}
{'短评内容': '很好，挺满意…', '短评打分': 3}
{'短评内容': '酒店环境不错！挺干净的，没有什么其他的味道！喜欢他们的早餐！', '短评打分': 5}
{'短评内容': ' 坏境不错', '短评打分': 3}
{'短评内容': '新开的酒店，很安静，很干净 床很舒服 真的不错！', '短评打分': 5}
{'短评内容': '不错挺好 下次还回来的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。 ', '短评打分': 5}
{'短评内容': '还不错,房间有点冷,暖气不很热;空调没找到遥控,呵', '短评打分': 5}
{'短评内容': '房间很大，很舒服。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '住宿条件还行，热水修了好几次才好，去前台的时候竟然查不到预订信息', '短评打分': 1}
{'短评内容': ' 环境很好，可惜没电脑', '短评打分': 3}
{'短评内容': '很不错，房间很干净，和温馨，色调比较优雅。不知什么原因有些冷，暖气摸上去很热，但就是不敢出被子。', '短评打分': 5}
{'短评内容': '房间不错,床也很大,很干净,不过洗漱的水很小。', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 3}
