{'短评内容': '入住比较舒适，环境不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '条件真心一般&hellip;&hellip;', '短评打分': 1}
{'短评内容': '酒店位置超好！老板超好！很棒的一次住宿', '短评打分': 5}
{'短评内容': '这次住的三人间性价比高，该酒店位置很好，出门就是美食街。酒店还提前打电话为我预留了停车位，办理入住时专门为我们介绍了景区游览线路，服务很好！', '短评打分': 5}
{'短评内容': '还好吧，位置还是不错，房间隔音太差了', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错的，妈妈还比较满意', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '原定酒店没房了，后店家换另一家，可惜没有网络', '短评打分': 4}
{'短评内容': '位置好，就在购物街，这次住的是特色房，五楼，不过房间还是很可以的，干净，物品一应俱全，浴室也很大，老板的态度也蛮好的。而且可以在这里订火车票回去，蛮方便的。向大家推荐！不过千万不要去对面的优雅饭店住，老板严重缺少诚信，这次去住了一晚，上当了，而且房间没有毛巾，只有一块好像放了很久的了，而且在他们加买票上山要145一个人，在咏峨只要120，划算多了！严重鄙视优雅！', '短评打分': 5}
{'短评内容': '比较干净卫生，服务态度也可以。很好，货真价实！', '短评打分': 3}
{'短评内容': '这个酒店环境很好 老板也很好 尤其值得赞扬的是酒店的热水太好了!回成都还可在她家直接买票 很方便 住这个酒店让我峨眉之旅很开心 现在还在九寨沟 回家再发照片 ', '短评打分': 5}
{'短评内容': '酒店很不错，也干净，网速快，价格实惠，5楼还有洗衣机和晒台能晾衣服，下次还会入住。', '短评打分': 5}
{'短评内容': '不错的店，老板人很不错，我住的特色房，很好，很安静···', '短评打分': 5}
{'短评内容': '非常不错哈~老板人很对，环境也很好，以后来还住这家！！！', '短评打分': 5}
{'短评内容': '房间非常简单，不过还是比较舒适的。非常欣赏老板娘不强制推销的个性，这在到处都有人在门外拉生意的峨眉山还是不多见的，感觉像是经历过了很多人在耳朵边吵翻天之后终于得到了清静。饭店里面的人还是比较有礼貌和热心的，感觉不错。推荐一个。', '短评打分': 5}
{'短评内容': '22号码住的吟峨，老板娘相当热情和有耐心，而且酒店没有任何推销报团的，这个比较实在，房间也不错，卫生间还挺大的，附近的交通和吃方面，非常方便！~值得推荐！~', '短评打分': 5}
{'短评内容': ' 27号入住吟峨  不错', '短评打分': 3}
{'短评内容': '很不错的小酒店，房间干净，设施完善，屋有所值', '短评打分': 5}
{'短评内容': '酒店环境不错，出行也方便，服务人员也很热情，附近好吃得多。', '短评打分': 5}
{'短评内容': '很近报國寺、吃街.豪華房對游客來說，是間實惠舒服,床铺干淨,沖涼水都好大,又有上网.就是梳化前的小地氈不太干淨.另老板很好，幫我訂好一早去乐山的包車。推薦！ ', '短评打分': 5}
{'短评内容': '周围酒店非常多，价格不算贵，比较干净，离景点很近，电视没有机顶盒，用卫星锅接收，只能收20多个台，周边吃饭的地方很多，但是都做得不好吃，小吃一条街东西较贵，关键是不好吃，对面的峨眉山大酒店的美食街更贵，做的也不好吃。总体来说，在景区内基本上吃不到什么好东西，住宿条件都差不多，相当于好一点的农家乐。旁边有个灵秀温泉，下午5点以前进去，成人58元，亲子（一个大人带一个1.4米以下的小孩）68元，5点以', '短评打分': 5}
{'短评内容': '店主非常和善，酒店房间很大，新装修，非常干净。地理位置优越，价格也不贵经济实惠。离峨眉山客运中心和小吃一条街很近', '短评打分': 5}
{'短评内容': '总的来说是不错的，比较干净，环境也不错，在景区这个价格也不错', '短评打分': 5}
{'短评内容': '老板很好，住宿条件也好！还可以上网。哈哈哈哈哈', '短评打分': 5}
{'短评内容': '向山这边的房间很大，价格很好，应有尽有，不错', '短评打分': 5}
{'短评内容': '房间很干净，老板很热情，可以帮助订回成都的票，很让人省心!', '短评打分': 5}
{'短评内容': '住宿环境还不错\n到的时间有点晚了，而且有一间担保没有成功，老板很热情的帮忙在旁边酒店找空房，价格也很公道', '短评打分': 5}
{'短评内容': '性价比很好，而且还可以代办温泉票，服务也不错', '短评打分': 5}
{'短评内容': '还是提前预订，会比较有保障的，像我这样晚上9点才到，匆匆忙忙预订是比较困难的。', '短评打分': 5}
{'短评内容': '酒店老板服务不错。而且酒店离峨眉山景区很非常近！', '短评打分': 5}
