{'短评内容': '干净', '短评打分': 5}
{'短评内容': '离地铁站比较近，位置不错', '短评打分': 4}
{'短评内容': '体验极差，第一次遇见这种情况！！！感叹我的狗运气这么差！第一间是标准大床房，在一楼开窗就能进旁边小区，窗口旁边就停着一辆车，房间差得不行大家感受一下，第一二张是标准间照片，实在没安全感，换了豪华大床房⋯枕头是脏的，浴巾坏了一个洞⋯不说了，满满都是泪，洗澡都不敢洗，不知道是不是我打开房间的方式不对(Ｔ▽Ｔ)还有很多细节图，上传不了，当时又太晚了，走了一天太累了没办法只能忍', '短评打分': 1}
{'短评内容': '免费升级了大床房赞', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '周边很方便', '短评打分': 5}
{'短评内容': '五星五星五星', '短评打分': 5}
{'短评内容': '还行吧，距离一号线莘庄地铁站很近，稍微有点难找（实际上从地铁站出来，一拐弯就到了，不算远），偶尔住一晚还行。', '短评打分': 4}
{'短评内容': '服务很好，房间很干净', '短评打分': 5}
{'短评内容': '房间位置很好，离1号地铁站不远，交通便利，出门对面就是购物广场，旁边好多饭馆，住一楼有些潮，设施有些简陋，酒店服务很好，前台妹妹很热情。', '短评打分': 4}
{'短评内容': '酒店服务很好。', '短评打分': 5}
{'短评内容': '房价比较便宜。交通比较方便', '短评打分': 5}
{'短评内容': '服务态度好，不错，下次还来。', '短评打分': 5}
{'短评内容': '在仲盛世界商城旁边，走过来3分钟，便利', '短评打分': 5}
{'短评内容': '住了几天，挺不错的 。就是这个房间挨着地铁有时候会吵 ，不过夜里也很安静 。', '短评打分': 5}
{'短评内容': '卫生差，服务差，，，，，，，，\n全方面差', '短评打分': 1}
{'短评内容': '离莘庄确实比较近,也比较好早,房间一般,装修比较老了,基本上对得起这个价格.不过前台不提供机打发票,如果要只提供餐饮定额发票,而且是对奖联都已经撕掉的那种,显得很不正规.', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
