{'短评内容': '感觉不错，挺舒服', '短评打分': 4}
{'短评内容': '干净，环境还可以', '短评打分': 5}
{'短评内容': '还可以，性价比挺高', '短评打分': 4}
{'短评内容': '出差', '短评打分': 5}
{'短评内容': '没早餐 其他可以', '短评打分': 5}
{'短评内容': '这个酒店地理位置较好，交通方便，每次到石家庄都住这里。', '短评打分': 5}
{'短评内容': '我还是比较喜欢能在床头充电…然而没办法…空调声音不小，呼呼的。浴室没有塑料拖鞋。别的都还好。办入住的时候出了点小插曲，已经完美解决了。', '短评打分': 5}
{'短评内容': '环境不错，房间挺干净的', '短评打分': 5}
{'短评内容': '每次到石家庄都住这个酒店，做车办事都比较方便。', '短评打分': 5}
{'短评内容': '不错，性价比很高', '短评打分': 5}
{'短评内容': '非常棒，这个价位在石家庄很好很好啦。', '短评打分': 5}
{'短评内容': '非常好的哈', '短评打分': 5}
{'短评内容': '房间环境还不错，就是没有早点不太方便。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '真的是很超值了。我们自己来的。', '短评打分': 4}
{'短评内容': '设施齐全，服务态度好', '短评打分': 4}
{'短评内容': '干净整洁，价格合理！', '短评打分': 5}
{'短评内容': '位置离我办事儿的单位很近，挺方便。好评！', '短评打分': 5}
{'短评内容': '房间面积比较大，住着挺舒服的，酒店不但有无线而且网速比较快，服务员的态度比较好', '短评打分': 5}
{'短评内容': '给女友定的，大晚上的停了好几次电，吓死了', '短评打分': 5}
{'短评内容': ' 每次来住都有惊喜，店里都个都给我准备了自己专用的拖鞋，包括在餐厅服务员都问我是不是还吃那个套餐。', '短评打分': 5}
{'短评内容': '过了个年咋变驿家365了，之前一直住这里，还想住锦江之星可别的都离我办事的地太远了，就先住下看看，进入到房间后设施设备没有变，而且还更灵活，温馨了。', '短评打分': 5}
{'短评内容': '地理位置挺好，我记得这家是锦江，但现在改成驿家365了，不过质量基本都没变的，甚至比原来更好了，希望他们继续保持下去！', '短评打分': 5}
{'短评内容': '哎？锦江之星怎么改成驿家365了呀？但是房间设施设备没有变，和原来一样好，卫生也挺好！', '短评打分': 5}
{'短评内容': '在此处入住交通非常方便,离石家庄两个火车站都挺近,而且环境安静舒适,房间宽敞明亮,员工服务热情!', '短评打分': 5}
