{'短评内容': '不错，值得推荐', '短评打分': 5}
{'短评内容': '酒店边上有点点吵', '短评打分': 4}
{'短评内容': '干净卫生整洁', '短评打分': 5}
{'短评内容': '挺不错的一家酒店', '短评打分': 4}
{'短评内容': '真的很过分。当晚打电话给前台说要叫醒服务。因为是早上七点飞机。我让酒店叫四点叫醒服务。可是电话都没有打。害我差点赶不上飞机。真的好差。问前台好敷衍。', '短评打分': 3}
{'短评内容': '还可以 停车免费', '短评打分': 5}
{'短评内容': '非常好，我很喜欢', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间很好，床很舒服，卫生间开阔分区很好。交通方便，旁边有沃尔玛超市', '短评打分': 5}
{'短评内容': '在此开会，住宿条件很好！交通出行便利，购物也很方便！', '短评打分': 4}
{'短评内容': '一如既往的喜欢，出行的完美选择。', '短评打分': 5}
{'短评内容': '性价比很高，前台有个小伙子不错，态度很好。', '短评打分': 5}
{'短评内容': '房间很大，很舒服，色调很喜欢，服务不错', '短评打分': 5}
{'短评内容': '酒店大堂很漂亮，服务很好，推荐入住', '短评打分': 5}
{'短评内容': '棒棒的', '短评打分': 4}
