{'短评内容': '卫生不错，酒店位置距火车站挺近，就是没有热水！', '短评打分': 4}
{'短评内容': '已经不是第一次入住了，一如既往的好，酒店下面很繁华吃饭逛街都很方便', '短评打分': 5}
{'短评内容': '房间有点小，但是干净卫生，总体挺好的', '短评打分': 5}
{'短评内容': '位置約在火車站1公里內的位置，房內設施普通，但對尋求暫住一晚的旅人來說是可以接受的，房間也不會髒亂。', '短评打分': 3}
{'短评内容': '酒店还可以，离火车站非常近，附近还有好吃的夜市哦', '短评打分': 5}
{'短评内容': '设施还行，就是不支持开发票，要代理商开，这点不如七天！', '短评打分': 5}
{'短评内容': '用着不错，感受很好！', '短评打分': 5}
{'短评内容': '不错，干净，安静！小街上，下机场大巴后，过来需要走10分钟左右。早餐需要另外付18元。有矿泉水2瓶！', '短评打分': 5}
{'短评内容': '作为一位入住～～～酒店的顾客，我用亲身经历发自内心的觉得，～～～酒店环境整洁，房间布局堪称完美，优雅又不失情调，服务周到，让人无比舒心。给我营造了一种家的感觉，无论大处到小处都是那么无懈可击，价格也很合理。', '短评打分': 5}
{'短评内容': '在昆明火车站附近，走过去大概10分钟，连锁酒店还OK，设备齐全，房间都挺干净的，酒店门口有摆摊的早点，挺好吃的，第一天吃了之后最后一天回去昆明还特地找了过去吃，推荐', '短评打分': 4}
{'短评内容': '因为要坐晚上的火车，所以在这里开了钟点房。离火车站距离不算近，要走十几分钟的样子。周边吃小吃的地方很多，马路对面一家羊肉粉很正宗。', '短评打分': 3}
{'短评内容': '酒店管理的好，服务员热情，设施不错，而且为我们提供了免费的行李寄存服务，周边环境购物，吃饭 ，交通很方便。值得推荐', '短评打分': 5}
{'短评内容': '酒店硬件设施设备齐全，周边环境较好，房间隔音较好，价格合理，服务态度好，推荐入住', '短评打分': 5}
{'短评内容': '酒店设施设备齐全，周边环境好，服务态度较好，房间布置的风格都是我喜欢的，隔音效果好，值得入住', '短评打分': 5}
{'短评内容': '酒店周边环境较好，旁边就是一条烧烤街，吃货值得入住，而且酒店设施较好，隔音效果好，推荐入住', '短评打分': 5}
{'短评内容': '酒店环境较好，房间设施齐全，布置都是喜欢的类型，隔音效果较好，服务态度好，值得入住', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
