{'短评内容': '价格还是比较亲民的，但是酒店卫生值得深思', '短评打分': 2}
{'短评内容': '安静，卫生，舒适，信誉好。', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '作为这个价位的酒店，是我住过的携程里面最好的，，朋务人员能根据客人的需求尽最大可能满足，前台的几个妹妹虽不是美艳可人，但心地善良，态度可亲，很慰贴，朋务到位，点赞，与我一周前入住酒店形成照烈对比，应该点赞，好的应大为宣扬，鼓励！', '短评打分': 4}
{'短评内容': '化较一般', '短评打分': 3}
{'短评内容': '我也觉得还不错，可以推荐！', '短评打分': 5}
{'短评内容': '环境不错，比较安静，出行方便，价格公道，周围设施齐全，下次再来还会去住这里的，不错的，欢迎再来。太好了', '短评打分': 5}
{'短评内容': '酒店周边都是大型商场，逛街方便，老酒店了', '短评打分': 4}
{'短评内容': '每次都是这里。个人觉得不错', '短评打分': 5}
{'短评内容': '就在荆州电脑城上面，白天比较吵', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '非常干净，非常豪华，性价比很高，周围有吃的！', '短评打分': 3}
{'短评内容': '虽然装修教旧，但还是比较舒适，安静，空调制热给力', '短评打分': 3}
{'短评内容': '价格偏高了，环境不是太好', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '非常喜欢上了一层，环境优美动听！服务平台完全好', '短评打分': 3}
