{'短评内容': '房间里面不太好', '短评打分': 4}
{'短评内容': '距离火车站近 价格实惠', '短评打分': 5}
{'短评内容': '交通方便，离火车东站比较近，宾馆的床很舒适。', '短评打分': 4}
{'短评内容': '让人安心放心的住宿环境，卫生干静。', '短评打分': 5}
{'短评内容': '首先性价比高，酒店设备比较老，不过看着价格也能接受，酒店对面是国贸，买东西方便，靠近五一广场站，去火车站两站路，也挺方便，就是没有独立吹风机，需要去楼道吹头发。', '短评打分': 4}
{'短评内容': '很好，nice', '短评打分': 5}
{'短评内容': '酒店离车站很近比较方便。', '短评打分': 4}
{'短评内容': '龙头里面的水有一股很臭的味道', '短评打分': 1}
{'短评内容': '交通便利，设备建议可以更新，浴霸都是坏的，吹风放置在走道上，特别不方便使用!', '短评打分': 5}
{'短评内容': '双人房有点小，然后没有衣柜，不是很方便', '短评打分': 4}
{'短评内容': '马路边上有点吵', '短评打分': 3}
{'短评内容': '还可以。 有机会还是选择他们家。隔火车站也近', '短评打分': 4}
{'短评内容': '空调根本就没有用，网络也慢的要死直接不能用。', '短评打分': 4}
{'短评内容': '一般吧，交通方便，但离街近比较吵', '短评打分': 3}
{'短评内容': '还可以，性价比高', '短评打分': 5}
{'短评内容': '环境很好，交通便利，房间也还不错，美中不足的是没有吹风，头发洗了不干。', '短评打分': 5}
{'短评内容': '太吵', '短评打分': 3}
{'短评内容': '房间挺宽敞的，就是靠街边还是有点吵。然后空间漏水，好像走的时候酒店对于这种漏水的房间在进行整改，还是挺负责的。总体来说，挺不错的！确实离火车东站好近好近', '短评打分': 5}
{'短评内容': '房间挺宽敞的，就是靠街边还是有点吵。然后空间漏水，好像走的时候酒店对于这种漏水的房间在进行整改，还是挺负责的。总体来说，挺不错的！确实离火车东站好近好近', '短评打分': 5}
{'短评内容': '房间挺宽敞的，就是靠街边还是有点吵。然后空间漏水，好像走的时候酒店对于这种漏水的房间在进行整改，还是挺负责的。总体来说，挺不错的！确实离火车东站好近好近', '短评打分': 5}
{'短评内容': '总体感觉还不错，新火车站附近。早餐品种太单一。', '短评打分': 5}
{'短评内容': '不错，价格可以，就是旧了点 。                                 办完手续还要上电梯才到住处                                              推荐 位置火车站附近2公里，但打的不方便。                                                                        ', '短评打分': 5}
{'短评内容': '还是很不错的，比较安静，内饰有些陈旧。离火车站较近。交通也较便利。', '短评打分': 5}
{'短评内容': '此店住住还可以毕竟是新酒店，但是会有骚扰电话不断打进来，感觉很差，下次不会来住', '短评打分': 3}
{'短评内容': '设施还可以，但晚上睡觉噪音略大，停车位紧张。', '短评打分': 1}
