{'短评内容': '大差了', '短评打分': 1}
{'短评内容': '房间潮湿', '短评打分': 2}
{'短评内容': '该酒店是不能加床的。酒店和携程没有协调好，对于开发票金额有问题。在携程订这家酒店要注意，以后尽量不要在这家酒店住了', '短评打分': 2}
{'短评内容': '该酒店不能提供早餐，很不方便，得出去吃早餐。交通还算方便，到火车站和贵阳机场都只有30多分钟的车程，酒店不能开增值税专用发票。', '短评打分': 2}
{'短评内容': '酒店交通方便，离我去的单位较近，订的最好的房间，房间设施一般，酒店比较老了一点。近期餐厅在修，没有早餐供应。', '短评打分': 4}
{'短评内容': '房间挺干净，也很安静，就是携程上面预定的不能入住，后来现场定的可以，总台服务也不错', '短评打分': 5}
{'短评内容': '因为就在酒店隔壁办事，因为方便就住在附近了。房间比较大，显得很空旷，窗外没有景色，比较单调。可能因为当地经济落后原因吧，整个城市都显得不是很有生气。但是同样正式因为如此，也有一番其他城市感受不到的特色。', '短评打分': 4}
{'短评内容': '房灯太暗，电视也开不了', '短评打分': 3}
{'短评内容': '交通方便，就是停车的位置小了点', '短评打分': 5}
{'短评内容': '交通方便，就是停车的地方小了点', '短评打分': 4}
{'短评内容': '在公路旁，去市里不方便！', '短评打分': 3}
{'短评内容': '第一次来住，朋友推荐，总体感觉不错，卫生较好，设施比较新，贵阳水不好，酒店每天送2小瓶水，很贴心 推荐！', '短评打分': 4}
{'短评内容': '住过很多次了，还算可以，床舒服，房间稍小。现在大门处增加了餐饮，看起来更完善了', '短评打分': 3}
{'短评内容': '挺好～就是床小点～环境还不错', '短评打分': 3}
{'短评内容': '还可以。床软得不行。', '短评打分': 3}
{'短评内容': '装修味道较重，马路过往车辆噪音大，隔音不好！', '短评打分': 3}
{'短评内容': '酒店很新，房间绝对超值。饭不太好，最好到外面吃。交通还算方便。很干净，很卫生，不错。', '短评打分': 3}
