{'短评内容': '很好    很安静', '短评打分': 5}
{'短评内容': '早餐不错。设施有点老旧了。热水要开5分钟以上才会热', '短评打分': 4}
{'短评内容': '酒店很舒服，设施也很到位，服务也好，晚上特别安静，马桶还有一次性马桶垫，最主要是价格比较合理，很舒心的', '短评打分': 5}
{'短评内容': '有停车位', '短评打分': 4}
{'短评内容': '帮老板定的房间，应该还不错，干净卫生', '短评打分': 5}
{'短评内容': '很好，性价比超高！', '短评打分': 5}
{'短评内容': '环境不错，甚是喜欢', '短评打分': 5}
{'短评内容': '服务态度很好，环境安静，房建整洁，入住之前提前开通空调，很贴心。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '卫生各方面都不错 服务到位', '短评打分': 5}
{'短评内容': '总体来看 还不错 就是空调声音太大', '短评打分': 4}
{'短评内容': '总体来看还不错 卫生设施还行 就是空调声音太大', '短评打分': 4}
{'短评内容': '因为到济源时间晚了，又在附近，所以定了这个宾馆，总体感觉还可以。因为第一次去济源，感觉这个地方有点偏僻。', '短评打分': 5}
{'短评内容': '帮别人订的还不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
