{'短评内容': '感觉还不错哟', '短评打分': 5}
{'短评内容': '挺好的！价格实惠！！', '短评打分': 5}
{'短评内容': '卫生不行，下次再也不预订这家了。', '短评打分': 2}
{'短评内容': '紧邻汽车客运站，房间很大，设施也不差，只是发现了一只蟑螂', '短评打分': 4}
{'短评内容': '不错。。这个价格应该是我住的最好的酒店了', '短评打分': 5}
{'短评内容': '房子挺干净的，住着挺舒服。放心。', '短评打分': 5}
{'短评内容': '相信京东，酒店条件还可以。毕竟价格在那里', '短评打分': 5}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '交通比较方便', '短评打分': 4}
{'短评内容': '挨酒店很近，环境不错', '短评打分': 5}
{'短评内容': '还行！！！', '短评打分': 5}
{'短评内容': '非常不错的', '短评打分': 3}
{'短评内容': '楼下比较好停车，酒店比较旧，灯光太暗，一个房间挨着电梯觉得太闹，跟服务员换，她不太愿意但是最后还是换了，结果床头没有充电的地方，房间还比较之前的小。', '短评打分': 5}
{'短评内容': '还可以，离车站也近', '短评打分': 5}
{'短评内容': '还不错，跟长途车站在一起，停车方便', '短评打分': 4}
{'短评内容': '还可以吧。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '多次入住，一如既往的好，方便', '短评打分': 5}
