{'短评内容': '不错的，早餐好吃', '短评打分': 5}
{'短评内容': '有点还行，差不多20个平。', '短评打分': 5}
{'短评内容': '可以吧，适合带孩子。', '短评打分': 5}
{'短评内容': '位置，不错，服务还好。', '短评打分': 5}
{'短评内容': '还可以？，，，', '短评打分': 5}
{'短评内容': '还不错的！还不错的！还不错的！还不错的！还不错的！还不错的！还不错的！还不错的！还不错的！还不错的！还不错的！还不错的！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '距离国际商贸城很近，服务态度温馨。干净利落！感觉不错！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错，价格便宜，还有早餐', '短评打分': 3}
{'短评内容': '路边有点吵！靠里面好一些！', '短评打分': 3}
{'短评内容': '还不错还不错', '短评打分': 3}
{'短评内容': '还可以！义乌差不多就是这样！再好点的就必须去星级的了！', '短评打分': 3}
