{'短评内容': '以后看来不能住了。', '短评打分': 3}
{'短评内容': '环境很好，适合商务亲子', '短评打分': 4}
{'短评内容': '还好很好', '短评打分': 5}
{'短评内容': '有点差', '短评打分': 3}
{'短评内容': '过来开会的，发现周边环境真的十分棒，早上起来空气超级好，人也清爽多了，超级羡慕住在周边的居民和旁边的学校，在这么个风水宝地生活！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '设施旧了 可惜了这个好地段。服务得一般 早餐不够丰富 典型的四星 离五星有很大差距 酒店比较脏 明显没有精心打理过 可惜了', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店周边的空气没的说，也非常的幽静。但是周边配套的餐厅便利店比较远。建议房间的小冰箱放入一些食品饮料酒水之类的。', '短评打分': 5}
{'短评内容': '07年开的酒店。工程维护还可以！就是卫生需要改进，灰尘比较多！', '短评打分': 5}
{'短评内容': '附近有工地。总体还行，阳台挺宽敞', '短评打分': 4}
{'短评内容': '洒家服务很差，和总台反应房间空调效果不好，居然没有人来房间过问一下，携程承诺的迎宾水果和报纸都没有。餐厅改造无法用餐', '短评打分': 3}
{'短评内容': '酒店餐厅在改造，没有饭吃，房间空调效果不好，向总台反应，无人来房间检查 服务差，携程承诺的迎宾水果和报纸都没有', '短评打分': 3}
{'短评内容': '设施不错，就是很荒凉的感觉，忒大一酒店感觉就我们几个入住，长走廊静悄悄地', '短评打分': 4}
{'短评内容': '每次去杭州都会入住这家酒店，安静整洁干净舒适。唯一不足的就是这次去赶上西餐厅在整顿没有早餐。', '短评打分': 5}
{'短评内容': '很喜欢那张床。很大。大约1.8m吧。嗯嗯。\n窗外面是泳池。可惜泳池是外包给个人的。游泳人很多，所以水不干净，而且10点以前都很吵，窗户不隔音。大厅挺大气的，早餐也挺好吃。总体比较满意。硬件达到了5星标准。前台语气有些生冷，需要再培训。\n话说真心不适合商旅客人。', '短评打分': 5}
{'短评内容': '酒店很不错，比较安静，适合度假', '短评打分': 3}
{'短评内容': '环境好服务不错 房间很舒适 下次还住希尔酒店 ', '短评打分': 5}
{'短评内容': '蛮干净，就是价位有点高；夏天去的话游泳池还可以用。', '短评打分': 5}
{'短评内容': '服务一般,住宿条件太差! ', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '环境不错，适合宋城景点游玩。服务很好，设施齐全。', '短评打分': 5}
