{'descr': '酒店位置比较好，出行很方便，但房间太小了，室内用品比较陈旧，早餐也一般，追求出行方便的话可以选择，周边有停车场', 'star': 3}
{'descr': '服务不行', 'star': 3}
{'descr': '房屋老旧，电视很小', 'star': 3}
{'descr': '酒店位置离鞋收非常感谢近，对我们上货的人非常方便，卫生和大多数快捷酒店差不多吧对我们来说经济实惠就好。', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '168元房间太破了，潮，不干净，现在住宿环境太差了！', 'star': 5}
{'descr': '住过好多次了，交通方便，', 'star': 5}
{'descr': '每次出来来都住这家酒店，也没什么特别好的，也没有什么特别不好的，就是便宜，离出差地方近，还算比较方便。', 'star': 4}
{'descr': '出差，也就那么一回事吧', 'star': 3}
{'descr': '环境一般，房间太小，服务还行', 'star': 4}
{'descr': '很满意', 'star': 4}
{'descr': '环境很一般', 'star': 2}
{'descr': '挺不错的，离着沈药也很近很方便，以后再出差去沈药还会选择这里', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '在这家住了很多次了，挺干净的，卫生间有点冷，牙刷没有以前的好了！', 'star': 5}
{'descr': '总体不错,但是因为校招,离学校步行15分钟,旁边交通便利,隔音比较差,网络也不是很好,但是总体还可以', 'star': 5}
{'descr': '水不错。', 'star': 4}
{'descr': ' 服务和环境都很不错，就是在路边稍微有点吵。这个价格算是物有所值～', 'star': 3}
{'descr': '还可以，只是路边还是稍微有点吵。\n打扫卫生有点不太仔细，卫生间还是会有之前客人留下的头发', 'star': 5}
{'descr': '  按订单已入住', 'star': 3}
{'descr': '环境还好，床单有些脏，不过还好！', 'star': 3}
{'descr': '位置不错  临近携程  屋子一双人床一单人床  家庭很适合', 'star': 5}
{'descr': '不错，地点也不错，可以推荐，今后还会入住。', 'star': 5}
{'descr': '还不错，挺好', 'star': 3}
{'descr': '比较好', 'star': 3}
{'descr': '房间很干净,前台服务态度不错。就是房间里有时有像是下水道反上来的气味，其他都还好，对得起这个价格。', 'star': 5}
{'descr': '服务不错，网络不好的时候先让我住下再办手续', 'star': 5}
{'descr': '已入住', 'star': 3}
