{'短评内容': '6137  6061服务很好', '短评打分': 5}
{'短评内容': '酒店前台接待热情，周到，房间比较大，自助晚餐和早餐性价比非常高!', '短评打分': 5}
{'短评内容': '很好，非常安静，自助餐口味不错', '短评打分': 5}
{'短评内容': '还算不错。', '短评打分': 5}
{'短评内容': '酒店地处南通市中心，交通十分便利；酒店设施很好，卫生清洁，前台、客房和餐厅接待服务正规够四星水平；有停车场，方便驾车的游客。酒店餐饮服务很好，早餐的小馄饨味道极好，有机会再去品尝。', '短评打分': 5}
{'短评内容': '出差经常居住', '短评打分': 5}
{'短评内容': '酒店房间安静，前台6127服务态度很好，赞～', '短评打分': 5}
{'短评内容': '酒店前台tui房很快 好评 尤其前台小曹 每次都住这里 出差首先 很人性化', '短评打分': 5}
{'短评内容': '酒店服务很好！很舒服！很干净！很满意！交通也很方便', '短评打分': 5}
{'短评内容': '6061,6017服务好好！', '短评打分': 5}
{'短评内容': '服务态度不错', '短评打分': 5}
{'短评内容': '房间的设备装修有些老，好在地理位置比较方便。', '短评打分': 5}
{'短评内容': '酒店位置好，闹中取静，房间比较大，wifi 信号也不错。早餐很丰富，晚饭饭店的自助餐也很不错，住店客人还有优惠。', '短评打分': 5}
{'短评内容': '6133服务特别周到细致，酒店环境好，宽敞舒适', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 4}
{'短评内容': '前台服务好，服务员态度很棒。房间设施崭新。', '短评打分': 5}
{'短评内容': '附楼的水管声音很大，水压不稳，空调噪音大', '短评打分': 4}
{'短评内容': '6127，6017两位服务热情。房间也好，十分干净，地理位置比较方便，出门就能打到出租车。早上的自助餐比较丰富。', '短评打分': 5}
{'短评内容': '酒店很好很好，价格又实惠，下次还会入住', '短评打分': 5}
{'短评内容': '地理位置优越，处于南通主干道上，去哪里都方便，下次还会入住。', '短评打分': 4}
{'短评内容': '环境很好，最主要干净', '短评打分': 5}
{'短评内容': '交通便利，环境优美，早餐丰富，服务还有提高的空间。', '短评打分': 5}
{'短评内容': '舒适，干净', '短评打分': 5}
{'短评内容': '停车很方便，床单不够舒服，马桶冲不掉，早餐还是比较丰盛的', '短评打分': 5}
{'短评内容': '客房收拾很干净，周边环境也很好，离濠河非常近，晚上出门散步很爽', '短评打分': 5}
{'短评内容': '一如既往的好，干净，早餐很丰富，周围能逛街的地方也多。', '短评打分': 3}
{'短评内容': '还不错，蛮好的。早餐不错，服务也不错，值得起这个价。', '短评打分': 5}
{'短评内容': '住的不错，以前没和祖国，住过一次还想住。', '短评打分': 5}
{'短评内容': '外面环境还行，房间条件一般，总觉得大值这个价格。', '短评打分': 5}
{'短评内容': '來南通一直都住此酒店 很奇怪就是 早餐每次菜色都是差不多 廚師也太懶了吧\n6月天 主樓中央空調沒開 悶啊 打電話問總台 總台問我是哪間房 查一下回我電話\n一直到早上連個電鈴都沒響過 沒這麼忽悠客人的吧\n熱水也小  為何硬件和外觀都看起來不錯的飯店 軟件服務看來要好好加強了', '短评打分': 5}
{'短评内容': '地理位置不错，有庭院风格，比较喜欢。下次还会住。', '短评打分': 5}
{'短评内容': '环境很不错，交通也可以，适合15-30个人的同学聚会包括住宿', '短评打分': 5}
{'短评内容': '酒店环境不错,入住后感觉房间设计很舒适,晚上睡觉很安静,早餐也十分丰富。缺点：前台服务态度不是很好。', '短评打分': 5}
{'短评内容': '附楼确实不行，又吵又潮，性价比不高，设施一般。', '短评打分': 1}
{'短评内容': '地理位置好、\n服务态度好\n环境也还不错\n就是我住的副楼有股烟味道', '短评打分': 5}
{'短评内容': '交通，环境都不错。床也舒服。\n就是隔音太差，旁边一对一宿没睡', '短评打分': 5}
{'短评内容': '哇靠，，早餐的服务态度太差了。。。哇靠，，早餐的服务态度太差了。。。哇靠，，早餐的服务态度太差了。。。哇靠，，早餐的服务态度太差了。。。', '短评打分': 1}
{'短评内容': '酒店不错，早餐不错，房间不错，卫生不错，价格小贵。性价比还行。', '短评打分': 5}
{'短评内容': '服务很好，退房时把手机落房间了，整理房间的服务员及时发现并交还给我赞一个', '短评打分': 5}
{'短评内容': '房间安静不吵闹，床很舒服，推荐，停车方便', '短评打分': 5}
{'短评内容': '性价比不错，很安静，停车方便，席梦思很舒适', '短评打分': 5}
{'短评内容': '老板评价服务水平下降，员工英文水平太低，需要改善', '短评打分': 1}
{'短评内容': '很不错的酒店。很舒适，很安全，服务也很好，早餐很丰盛。值得推荐。', '短评打分': 5}
{'短评内容': '不错不错，非常不错。酒店很大，很气派，前台服务也很好。房间很安静、大床很舒适，总之来说很好。值得向大家推荐。', '短评打分': 5}
{'短评内容': '已经是酒店的老顾客了,每次来南通都住这家酒店.但是这次3/22入住,酒店却安排了一楼的房间而且也不是我想要的大床房.这个房型是预定的时候就通知了的,不仅没帮忙解决,而且还是一楼的....(之前就跟酒店有交待过的,不要安排一楼的房间,这次也是提早很多天就预定了的.)', '短评打分': 1}
{'短评内容': '服务态度好，结账也比较快，卫生环境很好。值得推荐。', '短评打分': 5}
{'短评内容': '很好的酒店，可以推荐给朋友，出差旅游比好合适。卫生很好', '短评打分': 5}
{'短评内容': '酒店好，环境好，位置好，前台服务好', '短评打分': 3}
{'短评内容': '地理位置好，酒店别有洞天。房间布置有特色。', '短评打分': 5}
{'短评内容': '前台服务极其差劲！西餐厅人多，吵闹！卫生间太挤，床单被套太硬！', '短评打分': 1}
{'短评内容': '酒店早餐可吃的东西太少；房间空调声音太响，像拖拉机轰鸣；卫生间莲蓬头出水量太少，冲了15分钟，都没把洗头液冲干净，总之，此间酒店实在是一般，与四星级酒店的标准不算匹配。', '短评打分': 1}
{'短评内容': '这次特惠房给的是大床房，房间空间好，如果是标间就太挤了，席梦思很软，舒服。', '短评打分': 5}
{'短评内容': '酒店很热门，没住到主楼，房间有烟味。格局感觉是改建成酒店的样子。马马虎虎吧', '短评打分': 5}
{'短评内容': '距离高速路口很近，酒店不错，值得大家入住', '短评打分': 5}
{'短评内容': '蛮好，第N次入住。', '短评打分': 3}
{'短评内容': '酒店挺干净，房间有点小，服务也不错。 总体很舒适。', '短评打分': 5}
{'短评内容': '夏天住店的话游泳池非常好，房间也不错，就是早餐太简单了。', '短评打分': 5}
{'短评内容': '比较干净，服务也不错。\n地点的位置比较好，停车也方便。', '短评打分': 5}
{'短评内容': '不错的酒店，下次还会入住的，各方面都不错。', '短评打分': 5}
{'短评内容': '酒店餐厅需要改善，冬天暖气开的晚，早餐要改善', '短评打分': 5}
{'短评内容': '酒店性价比还不错.因此目前看来,预订的人员越来越多,订房不太方便,估计价格要涨了.', '短评打分': 5}
{'短评内容': '前台服务超差.\n房间霉味严重.\n外面喷泉很吵.\n不知道明天的早餐如何.', '短评打分': 1}
{'短评内容': '还好吧，说不出有什么特别的，感觉一般，不好不坏。', '短评打分': 5}
{'短评内容': '这次住的1301，房间很小，不过浴室不是透明的了，还有洗澡水时冷时热', '短评打分': 5}
