{'descr': '性价比高', 'star': 4}
{'descr': '有蚊子，其他还好', 'star': 4}
{'descr': '很实惠，是原来华住的合作商，貌似现在没有关系了', 'star': 4}
{'descr': '房间很干净，晚上睡觉时候也很安静，对面就是超市和购物中心，公交车站，非常方便。服务人员态度也很友善，都尽力帮着解决一些问题，酒店设施稍微旧了些，但对的起这个价格，毕竟是全国连锁的酒店，价格可是周边最便宜的。旁边就是长江大桥，吃完晚饭，消消停停的上桥看看夜景去', 'star': 4}
{'descr': '比较没感觉的一次体验，汉庭在我心里印象down到最低', 'star': 3}
{'descr': '酒店设施相对较老，房间木地板踩着有声音！房间灯光有点昏暗，不是很明亮！总体来说还可以吧！性价比还行！', 'star': 4}
{'descr': '不怎么的，价格和设施不匹配', 'star': 3}
{'descr': '服务很好', 'star': 5}
{'descr': '感觉挺不不错，服务很好', 'star': 5}
{'descr': '环境一般，水管刚出水时还是黄色的水，吓死宝宝了！网速也一般！', 'star': 4}
{'descr': '还不错啊！', 'star': 4}
{'descr': '看到酒店里面的环境，吓跑了，很小很矮很黑的地方，服务员态度比较僵硬，只会说不可以', 'star': 2}
{'descr': '还行吧，离车站远点点，机场远点点，离景区呢，几公里，', 'star': 4}
{'descr': '  这家汉庭服务不错，办理入住速度很快～这点很赞～环境不错～', 'star': 3}
{'descr': '房间还可以，就是临街的有点吵', 'star': 3}
{'descr': '网速慢的很，房间旧了点，单干净.。。。。。。', 'star': 5}
{'descr': '网速太蛋疼！', 'star': 3}
{'descr': '不好，位置尽然在楼道里。电视机坏的不能看了。。哎，不知道怎么形容了！！！！！', 'star': 1}
{'descr': '特价间果然很差，空调不热，床上不是很干净，睡觉时候感到皮肤痒，这里不推荐特价房！但是可以考虑大床房！', 'star': 1}
{'descr': '汉庭床垫不舒服，服务员又给了一床被子垫着还行', 'star': 3}
{'descr': '地理位置还不错，有窗，有家的感觉，以后来还会入住', 'star': 5}
{'descr': '隔音效果不佳，服务倒是不错，一般般吧，所以不推荐', 'star': 1}
{'descr': '稍微有点压抑的感觉，当然性价比并不差，但是还是希望在酒店布局上有所改进,这就够perfect了.....', 'star': 5}
{'descr': '不错，服务态度很好，交通也方便，附近就有超市，万达广场，网速也很快。就是电视机不咋地，频道不是很多', 'star': 5}
{'descr': '第一次住汉庭，很满意，电梯中的刷卡才能用的设施让我觉得很安全，枕头很舒服，还有就是那个门得设计很特别，还会再住汉庭', 'star': 5}
{'descr': '条件不错，房间够大,地段也好，离市中心，火车站打车补超过20块！', 'star': 5}
{'descr': '环境不错,住的大床房,很干净温馨,房间也够大,细节做的很好,交通也很方便,旁边就是长途汽车西站,离万达广场也很近.\u3000', 'star': 3}
{'descr': '一般.不是很满意', 'star': 3}
{'descr': '环境还好！是否能增加午餐更佳！', 'star': 3}
{'descr': '不错的地方  安静  什么时候再去一次。', 'star': 5}
{'descr': ' 我已入住 但是网速太慢', 'star': 3}
{'descr': '总体还不错，交通也方便，靠近汽车西站，去市中心或是风景区都很便利', 'star': 5}
{'descr': '服务态度很好，大床房设施不错，住的很舒服', 'star': 5}
{'descr': '环境一般，设施有点陈旧，主要是没有喝的茶包。不过服务员服务还可以，微笑有礼', 'star': 1}
{'descr': '房间不是很好，床不舒服', 'star': 5}
{'descr': '没有什么特别好或坏的感觉，酒店设计很人性化', 'star': 5}
{'descr': '店不错，下次可以再住。', 'star': 5}
{'descr': '很简单的酒店，房间很干净，设施完善，性价比高，还会住的。', 'star': 5}
{'descr': '交通便利，性价比高的快捷酒店', 'star': 5}
{'descr': '酒店的环境硬件设施都比较达标，就是卫生不太好，酒店打扫很不彻底，位置比较不错，中心地段出行方便，价格算是比较合理适中的。但是最基本的卫生很差，不能接受。', 'star': 1}
{'descr': '很值得一住的酒店。以后还想住。', 'star': 5}
{'descr': '地段还可以，周边超市、饭店都挺近的', 'star': 5}
{'descr': '很安静', 'star': 5}
{'descr': '性价比挺高，挺干净，还算不错', 'star': 5}
{'descr': '性价比较高，临近无锡西站（客运站）', 'star': 5}
{'descr': '给的房间是重新分割的，地面凹凸不平。虽然是亲开张，但是房间设施看上去陈旧。没有窗户，很压抑。', 'star': 1}
{'descr': '一般', 'star': 5}
{'descr': '性价比高，服务环境也不错，交通很方便', 'star': 5}
