{'短评内容': '很安静 早餐很好', '短评打分': 5}
{'短评内容': '培训中心就在对面，非常近！周边吃的也很多，方便！', '短评打分': 4}
{'短评内容': '培训中心就在对面，非常近！周边吃的也很多，方便！', '短评打分': 4}
{'短评内容': '培训中心就在对面，非常近！周边吃的也很多，方便！', '短评打分': 4}
{'短评内容': '住过最烂的酒店没有之一、房间两条浴巾、一条里面有一条又黑又长的头发（本人短头发）另外一条毛巾还卷着不知道哪个客人的香皂。打电话到前台投诉连句最基本的道歉都没有。身为在酒店工作的人实在接受不了卫生质量这么差的酒店、将心比心是个人都不会选择住这种酒店。差评差评差评！！！', '短评打分': 2}
{'短评内容': '很旧，一般。', '短评打分': 5}
{'短评内容': '一直入住本酒店，离市中心十分钟，地铁五分钟，出行无忧', '短评打分': 5}
{'短评内容': '给老爸同学定的，应该是不错哒', '短评打分': 5}
{'短评内容': '给老爸同学定的，应该是不错哒~', '短评打分': 5}
{'短评内容': '性价比高，价廉物美。周边比较方便，吃饭的地方很多。酒店装修时间比较久，相对于价格，还是非常不错的。服务态度也是不错。', '短评打分': 5}
{'短评内容': '値段の割には満足です。私の希望で有るバスタブ、冷蔵庫付で満足です。浴槽、洗面所等水栓周りはカビが出ていて清潔とは感じません。気になる人は検討要です。シャワーの水圧は問題有りませんが、宿泊者のお湯を使う時間帯が集中してしまうと出ない事が有りますがフロントに言えば１時間後位には出て来ます。部屋のWiFiは問題有りません。（結構電波は強いです）。テーブルタップもフロントに言えば貸してくれます。交通の便も', '短评打分': 3}
{'短评内容': '天呐，房间内居然有小强，安静的躺在床上，舒舒服服的吹着暖空调。太可怕了。为什么会有小强呢？它是从哪里来的呢？天呐！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '很不错的酒店，位置方便，配置较好', '短评打分': 5}
{'短评内容': '住宿环境还不错，就是早餐不怎么样，其它还凑活', '短评打分': 4}
{'短评内容': '住宿环境还不错，就是早餐不怎么样，其它还凑活', '短评打分': 4}
{'短评内容': '酒店空调不冷', '短评打分': 3}
{'短评内容': '空调不行，说好有浴缸的竟然没有，失望，下次换', '短评打分': 1}
