{'短评内容': '周围环境好', '短评打分': 5}
{'短评内容': '电视坏的，交通基本打车，不怎么方便', '短评打分': 3}
{'短评内容': '环境不错，周边方便，斜对面有一个大众海鲜很不错', '短评打分': 5}
{'短评内容': '房间不干净 ', '短评打分': 1}
{'短评内容': '酒店太破旧了。', '短评打分': 3}
{'短评内容': '还可以，挺好', '短评打分': 5}
{'短评内容': '房间内的Wi-Fi型号不怎么好，卫生间也没有洗浴液，房间还算干净，携程上价格还算实惠，大冬天这里很冷，周边1公里内少餐饮！', '短评打分': 4}
{'短评内容': '离海滩较近，餐厅服务可以，有仃车场', '短评打分': 3}
{'短评内容': '还行，值得入住', '短评打分': 4}
{'短评内容': '价格小贵，设施不太好，酒店位置还不错。', '短评打分': 4}
{'短评内容': '环境很不错，安全有保障。还有早餐吃', '短评打分': 5}
{'短评内容': '很好的一家酒店，值得入住！！！', '短评打分': 4}
{'短评内容': '酒店很干净，离办公的地方很近很方便', '短评打分': 5}
{'短评内容': '酒店周边餐饮比较少，其他各项服务还可以', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '条件太一般了，最不可忍受的是住了两天，尽然没有服务员收拾房间，还要自己亲自动手收拾，唯一的好处就是离海边较近，走到海边也只要10几分钟。', '短评打分': 5}
{'短评内容': '硬件设施还可以，但是屋子有些潮，还有一点结账的时候居然有人把午餐费用随便的挂到我们房间号上，这点做的非常不好。', '短评打分': 5}
{'短评内容': '酒店出行交通方便，内部设施不错，离海边步行即可。不足之处是酒店宣传的住宿费含双早，入住后前台却说要另外加十元，钱虽不多但我觉得是个信誉问题，希望酒店能改进。', '短评打分': 5}
{'短评内容': '外部环境还不错，位置距离马路有一段距离比较很安静，离海边不远，部分窗户可以看到海。\n楼内感觉有点显旧，硬件设施一般。', '短评打分': 5}
{'短评内容': '还不错孙书新', '短评打分': 3}
{'短评内容': '虽然房间小，设施有些陈旧，但服务很热情，值得推荐。只是出门打车要走一截才行。', '短评打分': 5}
{'短评内容': '设施条件差！！位置到还可以，旁边就是广源超市。就是条件太差了，只有双人房间', '短评打分': 1}
{'短评内容': '呵呵环境不错很干净前台mm态度也不错.就是饭菜不太和口味呵呵', '短评打分': 5}
{'短评内容': '还不如汉庭的设施呢，不过位置很好，很安静，安全', '短评打分': 1}
{'短评内容': '房间的卫生设施都还行，价格还是稍微贵了一些感觉和酒店的环境一点都不匹配，位置也不是太好。', '短评打分': 1}
{'短评内容': '我以后不想住这一个饭店.', '短评打分': 1}
