{'短评内容': '环境优美 地理位置优越 价格划算值得入住', '短评打分': 5}
{'短评内容': '性价比不错，位置好，安静！', '短评打分': 5}
{'短评内容': '就是一个公寓，环境一般，卫生真的太次了，马桶有灰，床上还有脏的，房间特别小，真的不咋地，本来奔着海景房去的，到了之后才发现啥都没有，第二天立刻换酒店住，根本没有网上看着那么好，这不是酒店没有早餐', '短评打分': 1}
{'短评内容': '不太好', '短评打分': 1}
{'短评内容': '环境很好面对大海很舒服', '短评打分': 5}
{'短评内容': '老板热情不错。', '短评打分': 5}
{'短评内容': '三亚椰海风情精品海景公寓(原椰海风情度假旅馆) 一线海景大床房(观海飘窗) 老板确实挺热情的。而且这种家庭公寓性价比挺好的。住宿地点都很方便。不错', '短评打分': 5}
{'短评内容': '很不错的酒店，贴心的服务', '短评打分': 5}
{'短评内容': '很不错的酒店，贴心的服务', '短评打分': 5}
{'短评内容': '非常不错的老板和贴心的服务', '短评打分': 4}
{'短评内容': '酒店真的很温馨哦！就像自己家一样，干净整洁，温馨舒适，因为自己带了两个小宝宝，其中一个房间就是一整张大床，再不用担心宝宝滚掉地上啦，躺在床上就能看见大海，心情豁然开朗！厨房有冰箱，卫生间有洗衣机！小区停车一天最高10元，也不贵！不过小区的泳池是另收费的，所以我们就直接去海边啦，很近很方便，楼下商业繁华，做什么都方便！很满意哦！', '短评打分': 5}
{'短评内容': '非常非常好', '短评打分': 5}
{'短评内容': '房间小，卫生一般，价格偏高，', '短评打分': 4}
{'短评内容': '在携程上找了三天的酒店最后也不知道为什么锁定这家。办理入住的时候就觉得好暖心！房东都是东北人，我自己也算是东北人，进门就帮着拿行李让我们坐下，态度非常好很热情！然后带我们去海景房的路上那个美女看上去特别瘦小但是我们两个人的行李她一个人硬是要帮忙提～房间较小但是我个人就喜欢这种的感觉很紧凑，麻雀虽小五脏俱全。床挨着落地窗，推开就是大东海！每晚都坐在飘窗的凉倚上～热水随时有！第二天晚上停热水了我们打电', '短评打分': 5}
{'短评内容': '还是我，订了两次，所以要点评两次，该说的前面说过了！不重复，总之就是好！', '短评打分': 5}
{'短评内容': '地段好，价格好，整体性价比非常高！ 来这边旅游的，第一天住对面的荷泰，感觉很一般！还贵！后来抱着尝试的心态入住这里，结果出乎意料！好，好，好！ 我觉得选择这里是对的，我不追求什么海景，海景白天能看，晚上乌漆麻黑的，白天看，不如直接下海？晚上这里还可以看夜景，如图！ 而且老板一家特别热情，有啥事一个电话，服务非常周到 房间格局非常好，装修很有风格，不大不小刚刚好！还有洗衣机，阳台洗衣服，一个晚上绝对', '短评打分': 5}
{'短评内容': '老板很热情，我定的是一室一厅来了之后老板免费给升级成两室一厅的房子，房间不错，收拾的也很干净，下楼步行三分钟，就到大东海的海边了，非常方便。附近的网乐超市买东西相对其他超市比较便宜，吃饭的话周边的饭店比较多，有些还可以团购。', '短评打分': 5}
