{'短评内容': '早餐还可以', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '位置不错。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 5}
{'短评内容': '早餐还行，方便许多', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '一般，住住还行', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错，就是前面修路，交通不方便', '短评打分': 4}
{'短评内容': '蛮好的，便宜', '短评打分': 4}
{'短评内容': '价格实惠，交通便利，房间干净', '短评打分': 5}
{'短评内容': '很不错的干净', '短评打分': 5}
{'短评内容': '酒店卫生还可以，周边环境不是很好', '短评打分': 4}
{'短评内容': '环境差', '短评打分': 3}
{'短评内容': '很偏，其它都还行！', '短评打分': 3}
{'短评内容': '很偏，其它都还行！', '短评打分': 3}
{'短评内容': '环境不错，价格实惠', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '可以', '短评打分': 3}
