{'短评内容': '在市场附近，晚上太乱了，总体一般吧', '短评打分': 4}
{'短评内容': '太差了，服务不好', '短评打分': 1}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店装修有点老，临近批发市场有点吵', '短评打分': 4}
{'短评内容': '老旧了', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还是很不错的，性价比可以，旁边吃饭也很方便', '短评打分': 5}
{'短评内容': '还是很不错的，周边吃饭也很方便，主要离目的地也很近', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间的电老是跳，空调也经常“被关”。还有觉服务员态度感觉多咨询她一点像被你赚了她钱一样。不如其他连锁酒店。', '短评打分': 4}
{'短评内容': '还可以，性价比不错', '短评打分': 4}
{'短评内容': '各方面都还不错，我们常年在外出差，少不了有个好的环境休息', '短评打分': 4}
{'短评内容': '个人感觉还不错，该有的都有，我住的房间有个大窗，超赞！', '短评打分': 3}
{'短评内容': '边上一夜三轮车吵死了，墙纸都是破的', '短评打分': 1}
{'短评内容': '挺不错的，该有的都有！尤其是临街有个大窗！', '短评打分': 3}
