{'短评内容': '感觉挺好的感觉挺好的感觉挺好的感觉挺好的感觉挺好的感觉挺好的感觉挺好的感觉挺好的感觉挺好的感觉挺好的', '短评打分': 5}
{'短评内容': '没什么可说的', '短评打分': 1}
{'短评内容': '经济实惠', '短评打分': 4}
{'短评内容': '房间还可以，环境很安静，但是空调老旧总是乱响。周边环境很方便', '短评打分': 4}
{'短评内容': '还不错哦！', '短评打分': 5}
{'短评内容': '位置和性价比都很好，如果设施更新些就完美了。周边吃饭和出行都很方便，如果下次来附近还会选择住在这里。', '短评打分': 5}
{'短评内容': '设施很一般，酒店在四楼五楼，隔音不好。', '短评打分': 4}
{'短评内容': '钱要多了，到店多支付一百', '短评打分': 1}
{'短评内容': '环境不错，价格便宜。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 4}
{'短评内容': '酒店设施有点旧了，整体还算干净，靠近桂林路购物逛街很方便！', '短评打分': 4}
{'短评内容': '不错！位置不错！值得下次去', '短评打分': 3}
{'短评内容': '挺好的，环境干净，里面服务都不错。', '短评打分': 3}
{'短评内容': '挺好的，里面环境很好，值得信赖的酒店', '短评打分': 3}
