{'短评内容': '房间硬件设施差了点', '短评打分': 3}
{'短评内容': '离市场近，办事方便', '短评打分': 5}
{'短评内容': '房间还可以 挺干净的', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '有停车场，很好，性价比超好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '很不错的酒店，从携程预订比铂金卡入驻还便宜，酒店除了服务的态度一般外其他方面都很不错，值得推荐！', '短评打分': 5}
{'短评内容': '不错，下次还来。', '短评打分': 5}
{'短评内容': '挺好，值得一住的宾馆', '短评打分': 5}
{'短评内容': '以前住过几次，但是这次是最满意的，好像是换了床垫，睡了个舒坦觉，无线比以前好多了，现在晚上办公一点不卡，下次来滨州还会过来，还有叫我感到惊喜的是早上退房时正好碰到他们开晨会，感觉企业文化很好，背诵弟子规，回去我给经理提建议', '短评打分': 5}
{'短评内容': '房间空间很大，周边离市中心近，服务员服务态度好,主动热情。', '短评打分': 5}
{'短评内容': '酒店房间面积不错，干净卫生，就是空调噪音太大了。', '短评打分': 3}
{'短评内容': '刚入住，条件可以，不过总台人员有点冷。', '短评打分': 3}
{'短评内容': '很好~~满意很好~~满意很好~~满意很好~~满意', '短评打分': 5}
{'短评内容': '价格便宜,就是房间有点旧,地点还算方便,推荐入住.', '短评打分': 5}
{'短评内容': '环境不错，地理位置较好，房间卫生良好，就是入住那天电梯在检修害的爬楼梯。', '短评打分': 5}
{'短评内容': '酒店整体干净卫生，暖气很足，房间也很大，环境也安静，很好，就是早餐不是很值', '短评打分': 5}
{'短评内容': '大致还可以吧，有小强，但是房间总体还不错，性价比挺高的', '短评打分': 5}
{'短评内容': '此店服务卫生都可以，但据滨州汽车总站太远了与标注不相符。', '短评打分': 5}
{'短评内容': '环境不错，设施也很好。但是没有吹风机，女孩头发很难干的，请他 的都不错。。。下次我还是回来的。', '短评打分': 5}
{'短评内容': '其实就酒店本身来讲，我是投支持票，在其他城市出差也选这家酒店，但滨州的这家位置太差了，酒店窗户的隔音太差了，临街的马路通宵车辆没有停过，而且在夜深人静的时候，感觉像睡在马路上，早晨6点半又赶上结婚的锣鼓，到7点为止足足敲了三遍，太爽了！本来预定了二天，押金都交了，结果早上起来匆匆结账，逃离此地了。', '短评打分': 1}
{'短评内容': '房间稍微有些小，不过后面的停车场还算是比较方便。酒店附近就有药店和吃自助烤肉的地方，算是方便。', '短评打分': 3}
{'短评内容': '家庭房的一张大床一张小床，大床睡起来还是比较舒服的。', '短评打分': 3}
{'短评内容': '入住了，感觉房间还不错，房间里的卫生还不错。就是进来的时候有些味道。挺好的！推荐！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '干净卫生，性价比很好', '短评打分': 3}
{'短评内容': '服务上还不错，基本的设施生活用品都有，价格也比较合理，整体感觉还不错。', '短评打分': 5}
{'短评内容': '性价比很好', '短评打分': 5}
{'短评内容': '可惜就是没有餐厅，小超市物品倒是很齐全', '短评打分': 5}
{'短评内容': '设施挺一般的房间里面感觉挺陈旧的，另外感觉它的卫生打扫的还不是太干净，服务挺一般的，不过酒店的位置还是挺好找的，价格方面也还是比较合理。感觉还是挺一般的酒店。', '短评打分': 1}
{'短评内容': '环境还不错，地理位置很好，交通很方便，有很大的停车场。\r\n房间设施还可以，就是床有点硬，睡觉不是很舒服', '短评打分': 5}
{'短评内容': '服务很周到，主动帮拿行李', '短评打分': 5}
{'短评内容': '房间的床令我最满意，不错', '短评打分': 5}
{'短评内容': '总的评价就是还不错,房间比较干净,并且周围就有商场,购物还是比较方便的', '短评打分': 5}
{'短评内容': '没有早餐是很遗憾啊!', '短评打分': 5}
{'短评内容': '可以入住 挺干净的 就是排水系统有点问题', '短评打分': 5}
