{'短评内容': '挺不错的点，位置也极好，不过隔音效果不太理想。', '短评打分': 4}
{'短评内容': '房间很大，花洒是坏的，电视遥控器也不好使，放假冷。', '短评打分': 5}
{'短评内容': '服务挺好，', '短评打分': 5}
{'短评内容': '不能', '短评打分': 1}
{'短评内容': '就在小吃夜市旁边。可以停车。', '短评打分': 5}
{'短评内容': '位置好，有停车场', '短评打分': 5}
{'短评内容': '早餐不错，酒店位置离正宁路夜市很近。环境不错，很安静，有停车场方便停车，wifi信号也不错，前台服务很热情。', '短评打分': 5}
{'短评内容': '环境不错，每次出差就住这里！也很干净！', '短评打分': 5}
{'短评内容': '啥时候开速八了 一点印象都没有 貌似又是给人订的', '短评打分': 5}
{'短评内容': '环境不错，也挺干净的，服务也不错！', '短评打分': 5}
{'短评内容': '...........', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '环境不错，离小吃街非常近，服务员非常贴心', '短评打分': 5}
{'短评内容': '安静 整洁 舒适', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好好好，', '短评打分': 5}
{'短评内容': '就是离小吃街很近，出差来住了几次，比较习惯了，服务员态度还可以', '短评打分': 4}
{'短评内容': '此次西北出行最垃圾的一次住宿。  酒店位于城中间很狭窄的一个巷子里，相当不好停车。  我们大概接近8：30到的，已经没车位了。  就问前台那里可以停车：  前台：去对面看看； 我：已经看了，停满了。 前台：哦，那就没有了。 我：请问附近那里可以停呢？ 前台：没有了。 我：远一点的地方呢，比如收费的停车场或商场里呢？ 前台：没有了。 我：难道兰州那么大，就没停车的地方了吗？ 前台：没有了…………  ', '短评打分': 2}
{'短评内容': '还可以，', '短评打分': 4}
{'短评内容': '环境可以，服务好，早餐不好吃环境可以，服务好，早餐不好吃环境可以，服务好，早餐不好吃环境可以，服务好，早餐不好吃', '短评打分': 5}
{'短评内容': '卫生挺干净的～设施有点简陋', '短评打分': 5}
{'短评内容': '服务很好，卫生不行，网速太慢，位置可以。', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '离小吃街比较近，也比较近！就是室内环境稍稍差了点！', '短评打分': 4}
{'短评内容': '人多，嘈杂，晚上睡觉各种声音', '短评打分': 4}
{'短评内容': '第一次住速8，服务很好，以后还会选择，推荐一下', '短评打分': 5}
{'短评内容': '还可以 位置有点深 空调不能用 有点冷 服务还可以，就是打扫卫生的时间有点晚', '短评打分': 5}
{'短评内容': '配套设施差,环境太吵闹......房价相比偏贵,早餐质量太差.', '短评打分': 1}
{'短评内容': '真的挺好的，风格很适合年轻人居住，不过就是位置有一点点偏。', '短评打分': 5}
{'短评内容': ' 还好，安静，就是床有点硬，卫生挺好，交通挺方便', '短评打分': 5}
{'短评内容': '服务态度很好。房间很干净，感觉还不错。', '短评打分': 3}
{'短评内容': '房间有点冷，比较安静离步行街也近，价格稍微有点贵，酒店里的餐馆和房费之间分开结算不是很好。', '短评打分': 5}
{'短评内容': '不错，很干净，楼层低会稍微有些吵o(∩_∩)o...', '短评打分': 5}
{'短评内容': '非常干净', '短评打分': 3}
