{'短评内容': '满意满意', '短评打分': 5}
{'短评内容': '日照香炉生紫烟，貌似旅游城市呀。这次是路过贵酒店歇脚，经济实惠价格不贵，服务也很好呀，接待我的姓范的小姑凉爱笑，热情', '短评打分': 5}
{'短评内容': '大床，还是如家的装饰风格，不错，卫生间干湿分离，就是相对户型较小，比较适合家庭出游和情侣，服务大妈很热情！', '短评打分': 5}
{'短评内容': '满意，非常满意', '短评打分': 5}
{'短评内容': '位置很方便，值得推荐!', '短评打分': 5}
{'短评内容': '位置优越环境优雅服务热情', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '非常好，非常舒服，温馨', '短评打分': 5}
{'短评内容': '位置不错，紧邻火车站，不足之处是第二天早餐量太少，还要等待。', '短评打分': 4}
{'短评内容': '房间很不错，我是一个人旅游，住在火车站出行方便，车站有车直接到灯塔公园，很喜欢这个地方！', '短评打分': 5}
{'短评内容': '地理位置优越，周边小吃很多且价格适中，酒店卫生可以就是不隔音。。。。', '短评打分': 4}
{'短评内容': '环境不错，距离又近，还是连锁的', '短评打分': 4}
{'短评内容': '特别满意，只是房间以后要提前放两瓶水，不然没有水喝，总体特别满意', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间不大，但是很舒适温暖。', '短评打分': 5}
{'短评内容': '住了几次了把，感觉还算不错被子稍微有点潮，住了两天也没给换床单，还是床单一直都不换，是个问题', '短评打分': 4}
{'短评内容': '评价晚了挺好', '短评打分': 4}
{'短评内容': '挺干净的阳光很好，就是空间有点小，', '短评打分': 5}
{'短评内容': '挺好的！卫生干净，服务周到热情，价格也合理。', '短评打分': 5}
{'短评内容': '挺好的，服务满意，环境挺好，不够水挺凉，房间很小，还是可以的吧', '短评打分': 5}
{'短评内容': '酒店服务很好，确实有房，卫生也可以，很方便！', '短评打分': 3}
{'短评内容': '如家，如家的感觉。干净  清爽  方便', '短评打分': 3}
{'短评内容': '信息准确，服务周到', '短评打分': 3}
{'短评内容': '房间有点小，环境依旧是如家一贯的，很好！', '短评打分': 5}
{'短评内容': '很不错，一连住了5天，服务到位，卫生也挺好，就是隔音不好，不过总的来说还是不错了', '短评打分': 5}
{'短评内容': '不错的地方，如家名符其实。卫生和服务都很好', '短评打分': 5}
{'短评内容': '挺好的   就是可能离海边有点近  床有点潮                                              ', '短评打分': 5}
{'短评内容': '如家一直都是不错的，但不知道为什么最近住的如家都不再提供餐饮服务，这点实在是不方便。其他都不错的。', '短评打分': 5}
{'短评内容': ' 很好下次还会选择。', '短评打分': 3}
{'短评内容': '如家 一直是我的选择！一样的好！如家如家的感觉！全国连锁！大家都知道！呵呵', '短评打分': 5}
{'短评内容': '酒店总体不错，就是隔音效果一般', '短评打分': 3}
{'短评内容': '房间有点小，不过早餐很好吃，方便了很多~', '短评打分': 5}
{'短评内容': '好行！！！性价比都很好，下次还回来了。。。。。', '短评打分': 5}
{'短评内容': '干净，卫生，经济实惠，适合经常出差的商业人士。给人感觉不错。', '短评打分': 5}
{'短评内容': '酒店非常不错，干净卫生，服务热情，对面就是火车站，交通便利！！', '短评打分': 5}
{'短评内容': '很不错的，卫生干净还很有诚信，希望今后在晚间十点入住高峰期间能更快入住。', '短评打分': 5}
{'短评内容': '很温馨，很干净，我和老公很喜欢，很享受', '短评打分': 3}
{'短评内容': '第二次入住了，特别推荐', '短评打分': 3}
{'短评内容': '酒店很好 服务也好 房间也干净 值得大家入住 ', '短评打分': 5}
{'短评内容': '环境不错，温馨，爱情', '短评打分': 3}
{'短评内容': '酒店很干净。唯一不足的是，山东人本来就豪爽，说话声音就不小，这里的服务员不管几点都会肆无忌惮地打招呼、聊天。特别是服务员工作车的声音像火车，也挺奇怪的是，这家酒店服务员宿舍就和客房在一起，工作人员也特多，聊天声音一点都不避讳，客户在晚上10前至早上7点后别想睡觉。\n如不改我是不会再入住了，只有在管理上加强还是不错的酒店，很可惜。', '短评打分': 5}
{'短评内容': '服务很好 很温馨的房间', '短评打分': 3}
{'短评内容': '有点不错，感觉很好，和朋友评价很好。', '短评打分': 3}
{'短评内容': '房间很干净很温馨，有空调还有暖气，床也舒服，下次还来', '短评打分': 3}
{'短评内容': '总体来说不错,美中不足的一点就是房间有点小', '短评打分': 5}
