{'短评内容': '干净整洁，马桶冲洗器不好用', '短评打分': 5}
{'短评内容': '真的非常非常好', '短评打分': 5}
{'短评内容': '喝到了 好喝的红豆汤～早餐不错～酒店有特色！大堂温馨', '短评打分': 5}
{'短评内容': '干净舒适，服务好！性价比高，还会入住。', '短评打分': 5}
{'短评内容': '房间内有两用的肤机，只是我是长头发，这个只适用短头发戓是男士用，电话服务中心，很快送来了大功率的电吹风，棒棒的，还有化妆镜爱美的我很实用哦', '短评打分': 5}
{'短评内容': '服务特别好 带着参观环境房间讲解 很好', '短评打分': 5}
{'短评内容': '酒店装修风格独特，茶砖的墙面非常有特色，床品很舒适，美中不足的是洗澡的淋浴装置不太习惯。总体还是不错的。', '短评打分': 5}
{'短评内容': '很乾淨很舒服', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '很不错的酒店！我会继续入住你家的哈！', '短评打分': 5}
{'短评内容': '～已经不是第一次入住这家酒店啦，南昌也有好多新酒店，但依然喜欢住这家，感觉很温暖。一下车印度门童就会微笑的来给你提行李、倒茶水。前台服务态度很好，有礼貌，办入住快。梯控安全，房间一如既往地干净、整洁、卫生、温馨，这次还有免费的饼干吃，茶几上的泡茶工具可以免费泡自带茶，不过酒店茶也不贵了。免费的咖啡☕、茶叶也有提供，不过我没喝。卫生间貌似又改造了似得，换了面大镜子，牙刷也换了更好看 好用的。早餐品种', '短评打分': 5}
{'短评内容': 'Wi-Fi不能使用', '短评打分': 4}
{'短评内容': '隔音效果不是很好', '短评打分': 4}
{'短评内容': '位置还是不错的，外形确实像一个皇冠，酒店里的也比较有特色，以藏茶和石头为主题，住的话还是不错的。我住的11层比较安静。但是服务总体是好的，11月29号退房时，一个女的服务员，态度极差，有待改进', '短评打分': 4}
{'短评内容': '酒店位置比较偏，酒店自身的餐饮不好，周边几乎没有餐饮，出行必须打出租，不太方便。酒店设施较老，服务和卫生状况一般。', '短评打分': 3}
{'短评内容': '刚装修完油漆味很重，服务员很热心的换了三次房间，没有免费的瓶装水提供，不过有香蕉和橘子还是不错的。周边在拆迁，工地晚上几点都在敲，不说了，高铁上先睡一觉。', '短评打分': 3}
{'短评内容': '酒店视野不错，特别是对着洪城路的房间，对面拆光了，能够看到很远。设施还是可以的，就是周边环境确实差了点。卫生工作还是可以的，南昌很多酒店这点作的不太好。', '短评打分': 4}
{'短评内容': '位于洪城路主干道上，靠近绳金塔，就是马路对面一大片空地，后面的房子有点老旧，估计也要拆掉了。酒店装修档次还不错，卫浴设施虽然旧了，但都是比较好的品牌。', '短评打分': 4}
{'短评内容': '定完有短信，很详细。到了好找。酒店环境很好。', '短评打分': 5}
{'短评内容': '离火车站较近。酒店餐厅环境优雅，服务态度很好。缺点：酒店大门出入不方便，只有车行道，没有人行道，进出酒店必须沿车行道走一段冤枉路，老年人更觉不便，且不安全，除非你进出酒店都打的士。建议拆掉正对着大门的那堵墙。', '短评打分': 5}
{'短评内容': '环境舒适，服务周到，交通便利，适合出差旅游入住。', '短评打分': 5}
{'短评内容': '每次都会入住皇冠酒店。早餐丰富，老外的自助餐厅很有意思。', '短评打分': 5}
{'短评内容': '每次南昌都入住的酒店。我很喜欢。交通便利。夜景迷人。藏茶房间是个特色', '短评打分': 5}
{'短评内容': '出入城交通便利，酒店设施富有特色，每次到南昌几乎都住这里。', '短评打分': 5}
{'短评内容': ' 一直住这家，性价比很好！', '短评打分': 3}
{'短评内容': '挺好的，卫生环境都很不错，交通业和很方便，下次还来', '短评打分': 5}
{'短评内容': '房子有特点，就是地毯脏，没有人体秤。送水果不错，就是梨不好吃。', '短评打分': 5}
{'短评内容': '性价比不错，早点差了点，值得住', '短评打分': 3}
{'短评内容': '还不错，离机场也比较方便，帮同事定的，他反应还行', '短评打分': 5}
{'短评内容': '酒店不送矿泉水，早饭比较一般，其他还不错', '短评打分': 5}
{'短评内容': '还不错哦 服务态度很好 设施很齐全 使用茶叶做装饰 很特别', '短评打分': 5}
{'短评内容': '前台服务员接待一个团队领队拿房卡，后面排队的她不接，直接插队的反而先办了！进房间好热，空调打开是制热，打电话客房部答复空调在检修，好啦，只当桑拿！卫生间洗个澡吧，哟，1个平米不到的淋浴房小的没法转身！浴缸又没有喷头没法洗，相当成了占地的废品！电视打开只有几个台！488元一晚还只送单早，并且啥吃的也没有！值得一提的是酒店对面的太婆排挡东西好吃！', '短评打分': 1}
{'短评内容': '酒店干净舒服，总体来说还是对得起4星标准的。', '短评打分': 3}
{'短评内容': '酒店新装修，床够大，不错，睡得很舒服；服务也很到位，晚上有水果送。电视信号有点蒙不太清楚；卫生间较小，比较干净，可是浴室排水不好，洗澡脚常常被水淹，希望能整改。总体来说还是可以的，市中心，下次还会住。', '短评打分': 5}
{'短评内容': '不错，新装修的，硬件可达到4星，出行方便', '短评打分': 5}
{'短评内容': '不错还好还好和哈哈哈哈还好还好hhhhhhhh', '短评打分': 5}
{'短评内容': '还可以，比较老的酒店，服务一般，床比较舒服', '短评打分': 5}
{'短评内容': 'kfudshjfh阿娇的户籍爱上登记哈苏军的会将爱阿克苏的痕迹爱上', '短评打分': 5}
{'短评内容': '服务态度很好。外国来宾入住有专业的服务员外语接待。房间硬件设施有点旧。早晨种类多。整体来讲还可以。。', '短评打分': 5}
{'短评内容': '第二次入住了，酒店的服务不错，但是临街的房间早晨会有些吵，早餐一般般吧。酒店的地理位置也不错，出门打车也很方便。', '短评打分': 5}
{'短评内容': '房间不错，服务周到！下次还住.', '短评打分': 3}
{'短评内容': '说实话，富豪和皇冠我都住过，个人还是更喜欢皇冠，富豪实在是旧了点。', '短评打分': 5}
{'短评内容': '酒店睡得很舒服', '短评打分': 3}
{'短评内容': '酒店很奢华，里面装修各方面都很高档，还有熨烫衣物的东西。很好。', '短评打分': 5}
{'短评内容': '挺干净，还不错，位置也很方便，下次一定还入住\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店挺不错。。。\n住的挺好...\n早餐凑合......', '短评打分': 5}
{'短评内容': '最喜欢巴基斯坦门童，自助餐巴西厨师，还有酒店里的藏茶普洱茶砖的墙。很有特色！！', '短评打分': 5}
{'短评内容': '不错，不错。价格不低，位置也还可以。可以推荐。性价比不是很高！', '短评打分': 5}
{'短评内容': '很不错的酒店，位置很好，服务热情，有机会还会入住。', '短评打分': 5}
{'短评内容': '很好，很方便，环境设施也不差，下次一定还会到此', '短评打分': 5}
{'短评内容': '环境服务都挺好的——————————————', '短评打分': 5}
{'短评内容': '各方面挺不错，尤其是酒店的服务，下次还会入住', '短评打分': 5}
{'短评内容': '一般一般，装修有些老旧了。服务态度还可以，但门口打车不方便。', '短评打分': 5}
{'短评内容': '之前有住过，很有特色的酒店，门童是印度人非常热情，最喜欢的是房间内床头的茶墙，进入房间就能闻到茶香味。', '短评打分': 3}
{'短评内容': '在南昌基本还可以的酒店，藏茶和印度门童是其特点吧，早餐去晚了点，有些品种就没有了', '短评打分': 5}
{'短评内容': '不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店', '短评打分': 5}
{'短评内容': '不错的酒店...价格也比较合理...............', '短评打分': 5}
{'短评内容': '挺不错的酒店...消费比较合理.....', '短评打分': 5}
{'短评内容': '不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店', '短评打分': 5}
{'短评内容': '就酒店的设施相对有点旧了，位置不错，交通方便，性价比高。\n', '短评打分': 5}
{'短评内容': '就酒店的设施相对有点旧了，位置不错，交通方便，性价比高。', '短评打分': 5}
{'短评内容': '不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店', '短评打分': 5}
{'短评内容': '酒店设备比较老，周边可以选择吃饭的地方不多，不过酒店的早餐还算可以，室内的物品选择比较多，性价比总体还可以。', '短评打分': 5}
{'短评内容': '处于市中心繁华地段，房间设施比较丰富，应有尽有，完全符合4星标准。\n早餐小孩不免费，我的孩子93厘米，连一米都不到也要收费20', '短评打分': 5}
{'短评内容': '房间小，主要是卫生间的淋浴下水没做好，一地的水。太差劲了\n', '短评打分': 1}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': 'hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh.', '短评打分': 5}
{'短评内容': '住N多次了，还不错，将继续住下去。', '短评打分': 3}
{'短评内容': '很不错的酒店，就是早上退房的时候前台的员工有些慢。房间设置是有些成熟，但藏茶我却没有什么感觉。房间里的消费品太多了，包括水晶，如果不慎打破的话那就要损失一笔了。', '短评打分': 5}
