{'短评内容': '还可以吧，就是退房时间太早', '短评打分': 2}
{'短评内容': '硬件不错', '短评打分': 4}
{'短评内容': '干净整洁有序，安静，设施齐全。', '短评打分': 5}
{'短评内容': '环境好，干净', '短评打分': 5}
{'短评内容': '在鄂尔多斯的东胜区应该是最好的酒店之一了。对得起这个价位和地位，可以的。值得推荐！！服务也是不错的！！！！', '短评打分': 5}
{'短评内容': '入住很好！而且酒店管理人员特别细心的发现我女朋友生日到了，还特别准备了蛋糕作为惊喜！！！真的非常非常感动和温暖！再一次对他们说声谢谢！特别赞！！！', '短评打分': 5}
{'短评内容': '酒店很不错，下次来鄂尔多斯高概率继续入住。', '短评打分': 5}
{'短评内容': '挺好的&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错，就是位置有点远&hellip;&hellip;', '短评打分': 5}
{'短评内容': '环境服务都和很好', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '酒店真的挺不错的，非常好，前台很热情，办理入住时，服务非常好，隔音也不错。客房很干净整洁，卫生好。很棒很好！ 住得很满意的一次，值得下次再入住的酒店', '短评打分': 5}
{'短评内容': '房间温馨又干净，不错', '短评打分': 5}
{'短评内容': '酒店房间大而赞，感激整洁，超赞！', '短评打分': 5}
