{'descr': '去浦东机场，狠方便实用的酒店', 'star': 4}
{'descr': '跟如家、7天快捷酒店差不多~~~', 'star': 4}
{'descr': '不错的酒店，很干净，位置也不错，老婆和儿子很满意！', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '房间挺大，也挺安静的，对面是商业街，很热闹的地方', 'star': 5}
{'descr': '位置不错，临近步行街。房间也比较大，性价比较高”', 'star': 3}
{'descr': '酒店地理位置优越，大堂明亮气派，酒店房间设施齐全，宽带上网免费，服务员热情周到，出行也很方便', 'star': 5}
{'descr': '第二天要赶飞机才选择这家酒店  结果发现酒店非常好  可能地理位置比较偏  楼很大 相对房间也比较大 而且对面就是一个广场很多好吃的 晚上去逛了一下 还有活动观看。。。真是好地方  而且价格也不贵   ', 'star': 5}
{'descr': '酒店位置不错，服务也可以，第二天赶浦东机场早班机可以考虑入住，价位也不高', 'star': 3}
{'descr': '很好的酒店，以后还会给朋友介绍。很好的酒店，以后还会给朋友介绍。', 'star': 5}
{'descr': '第二次入住此酒店了，离地铁站很近，旁边还有个商业中心', 'star': 5}
{'descr': '离机场不远，服务态度好，价格实惠\n翟丽杰－宝鸡市昌立特种金属有限公司', 'star': 3}
{'descr': '环境还行就是淋喷头的水太小了离地铁站真的很近还有很多美食', 'star': 5}
{'descr': '房间很干净隔音也很好，早餐也不错，总的说感觉很好。', 'star': 3}
{'descr': '酒店空调太不给力了，还有蚊子，晚上都没有休息好', 'star': 1}
{'descr': '晚上太吵，环境也一般，交通还可以，离浦东机场很近', 'star': 1}
{'descr': '因为第二天一早要赶浦东机场的飞机，所以在川沙选了这家酒店，离地铁站很近，交通方便，坐地铁最多20分钟就到浦东机场，既便捷、又不会受到飞机起降的噪音影响晚上的睡眠。宾馆对面就是一个新建的吃、喝、玩、购的中心，吃饭非常方便！', 'star': 5}
{'descr': '第二次住了，订的198的双床房，感觉比第一次住的160的特价双床房房间小，床的大小一样，性价比没有160的高，被子依然是不干爽，不太舒服。', 'star': 5}
{'descr': '其他都挺好的，就是隔音较差，还有就是被子不干爽，盖身上不舒服，湿湿的。', 'star': 5}
{'descr': '位置不错，离机场很近，性价比不错。就是房间隔音比较差。', 'star': 5}
{'descr': '酒店不错，下次还住这里酒店不错，下次还住这里酒店不错，下次还住这里酒店不错，下次还住这里酒店不错，下次还住这里酒店不错，下次还住这里酒店不错，下次还住这里酒店不错，下次还住这里', 'star': 5}
{'descr': '交通非常方便 凌晨从机场打车过来才要70不到，离地铁二号线非常近，旁边还有小商圈～酒店宽敞，设施比较齐全，整体也比较干净～', 'star': 3}
{'descr': '还不错', 'star': 3}
{'descr': '地方不错。。离地铁口近。。也很干净！性价比高', 'star': 3}
{'descr': '莫泰168锦川路店的服务很周到，房间很干净，价钱划算.', 'star': 3}
{'descr': '莫泰在经济型酒店中属于不错的，这个地方出入方便', 'star': 5}
{'descr': '最大的优势是离地铁很近，价格也很合理。\n但是美中不足是今天洗澡时水太小了，隔音差了点', 'star': 5}
{'descr': '不错，离机场很近，对面就是广场，吃的玩的都很多…', 'star': 3}
{'descr': '不错哦离地铁站很近！', 'star': 3}
{'descr': '帮朋友妈妈订的，离地铁站蛮近的，机场也不远，方便！', 'star': 3}
{'descr': '如果走着到地铁站而且有大件行李的话稍远，但转机方便，周围的环境也蛮不错，房间的环境也可以，总的说来挺满意', 'star': 5}
{'descr': '住过很多次了，电梯上下要用卡，比较安全，但是房间比较吵，隔音真的很差\n凌晨三四点听到隔壁在说话。', 'star': 5}
{'descr': '离机场不是很远，打车过去50块钱左右~ 很适合早上赶飞机！ 大床房间比之前住过的如家的大床房大一些~  性价比不错~', 'star': 5}
{'descr': '总体来说还是很好的，去机场比较方便，不过房间有点小', 'star': 5}
{'descr': '大床房房间够大，各种设置还不错。电视老了一点，隔音效果一般。总体来说值得入住。ps：这个仅限于住过的大床房，其他的房间不知道。', 'star': 3}
{'descr': '房间还不错，就是隔音差了点', 'star': 3}
{'descr': '一楼的房间，隔音不好', 'star': 3}
{'descr': '我入住1022房间，现已退房。', 'star': 3}
{'descr': '酒店服务很差！', 'star': 3}
{'descr': '经常住这里，服务不错，房间大小还算很洁净，洗漱用品较全，就是浴室下水经常有问题。', 'star': 3}
{'descr': '离地铁2号线 “川沙”站很近，最主要是从川沙去浦东机场十几分钟的地铁就到了。\n酒店的环境还可以，温馨舒适，特价大床房在一楼，第一晚半夜有喝醉酒的房客大声嚷嚷扰人清梦外，都十分满意，值得一提的是有独立冷暖空调，开暖气要等一会才出暖风。热水器开到最热就好，温度是恒定的。舒适。 浴室有配吹风机，不用叫前台拿。周围小吃挺多，超市也有，总体很便捷，舒适。', 'star': 5}
{'descr': '交通非常便利。地理位置挺好。2号线离浦东机场三四个地铁站。热水不够热。洗澡冷冷的。房间还算干净。整体感觉都挺好的。', 'star': 5}
{'descr': '该酒店在2号地铁川沙站步行5分钟的近距离,在浦东机场站的前4站.从该店出发去机场,无论是打的还是坐地铁都极为方便,若搭早班飞机的话,更显时间充裕.酒店比较新,很干净也较宽敞.值得推荐.', 'star': 5}
{'descr': ' 很不错 干净 比想像中的大 而且有窗户', 'star': 3}
{'descr': '地方位置靠近外环线 方便 停车场大 空调制热也不错  还会在去的', 'star': 5}
{'descr': '不错，这家离浦东机场很近，房间也很清洁。', 'star': 5}
{'descr': '交通比较便利，价格合理，离机场还是挺近的', 'star': 5}
{'descr': '住的商务158的，大冬天的晚上洗澡水太凉了，而且小，身体不好的肯定着凉...其他还不错，靠近川沙地铁站，附近有购物的地方，赶早上8点的国际航班做地铁是来得及了。。。', 'star': 1}
{'descr': '性价比很高的酒店，方便，干净，下次还来。', 'star': 3}
{'descr': '很方便，出站抬头就看见酒店了，环境暂且还可以。', 'star': 3}
{'descr': '出行，购物，非常方便，离地铁2号线川沙路站5分钟。', 'star': 5}
{'descr': '靠着地铁，去浦东机场挺方便的，还不怎么吵', 'star': 5}
{'descr': '挺好', 'star': 3}
{'descr': '离机场比较近,价格也公道合理.会再入住的', 'star': 5}
{'descr': '第二次入住.比第一次房间好很多.大很多.可能是5楼的原因.下次还会入住.不错的酒店.交通便利.还可以欣赏电影.', 'star': 5}
{'descr': '无窗，但是价格在上海还算是实惠的。室内射击简介现代。浴室还不错。隔音一般。电视有点2。\n麻雀虽小，五脏正好俱全。总体还是不错的。', 'star': 5}
{'descr': '我是帮我同事代预订的，回复说：还不错，酒店离2号地铁川沙很近。去机场很方便。对面就是商圈，购买物品，吃的都还行。下次还会入住。', 'star': 5}
{'descr': '我预定的是一楼的特价标间,价格便宜,房间还算可以.但是一楼窗户外是下水道,我们入住时窗户是开着的。晚上睡的时候总觉得很臭,都没兴趣ML了..一楼不要住啊！', 'star': 1}
{'descr': '基本设施马马虎虎可以看得过去，但不只是我订的大床房利用率低还是其他，挂衣架灰尘布满，让人看着不是很舒服。另外床罩上竟然有两个破口，还是刚入住没多久就发现了，要不然说不清了。 所以入住后一定要好好查一下各设施。', 'star': 5}
{'descr': '酒店服务很差，至始至终没见前台笑过，中午11：55打电话叫我12点之前退房，我超人嘛，起床、洗漱、化妆5分钟能搞定？因为一直出差，也一直住酒店，住过的任何酒店能都通融，唯独他们态度很坚决，结果我12:40到前台退房，他们硬是加收了我半天房费，老实说，他们周边的酒店我都有住过，还是如家和锦江好多了。以后绝对不会再住他们酒店了。', 'star': 1}
{'descr': '房子很大，很干净，挺不错，下次还来', 'star': 3}
{'descr': '比较经济的价格.坐地铁很方便.下次还会考虑入住.', 'star': 5}
{'descr': '酒店地址环境较好，家庭房房间面积也大，很干净。 但隔音较差。', 'star': 5}
{'descr': '服务一般，价格还可以，位置马马虎虎 性价比可以 ', 'star': 1}
{'descr': '非常不错 离地铁2号线非常近 周围的生活娱乐设施也基本齐全，如果是准备去浦东国际机场的，我推荐这里。', 'star': 5}
{'descr': '很不错哦', 'star': 3}
{'descr': '挺干净的经济酒店，服务态度比较好，比较实惠，以后还会经常光顾的。', 'star': 5}
{'descr': '酒店不错，离地铁出口特别近，我们是赶第二天的早机的，住在那里比较方便，酒店卫生也不错。', 'star': 5}
{'descr': '凌晨三点入住的，浦东机场打车到这里，63块，的姐绕路了，不然50块左右吧。在前台等了很久，说是系统有问题，都快睡着了。特价房是在一楼，房型那个屈折啊。不过能睡就行，房间还算干净，但被子有点潮，跟一楼有关系。\n这家店最大的好处是离2号线很近，走路五分钟吧，在2号线附近有很多吃的，2号线里面也有很多便利店。', 'star': 5}
{'descr': '浦东接机还比较方便的、离地跌也比较近，就是没有什么周围饭店、', 'star': 5}
{'descr': '总体来说还是不错的，虽然位置有点偏，性价比还是挺高的，推荐朋友们去！', 'star': 5}
{'descr': '不错，干净清爽，位置很好，装修比较新，值得一住！就是服务员的笑容要多一点，地图服务要到位。', 'star': 5}
{'descr': '我觉得不错。但是，川沙站使用的话，要注意地铁的时间。\n', 'star': 5}
{'descr': '价格适中，干净整洁，离机场近，针对赶飞机的客人挺好的\n', 'star': 5}
{'descr': '可能住的特价房间的原因吧，糟的超乎想象。感觉床单床罩像是没有换，地面上的地毯，还不如不铺，太脏了。卫生间的水龙头摇晃的都快掉了。空间超级小，以后再也不会入住。168元的房价以后再也不会入住了。', 'star': 1}
{'descr': '服务态度很好，房间很宽敞，离地铁站大约500米，出行比较方便', 'star': 5}
{'descr': '中规中矩，还可以，就是房间小了点，主要是离普通机场近', 'star': 5}
{'descr': '房间干净，价格合理，对面新建的商业中心吃喝玩乐都很方便。还会光顾。', 'star': 5}
{'descr': '帮同事订了一间特价房，性价比不错，房间很干净的。', 'star': 5}
{'descr': '地段好，服务好，就是我住的房间构造有点不好', 'star': 5}
{'descr': '住的是168的特价房，为了赶第二天一早的飞机，还行', 'star': 5}
{'descr': ' 不错', 'star': 3}
{'descr': '房间比较大，热水很快，路对面餐饮娱乐都很方便，不错的酒店，就是非会员退房时间不能延迟到14.00', 'star': 5}
{'descr': '价格实惠，感觉很好。有机会再住。。。。。。。。。。。。。。', 'star': 5}
{'descr': '还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错', 'star': 5}
{'descr': '除了地点太偏、隔音效果不好、食物种类太少，其他的还不错', 'star': 3}
{'descr': '除了位置太偏，隔音效果不太好，食物种类太少，其他的还不错', 'star': 3}
{'descr': '环境还不错，地脚有点偏', 'star': 5}
{'descr': '酒店离地铁很近 非常方便  不过要注意2号线地铁首末班车时间', 'star': 5}
{'descr': '如果只是过渡，不逛上海的话，会推荐朋友住，酒店位置比较偏，去机场方便', 'star': 5}
{'descr': '这个酒店离机场非常近，出了地铁直接就能看到牌子，很方便就能找到，而且价廉物美，值得去住', 'star': 5}
{'descr': '有点偏，但离机场很近，环境还可以，很实惠。', 'star': 5}
