{'短评内容': '双人床房间比其他差不多的酒店干净。', '短评打分': 5}
{'短评内容': '环境很一般，没有电梯，拖个大箱子爬楼梯很费事', '短评打分': 3}
{'短评内容': '床有点小，空调电视按钮不好用', '短评打分': 4}
{'短评内容': '挺好的，来温州出差都住这！', '短评打分': 5}
{'短评内容': '位置挺好！来温州公共资源交易中心办事很方便！房间也不错，性价比高，也挺安静的！窗户关上后基本上没有什么声音！', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '还不错，很方便', '短评打分': 5}
{'短评内容': '第一天住的不好，喷头就一点点水，第二天换的还可以', '短评打分': 4}
{'短评内容': '内部装修还不错 价格不算贵', '短评打分': 4}
{'短评内容': '酒店简洁清爽 价格实惠 从火车南站乘公交车开直达 交通方便 周边老小区较多 可体验温州市民生活。到温州市公共资源交易中心办事非常方便', '短评打分': 3}
{'短评内容': '还可以吧，离要去办事的地方比较近。。。。', '短评打分': 3}
{'短评内容': '好评！还不错，给个好评！', '短评打分': 3}
{'短评内容': '设施较旧，白天在装修，网络不行接不上Wi-Fi，电插座不方便，这一带酒店性价比都一般', '短评打分': 3}
