{'短评内容': '太唯利是图，卫生状况也不咋的，不会再来，想订的朋友慎重。', '短评打分': 1}
{'短评内容': '酒店设施一般，停车很方便，老板人很好。位置比较好，门对面就是阳朔公园。到西街步行就几分钟，附近餐饮购物店很多。', '短评打分': 5}
{'短评内容': '房间靠近马路边，从凌晨5.一直开始有各种各样的大车走来走去，太吵了，根本没法睡，离西街挺近的，步行5分钟就到了。', '短评打分': 2}
{'短评内容': '这个价也就这样了，老板很热情', '短评打分': 5}
{'短评内容': '老板娘人很热情，热心解答问题，服务周到，周边环境好近西街，但房间卫生真的要有待整改。', '短评打分': 4}
{'短评内容': '态度很好，环境优美', '短评打分': 5}
{'短评内容': '酒店位置很好离西街很近，但酒店设施太陈旧了，感觉不舒服，隔音也不好，一早会被吵醒，跟正式酒店相比还有一定差距。', '短评打分': 3}
{'短评内容': '酒店设施陈旧，环境一般，卫生条件一般，位置不错，离西街很近，附近有一家餐馆很实惠，由于是国庆假期入住，性价比不高', '短评打分': 5}
{'短评内容': '酒店位置很好，离西街很近，周边环境一般，酒店设施有点老旧，由于是国庆期间入住，价格很高，性价比不高，', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '真不错…三个人的房间那么大…利用携程只要72元…又便宜又实惠', '短评打分': 5}
{'短评内容': '环境卫生好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '性价比高，有免费停车，近西街，外出游玩吃饭都方便', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
