{'短评内容': '很方便，很舒适，住的很舒服。', '短评打分': 5}
{'短评内容': '东西不错，快递很快，东西很快就收到了，用着感觉不错。', '短评打分': 5}
{'短评内容': '房间太简陋了，靠近路边，太吵，隔音不好', '短评打分': 1}
{'短评内容': '主要是位置很方便。但是房间有点小', '短评打分': 5}
{'短评内容': '房间看着就比较舒服，还不错，离锦里也不算远，而且房间给人感觉就比较干净，可以选择。', '短评打分': 5}
{'短评内容': '前台帅哥人很好！住宿条件挺好的，交通也方便。', '短评打分': 5}
{'短评内容': '没有找到合适的酒店，凑合了', '短评打分': 4}
{'短评内容': '房间很好，服务也很到位，满意~', '短评打分': 5}
{'短评内容': '很满意。交通方便，房间整洁。下次去成都玩还选这。', '短评打分': 5}
{'短评内容': '价格合适 服务好 位置好 有停车场', '短评打分': 5}
{'短评内容': '价格合适 服务态度好 地理位置好', '短评打分': 5}
{'短评内容': '位置方便，设施也还不错。', '短评打分': 5}
{'短评内容': '位置方便，设施也还不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '房间很干净', '短评打分': 5}
{'短评内容': '非常棒，交通方便！', '短评打分': 5}
{'短评内容': '环境很好，干净整洁，位置也好，方便出行', '短评打分': 5}
{'短评内容': '在武侯祠和锦里附近，交通还可以。有点吵。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '离武侯祠、杜甫草堂很近，不错！', '短评打分': 5}
{'短评内容': '非常好，离景点比较近，出行方便', '短评打分': 5}
{'短评内容': '好 像是离 高架桥太近了吧， 感觉噪声还是有点大   ', '短评打分': 1}
{'短评内容': '很舒适，位置挺好的，交通方便，下次如果到附近还会住这', '短评打分': 5}
{'短评内容': '位置不错，交通方便，打车到双流机场大约花费60元（下午6：00从酒店出发）', '短评打分': 5}
{'短评内容': '单人间房间偏小，头一次住汉庭这么小的单人床。不过地段不错交通也方便，就是下午往房间塞小卡片的太多了，希望治理下。', '短评打分': 5}
{'短评内容': '预订后前台入住遇到麻烦  另外房间太小了  就餐不方便', '短评打分': 1}
{'短评内容': ' 条件和八十年代的招待所差不多，卫生间连基本的洗漱品都不全，屋子里也超简陋，床，电视一个桌椅，就这点家具，搭衣服都没地', '短评打分': 3}
{'短评内容': '总的还可以就是房间太小  旁边是哒马路 有点吵', '短评打分': 5}
{'短评内容': '装修的太差，房间气味大，不怎么好！性价比不高！交通方便就是了!', '短评打分': 1}
{'短评内容': '整体还不错。交通比较方便。离武侯祠、锦里、杜甫草堂都比较近。\n不错之处是里马路太近，多少有点吵。', '短评打分': 5}
{'短评内容': '住下了，就是过年周边餐馆好多没开门。', '短评打分': 3}
{'短评内容': '价格还可以，稍微感觉贵了点，总体来说不错，推荐', '短评打分': 5}
{'短评内容': '不错，交通方便，离武侯祠和锦里，走路仅仅是分钟。', '短评打分': 5}
{'短评内容': '因是打车，本想找如家连锁酒店，结果看见汉庭酒店，只好住下，卫生环境还好，房间还可上网，交通也方便，可以的话，下次还会入住的。', '短评打分': 5}
{'短评内容': '汉庭嘛，基本上都差不多，房间是够干净的，但网络实在不给力啊，outlook完全没有办法用……', '短评打分': 5}
{'短评内容': '性价比非常差，进屋就被椅子脚上的口香糖残留的污渍惊着了，汉庭就这个标准？距离锦里和武侯祠走路需要二十分钟左右！', '短评打分': 1}
{'短评内容': '房间有点小。但干净整洁。不错。', '短评打分': 3}
{'短评内容': '房间不是很大，但是对得起这个价钱，靠近高升桥，离武侯祠比较近，服务态度也很好。\n就是到现在我结账了，信用卡担保的一百块钱还没有退回来。\n', '短评打分': 5}
{'短评内容': '替别人定的，也就是一般的快捷酒店把。\n距离武侯祠近', '短评打分': 5}
{'短评内容': '比较干净，环境不错靠近武侯祠。房间大小还行，去锦里比较方便', '短评打分': 5}
{'短评内容': '附近有购物中心德客士\n打车也很方便\n厕所有点怪味道\n但房间还挺大的\n可以推荐', '短评打分': 5}
{'短评内容': '酒店环境很好，地理位置也不错，前台工作人员服务态度很好，推荐入住', '短评打分': 5}
{'短评内容': '服务很好，很周到', '短评打分': 3}
{'短评内容': '房间面积适中，距离武候祠很近，服务还可以，但设施较旧，马桶是坏的，早餐较贵。临时住还可以。在环路边上，比较吵，有车位。', '短评打分': 5}
{'短评内容': '距离武候祠很近，服务还可以，但设施较旧，早餐较贵。临时住还可以。在环路边上，比较吵，有车位。距离武候祠很近，服务还可以，但设施较旧，早餐较贵。临时住还可以。在环路边上，比较吵，有车位。', '短评打分': 5}
{'短评内容': '地理位置很好，旁边就是便利店，周围吃饭也方便。就是 酒店硬件设施旧了一些。住在2楼本来说走楼梯上去就好，但是试了几次，安全通道从外面刷开开不了，觉得有安全隐患。安全通道一定要保持畅通才行', '短评打分': 5}
{'短评内容': '地理位置很好，附近出入比较方便。酒店设施略显陈旧。晚上老有派发色情服务卡片的很烦。酒店的安全通道从外面刷开打不开，入住期间尝试了几次，有安全隐患。安全通道是在任何时候都应该保持畅通，建议酒店注意。', '短评打分': 5}
{'短评内容': '设施陈旧,面积小,环境不太好,前台的业务也不是很专业.由于预定的房型和实际有出入,耽搁了好长时间,也不知道想办法解决,而且价格也比锦江之星高.', '短评打分': 1}
{'短评内容': '订的家庭房，房间可以。就是马桶已经堵了两次了，修理工响应很快，态度很好。', '短评打分': 5}
{'短评内容': '周日特价，性价比高。酒店位置很方便，服务不错。', '短评打分': 5}
{'短评内容': '酒店环境很好，价格不贵，位置很方便，服务很周到。', '短评打分': 5}
{'短评内容': '总体还可以，就是个人感觉他的价格方面比较不人性化', '短评打分': 5}
{'短评内容': ' 酒店位置好，但是房间小，洗澡水小，还算安静', '短评打分': 3}
{'短评内容': '酒店房间卫生的管理真的是有待提高，去到房间，居然发现房间的桌子上还有上个客人留下的一盒香烟。不知道服务人员是怎么做房间卫生的？？？？', '短评打分': 1}
{'短评内容': '入住这家店，主要是因为酒店地段很好，刚好办事比较方便，但是酒店管理确实比较差。打电话催我要到店办入住，去了拿好房卡打开房门，一屋子狼藉，居然还没有收拾就卖给客人了，打电话到前台去问，居然告知本来就是脏的。我无语！这类情况在这家店我已经遇到两次了，上次居然是在晚上12点多发生的，可见白天收拾屋子的根本就没有做到位。', '短评打分': 1}
{'短评内容': '很好很不错', '短评打分': 3}
{'短评内容': '不错。。100元，很合算。实惠，性价比很高', '短评打分': 5}
{'短评内容': '还不错，离武侯祠很近，走路即可。临街的有点吵。', '短评打分': 5}
{'短评内容': '还行咯！交通还比较方便。房间的结构感觉有点怪，不是太舒适', '短评打分': 5}
{'短评内容': '服务挺好，装修略显老，适合商务出差。', '短评打分': 3}
{'短评内容': '离办事点近，还行。就是房间小了点，还是会向朋友推荐的，办事方便啊，哈哈', '短评打分': 5}
{'短评内容': '和一般的汉庭差不多,没有什么特别的。如果要到武候祠和锦里玩的话是个不错的选择，出门左转，到路口再左转走差不多十多分钟就到了。', '短评打分': 5}
{'短评内容': '总体不错，值得推荐。想多住几天，没有时间了。', '短评打分': 5}
{'短评内容': '本来以为只是价格便宜，可是服务水准一点没有降低哦。而且位置优越，如果是自费去成都玩的，强烈推荐！！', '短评打分': 5}
{'短评内容': '感觉还不错。离办公地比较近。以后还会选择此家酒店。', '短评打分': 5}
{'短评内容': '离办事地点近，不错。\n就是房屋有点小，住住还可以', '短评打分': 5}
{'短评内容': '酒店在武侯祠旁边上，位置还可以，不过感觉还是如家的环境舒服点。至少昆明的如家酒店会更舒服，虽然没住过成都的如家酒店。价格还能接受', '短评打分': 5}
{'短评内容': '地点不错，离武侯祠锦里都很近，推荐去锦里吃小吃！酒店设备稍旧，早餐不够丰富。', '短评打分': 5}
{'短评内容': '性价比不够，如果有金卡的话，价格还不错，早餐不错。隔音效果差。经济酒店嘛~就这样了', '短评打分': 5}
{'短评内容': '地理位置不错，房间也蛮大。但我住的房间对着高架有点吵，楼层高会好一点，住过2个不同的房间，其中有一个有装修的味道，而且花洒不大好。', '短评打分': 5}
{'短评内容': '不错的经济酒店，服务不错，交通也方便。但感觉早餐好像品种少了点，希望加强一下', '短评打分': 5}
{'短评内容': '房间朝向其实不算好.但蛮安静的.而且很多房间3G手机进去就是没信号的.', '短评打分': 5}
{'短评内容': '订的周末特价房，还是很划算的~！位置也不错~！', '短评打分': 5}
{'短评内容': '单人间有点小，后头还是换成大床房了，普通大床房没换到了，只有高级大床房。房间还可以，但是价格偏高，比单人间贵了差不多70块，所以觉得性价比不高。230的价格可以住到更好的酒店。', '短评打分': 5}
{'短评内容': '酒店不错，位置好，服务不错，下次还去那~~！~！~！', '短评打分': 5}
{'短评内容': ' 不错，除了房间里的配置差了一点，其他的还不错。', '短评打分': 5}
{'短评内容': '很不错，在一环路上，交通便利，离武侯祠不到一公里，正好逛庙会，房间宽敞，唯一点不足就是晚上房间灯光有点暗。下次来成都还住这家店', '短评打分': 5}
{'短评内容': ' 酒店环境还不错，性价比高，位置很好，帮外地来的朋友订的，离锦里和武候祠都挺近。', '短评打分': 3}
{'短评内容': '房间很好，主要是因为价格便宜标准间100元，性价比很高', '短评打分': 5}
{'短评内容': '房间很大 不错呀 也比较方便哦 离锦里 小吃街比较近', '短评打分': 5}
{'短评内容': '各方面不错，不过希望热水更热一点………………', '短评打分': 5}
{'短评内容': '还可以吧。。房间有点小啊。。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 酒店不错 挺干净的 服务态度也好 就是门口在修路 呵呵不是特别方便', '短评打分': 5}
{'短评内容': '地理位置不错，离武侯嗣，青羊宫，杜甫草堂都很近，有公交82路\n房间虽然点小，但装修不错，而且很干净', '短评打分': 5}
{'短评内容': '地理位置很好,靠近武侯祠,而且酒店门口就是公交站交通方便', '短评打分': 5}
{'短评内容': '地段好,酒店旁就有便利店,前台了热情.下次还会入住', '短评打分': 5}
{'短评内容': 'haohaaohaoohaohaoahaoahoahohaohaoa', '短评打分': 5}
{'短评内容': '去武侯祠、青羊宫、杜甫草堂等交通很方便。房间一般，有点旧了。对经济酒店来说无功无过。住的周日特价房，还是比较值的。', '短评打分': 5}
{'短评内容': '相当不错 下次还会煮                      ', '短评打分': 5}
{'短评内容': '＋酒店地段可以，住六楼蛮安静，床和枕头特舒服，就是隔音太差了，一大早隔壁的声音都听的见，呵呵！', '短评打分': 5}
{'短评内容': '这次订房可谓一波三折。。。先是网站人员点击错误把我的订单给误删了，后是到店说没有收到收到订单，就这个我一个月前就预定的房间难道还住不上了？好在最终给我免费升级了大床房也算弥补我受伤的心、疲惫的身体。。。', '短评打分': 5}
{'短评内容': '我订的是单人间，因为之前从来没住过单人间，所以刚进去的时候很是震惊，房间哈小，门离窗户也就两三步远，为了节省空间，电视机都是挂式的。我住的屋子空调是坏的，根本关不掉，每次以为关掉了，没想到几分钟以后又自己启动了，跟闹鬼一样。打电话给前台，倒是很快就派人来修了，但是没修好，所以索性把电源拔了。刚开始入住的价格是170.9月30再次预定就涨到219了，价格涨得太快。感觉不值这个钱。同样的价格在天府广场', '短评打分': 5}
{'短评内容': '酒店很好,交通也方便,同时旁边还有个小超市,下次还会入住.', '短评打分': 5}
{'短评内容': '交通方便，干净舒适，性价比高，设施一般，推荐入住', '短评打分': 5}
{'短评内容': '服务态度差，，特别是哪个什么值班经理，在询问地址时很不耐烦', '短评打分': 1}
{'短评内容': '地理位置挺好的~挺舒服！离锦里和武侯祠都很近~~周围有很多旅游景点~~\r\n值得推荐~', '短评打分': 3}
