{'短评内容': '价钱实惠。', '短评打分': 4}
{'短评内容': '价钱实惠。', '短评打分': 4}
{'短评内容': '价钱实惠', '短评打分': 4}
{'短评内容': '环境不太好', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '除了价格，其他的都一般，找个地方睡觉还行', '短评打分': 5}
{'短评内容': '房间较大，虽然装修比较简单，但还算能接受，毕竟一分钱一分货。最难得的是有窗可以看出去，视野开阔。', '短评打分': 4}
{'短评内容': '118元返12的大床房，床宽1.5米是可以，但长只有1.8米呀_(:з」∠)_   ; 12月5日到，热水应该叫凉水 ; 自来水消毒味好重，不过可以用前台的桶装水 ; WIFI偏慢，看视频的可以省省了，用流量没信号 ; 无窗，只有一个排气扇是能用的。。。。优点的话，地段好，交通便利，门口就是公交站，步行10分钟也有地铁，周边大小食肆齐全，宾馆是在万宝大厦的22、23层，足够安静，100元的价位如果', '短评打分': 3}
{'短评内容': '在广州算性价比高的宾馆了！', '短评打分': 4}
{'短评内容': '住了几次了还是不错的选择', '短评打分': 5}
{'短评内容': '环境很好，交通方便，服务很好。', '短评打分': 5}
{'短评内容': '房间太小，转个身都难，空调直吹床，只有一台电视，连个小书桌都没有，卫生间和房间一样大，淋浴没有单独隔开，洗个澡，到处湿漉漉', '短评打分': 3}
{'短评内容': '预早订房，标准间、双床房收九十九元，若果无预订，酒店收你二百也要付，因为实在供不应求，但服务质素仍然无保证，只管收钱，不管质素。幸好有空调，不然全焗死。', '短评打分': 3}
{'短评内容': '一分钱一分货，放在厕所的毛巾是灰色的，很粗糙，洗了很多次了，被很多人用过了，不知道有没有细菌，马桶未修好，马桶上蓋被人拿走，未蓋回，水箱全稞，怪难看。  订房是几个月之前订的，我们要求不吸烟房，但始终安排到的是吸烟房，「酒店」解釋难以控制入住客人的品德。  楼层通道房间一股臭霉味，窗户是密封，不能打开，以免走失冷气，浪费电力，但強廹客人焗臭气。  窗户舖满尘埃无人抹。', '短评打分': 3}
{'短评内容': '干净，卫生，无异味，服务好，主要是风景好，每次来广州都住这，合理消费', '短评打分': 3}
{'短评内容': '房间不干净，太吵，没服务，环境一般，大堂是酒楼，人多。', '短评打分': 1}
{'短评内容': '广交会期间住的，价格没有涨价，但是房间有点小，还有蚊子', '短评打分': 1}
{'短评内容': '房间一般，比较吵，隔音差，房间面积小的不行，设备陈旧。', '短评打分': 1}
{'短评内容': '24楼还有蚊子，你会怎样想？灯光昏暗，卫生不敢说很好！', '短评打分': 1}
