{'descr': '总体一般', 'star': 3}
{'descr': '很好的，非常不错很好的，非很好很好很好的，非常不错的，非常不错的，非常不错常不错很好的，非常不错很好的，非常不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '房间干净卫生。 服务态度好', 'star': 5}
{'descr': '第一，空调像直升机，一晚上吵的要命第二，水龙头一打开就有黑色的不明物体流出，恶心第三，床单很脏，有图片可以看七天的品质越来越差了，携程上订的也不便宜，总的来说非常差的一次体验，以前用去哪网，有一次退款的不良经历才改用携程，结果携程的服务也一般，第一晚入住后就想退了第二晚的，跟携程沟通说是第二天上午十一点之前回复，留了另外一个手机，结果还是回复到之前的手机，没人接就发了一条短信，是不是太不负责任了，', 'star': 2}
{'descr': '朋友住还行', 'star': 5}
{'descr': '好好好好好好好好', 'star': 5}
{'descr': '床有点潮，洗手间有黑色的小虫，估计是太潮了才有。', 'star': 3}
{'descr': '常年出行都选择7天，经济实惠，环境好，服务好！\n此次入住店，离火车站非常近，下火车步行几分钟就到，非常便利！', 'star': 5}
{'descr': '酒店不是很大，但是非常干净，离火车站.客运站到是很近，出行特方便，下次还来这家，全5分必须的！', 'star': 5}
{'descr': '住的地方还不错，房间挺大的，楼层高，看得远，很喜欢哈哈。而且地方也好找，房价最合适了相对于周围的酒店。', 'star': 5}
{'descr': '还好，一般', 'star': 2}
{'descr': '卫生环境一般', 'star': 5}
{'descr': '连锁酒店中还不错的店', 'star': 5}
{'descr': '酒店环境不错，还有早市可以逛！很方便！服务也不错！', 'star': 5}
{'descr': '酒店卫生间的设施有点旧了 酒店位置好很方便', 'star': 4}
{'descr': '位置好，周围吃饭方便，距离家乐福火车站都近', 'star': 5}
{'descr': '位置不错', 'star': 4}
{'descr': '交通便利', 'star': 4}
{'descr': '还不错，位置方便，吃东西选择很多，价格优惠，离家乐福很近，购物超方便，服务员态度好，就在北站旁边，下次还会再来', 'star': 4}
