{'descr': '好住处，很舒服，很满意。', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '环境还可以，位置很方便，', 'star': 4}
{'descr': '感觉不错，挺暖和，服务也很好', 'star': 5}
{'descr': '非常好！给人一个不一样的感受。', 'star': 5}
{'descr': '非常不错，前台接待特别细心。提前要发票名头。退房时候直接就拿走了', 'star': 5}
{'descr': '不错的酒店', 'star': 5}
{'descr': '离火车站很近，一直很信赖锦江之星，环境设施都很不错!', 'star': 5}
{'descr': '赞', 'star': 5}
{'descr': '锦江之星酒店', 'star': 5}
{'descr': '快捷酒店的典型、没什么优势，前台也很冷淡、房间清洁入住第一天没有打扫第二天中午正准备休息服务员过来做清洁，无奈', 'star': 3}
{'descr': '性价比高，值得推荐。', 'star': 5}
{'descr': '挺干净 价格也很经济', 'star': 4}
{'descr': '环境好', 'star': 5}
{'descr': '火车站对面， 不在马路边，比较适合休息去车站也就五分钟的事', 'star': 4}
{'descr': '入住后舒适安全，下次还会继续入住。', 'star': 5}
{'descr': '卫生可以，有停车场！房间不大', 'star': 3}
{'descr': '酒店虽在火车站附近，但没有想象中的嘈杂，房间格局合理舒适，有连锁酒店的特质，给客人极熟悉又亲切的感觉。公务出差时最喜欢住的就是锦江之星。', 'star': 3}
{'descr': '温馨舒适，事宜居住', 'star': 5}
{'descr': '还不错，不比上海的差，就是窝在小路里面不好找，对门就是如家，鸭梨山大啊', 'star': 5}
{'descr': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', 'star': 5}
{'descr': '環境還可以早歺有待提高，服務員態度還不錯。', 'star': 5}
{'descr': '门前在修路，交通很不方便。早餐的种类也很少，希望以后丰富些。', 'star': 1}
{'descr': '还可以还可以还可以还可以还可以还可以还可以', 'star': 5}
{'descr': '还可以还可以还可以还可以还可以还可以还可以', 'star': 5}
{'descr': '还可以还可以还可以还可以还可以还可以还可以', 'star': 5}
{'descr': '还可以还可以还可以还可以还可以还可以还可以', 'star': 5}
{'descr': '在朝阳还算不错 在朝阳还算不错在朝阳还算不错', 'star': 5}
{'descr': '还可以还可以还可以还可以还可以还可以还可以', 'star': 5}
{'descr': '还可以还可以还可以还可以还可以还可以还可以', 'star': 5}
{'descr': '还可以还可以还可以还可以还可以还可以还可以', 'star': 5}
{'descr': '还可以还可以还可以还可以还可以还可以还可以', 'star': 5}
{'descr': '干净卫生，很满意...................', 'star': 5}
{'descr': '干净卫生，很满意...................', 'star': 5}
{'descr': '前台办事不灵活,不能满足顾客的要求!!!', 'star': 1}
{'descr': '还可以，交通方便，挺好找的，应该是不错的选择', 'star': 5}
{'descr': '酒店内的环境还不错！就是位置不太好找，在一个小胡同里！！', 'star': 3}
{'descr': '还不错 就是暖气打着被子有点粗糙，不是很适合南方人', 'star': 5}
{'descr': '这个是锦江之星旅馆，挺干净的，还算不错。', 'star': 1}
{'descr': '这个是锦江之星旅馆，挺干净的，还算不错。', 'star': 1}
{'descr': '不错！住的精选商务房，大小还可以。不能提供洗衣服务，不太方便。', 'star': 5}
{'descr': '环境不错 住的的也舒服 唯一缺点是被子不太柔软 其它都挺好', 'star': 5}
{'descr': '服务很好 很干净。地理位置也不错。。。。房间就是不能做无烟处理， 里面很浓的烟味。', 'star': 5}
{'descr': ' 环境还不错 下次还来', 'star': 3}
{'descr': ' 环境还不错 下次还来', 'star': 3}
{'descr': '朋友说还可以吧～～当地性价比比较高的酒店咯～', 'star': 5}
{'descr': '朋友说还可以吧～～当地性价比比较高的酒店咯～', 'star': 5}
{'descr': '干净整洁，而且很安静，前台小姐太爱煲电话粥了，呵呵', 'star': 5}
{'descr': '环境和家具还可以，就是房间小了点。不过朝阳这地方就是可以的了、房价有点略高', 'star': 5}
{'descr': '前台的办事效率比开业时提高了不少，但价格也都上涨了20元。总体上还可以接受', 'star': 5}
{'descr': '前台的办事效率比开业时提高了不少，但价格也都上涨了20元。总体上还可以接受', 'star': 5}
{'descr': '前台的办事效率比开业时提高了不少，但价格也都上涨了20元。总体上还可以接受', 'star': 5}
{'descr': '已入住，环境不错。', 'star': 3}
{'descr': '已入住，环境不错。', 'star': 3}
{'descr': '已入住，环境不错。', 'star': 3}
{'descr': '其他方面可以。就是上网速度太慢了，如果下载一个大邮件都是不可能的，希望改善上网问题。在北京，上网快一点，技术上是不成问题的。', 'star': 5}
{'descr': '其他方面可以。就是上网速度太慢了，如果下载一个大邮件都是不可能的，希望改善上网问题。在北京，上网快一点，技术上是不成问题的。', 'star': 5}
{'descr': '其他方面可以。就是上网速度太慢了，如果下载一个大邮件都是不可能的，希望改善上网问题。在北京，上网快一点，技术上是不成问题的。', 'star': 5}
{'descr': '该酒店地理位置便利，环境干净，单人房屋子较小', 'star': 3}
{'descr': '该酒店地理位置便利，环境干净，单人房屋子较小', 'star': 3}
{'descr': '该酒店地理位置便利，环境干净，单人房屋子较小', 'star': 3}
{'descr': '环境设施比如家好。不是第一次来了，下次出差依然是我的选择。', 'star': 5}
{'descr': '环境设施比如家好。不是第一次来了，下次出差依然是我的选择。', 'star': 5}
{'descr': '环境设施比如家好。不是第一次来了，下次出差依然是我的选择。', 'star': 5}
{'descr': '还不错，挺干净的，房间内比较亮~~~~~~', 'star': 5}
{'descr': '还不错，挺干净的，房间内比较亮~~~~~~', 'star': 5}
{'descr': '还不错，挺干净的，房间内比较亮~~~~~~', 'star': 5}
{'descr': '周边环境一般，房间环境一流，比如家好。早餐一般。发票没给开让明天开，可是下次不一定什么时候在到这边出差。总体来讲还不错，美中不足是住了两天，停水半天。', 'star': 5}
