{'短评内容': '还不错，挺干净的，住起来也很舒服，价位很合适，不贵', '短评打分': 5}
{'短评内容': '酒店把自己员工的失误强加给客人。无语!服务差差评!', '短评打分': 3}
{'短评内容': '经济实惠，自由行的首选。', '短评打分': 4}
{'短评内容': '没有早餐，不能家床，酒店的位置不错，离地铁站和公交站都很近。门面比较小，设施比较陈旧了，算不上商务酒店。', '短评打分': 4}
{'短评内容': '离南京奥体中心很近房间也不错性价比高！', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '酒店还行吧，就是设施有点老', '短评打分': 4}
{'短评内容': '服务态度不错', '短评打分': 5}
{'短评内容': '为了看茶蛋的演唱会，因为摇滚区的关系腿都废了，就不走过去了 南奥乘一站地铁就到了，5号口出，直走右手边就看到了，总体是性价比不错的 就是隔壁妹子看完演唱会后回来有点太嗨，隔音不是很好', '短评打分': 4}
{'短评内容': '挺好的  位置离地铁站很近', '短评打分': 5}
{'短评内容': '因为要看演唱会才定的，怎么说呢？还算可以吧！', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
