{'短评内容': '总体上不错', '短评打分': 5}
{'短评内容': '实惠 好评', '短评打分': 5}
{'短评内容': '不提供早餐，附近就餐很方便', '短评打分': 5}
{'短评内容': '不提供早餐，带孩子很方便，停车方便', '短评打分': 5}
{'短评内容': '房间很大，我们两个人住还是两张床呢！就是周边超市很少，只给四分，怕你骄傲！', '短评打分': 4}
{'短评内容': '酒店前台简直就是脏乱差，房间里的被子枕头都有味儿，很旧且很久没晒没换了吧，被罩枕套皱巴巴不像新换的，颜色很旧发乌，已经洗不出来了的那种颜色，唉，实在是忍着住了一晚。不推荐。', '短评打分': 3}
{'短评内容': '第一次住酒店式公寓，很不错的体验。', '短评打分': 5}
{'短评内容': '十一期间还不错', '短评打分': 5}
{'短评内容': '马马虎虎吧，位置不错，还算方便，服务啥的一般水平，不能要求太高，性价比还是可以的', '短评打分': 4}
{'短评内容': '离广场很近、游玩方便，安静！适合休息！下次还会光顾！', '短评打分': 5}
{'短评内容': '总体还行', '短评打分': 5}
{'短评内容': '酒店很干净～去的太早还没有空房、老板人很好 就给我们换了大房、里面设施很齐全、嘎嘎还洗了衣服～有机会还会再去的～', '短评打分': 5}
{'短评内容': '干净整洁，周围交通方便', '短评打分': 5}
{'短评内容': '家庭式旅馆，出行很方便，就在星海广场边上。房东小伙儿热情，负责，耐心，赞一个!', '短评打分': 5}
{'短评内容': '房间大 房间大 房间大 重要的事情说三遍 ', '短评打分': 3}
{'短评内容': '酒店挺干净的', '短评打分': 3}
{'短评内容': '环境还不错啦，有家的感觉', '短评打分': 3}
{'短评内容': '位置不错，房型挺好的，房间面积挺大，设施比较齐全。', '短评打分': 5}
{'短评内容': 'ok，很满意', '短评打分': 3}
{'短评内容': '一开始我下车没找到酒店具体位置，打电话给前台，接待给我讲了半天，还下楼接我，服务态度相当好，进屋之后感觉很像家，很温馨的感觉，中间几次打电话到前台，态度都非常不错，酒店的位置也很好，距离星海和和平广场都不远，门口公交车也很方便,房间温馨舒适,公寓式的酒店。地理位置比较好，出门就是广场离海边很近,房间面积比一般酒店的标准间要大些，家具和装修风格和档次要远远好于一般标间。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '还成，就是有点不好找，大地方的偏酒店，麻烦在于就是吃饭的地方不好找，附近都是高档饭店，要去和平广场才能吃到一般的小吃。', '短评打分': 5}
{'短评内容': ' 很一般，冰箱和炉具都不能用。不能做饭。', '短评打分': 3}
{'短评内容': '应该不属于宾馆，只是家属楼公寓。房子空间很大，价钱贵了点。里面一个床，一个沙发，一个电视，很简单，没有一点宾馆的氛围', '短评打分': 1}
{'短评内容': '酒店干净，环境不错，一室一厅一卫，很好。\n配套的细节方面需要提高，牙刷，沐浴露，拖鞋能够再人性化一点会更好。牙刷，沐浴露只够单次使用，而拖鞋最好提供一次性的。\n不能开发票也有点遗憾。。。', '短评打分': 5}
{'短评内容': '房间不错，比较干净，公寓地理位置也很好，适合游玩居住', '短评打分': 5}
{'短评内容': '房间很大，感觉还可以，装修也算漂亮，就是住的地方和结账的地方不是在一个楼层，感觉有些别扭。另外房间刚住进去，厕纸却没有清扫，有点儿恶心！', '短评打分': 5}
