{'短评内容': '住了好多次了，距离市区也不远，平时办事的地方也很近，吃饭方便，价格合理，房间卫生，空间较大。', '短评打分': 5}
{'短评内容': '可以住.', '短评打分': 3}
{'短评内容': '酒店一般', '短评打分': 4}
{'短评内容': '感觉一家人出去，入住经济实恵、卫生条件可以', '短评打分': 5}
{'短评内容': '位置便利，服务态度好', '短评打分': 3}
{'短评内容': '酒店简捷大方，功能齐全，最主要是安静，服务态度好，交通便利，离公园很近，周边环境挺好，晚上出门就有夜市。以后还会再来。', '短评打分': 3}
{'短评内容': '性价比很高，早餐也不错', '短评打分': 3}
{'短评内容': '非常不错价格合理房间干净设施齐好好非常好', '短评打分': 3}
{'短评内容': '房间不错，设施好！推荐', '短评打分': 3}
{'短评内容': '还可以，价格比较便宜，值得一住', '短评打分': 5}
{'短评内容': '酒店整体不错 位置较好 出行方便 距离王城公园 万达商业区都不是很远 最方便的牛肉汤 出门走不了五分钟就到 ', '短评打分': 5}
{'短评内容': '都还行，就是停车极不方便！', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '快捷，马马虎虎吧，什么价钱什么房间！！！', '短评打分': 3}
{'短评内容': '总体来说还不错', '短评打分': 4}
{'短评内容': '没有比这更差的酒店了，什么都是最差的？全国最差的！', '短评打分': 1}
{'短评内容': '酒店的位置还可以，交通比较方便，就是房间比较小，。。。。。。。', '短评打分': 5}
