{'短评内容': '总体不错，服务也到位，性价比高。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店设施不错 也十分干净 早餐总体来说不错 比较热乎 但是有的小面包太硬了不太好吃 酒店的服务人员态度也很好', '短评打分': 5}
{'短评内容': '非常好环境一流，非常的干净，服务一流，走的时候还拉了东西服务人员帮忙给收好，真的很用心，非常值得推荐！', '短评打分': 5}
{'短评内容': '早餐不建议吃', '短评打分': 5}
{'短评内容': '特别酷 酷到不行', '短评打分': 5}
{'短评内容': '非常棒的酒店 很喜欢', '短评打分': 5}
{'短评内容': '性价比之王，还等啥', '短评打分': 5}
{'短评内容': '比较优雅时尚的一家酒店 下飞机零下一度，到了酒店，店家立马端上热茶和热毛巾。很到位', '短评打分': 4}
{'短评内容': '位置有点偏，离火车站不到15分钟的车程，走的时候堵车，一个小时都没有到.活活错过了车，废了车票.酒店新开的，很干净，就是空间太小，比三亚的丽风房间小太多了', '短评打分': 5}
{'短评内容': '房间很不错，而且便宜', '短评打分': 5}
{'短评内容': '一般从条件到服务，。。。。。', '短评打分': 3}
{'短评内容': '订了三人间（中宾），虽简陋，倒能接受，有空调热水。可是房间的厨房不能用。  前台有两个小姑娘，俊秀的那个还好，长相一般的那个态度很不友好，慢腾腾不负责任，男士的服务还不错。领路很耐心，问点啥都很热心。价格不算贵。设备不行，打印机不工作了。也没人及时管理。态度再好点就好了。', '短评打分': 3}
{'短评内容': '很好，房间很大，早餐一般', '短评打分': 3}
{'短评内容': '总体还行，就是靠近马路所以晚上稍稍有点吵，WIFI说一直在修，估计就是没有', '短评打分': 5}
{'短评内容': '如果不介意电视只有蓝绿两个色而且颜色还特别恶心 如果不介意发现没有网打电话问前台 前台告诉你搜吧 能搜到就有网 搜不到就没有 如果不介意早上8点半就来打扫 如果不介意因为这之上所有的要求退房 前台要求先把房间空出来再给你退 也就是说你要把大包小卷都拿下来 有房卡就给你 没有你就拿着大包小卷等 就是因为所谓的满房 然而晚上8点半回来的时候看整个楼根本没几个亮灯的房间 啊 房间真满 如果你不介意以上这', '短评打分': 3}
{'短评内容': '房間挺大的，也挺乾淨的。出去了會有打掃的，可是居然在廁所抽煙，還扔了煙頭。有早餐，不問也不告訴在哪吃，幾點吃，反正沒去吃。服務確實挺差的。', '短评打分': 1}
{'短评内容': '房间挺大的，也挺干净，就是服务差点，根本都找不到服务员。', '短评打分': 1}
{'短评内容': '家庭客房性价比还好，但这酒店服务很差，房间很大很冷，我要加两个被子，当时只是十点钟，告诉我客房下班了，经理也下班了，保安上来说没有被子。搞了半天拿了两个毛毯，说是他们盖的，没有被套。惊奇的发现旁边库房里有被子和被罩，但保安说他没有这个权利，我们只好自己拿~很糟糕吧', '短评打分': 1}
{'短评内容': '酒店的整体环境还不错，属于经济实惠型的，这个价位住到这样的房间已经算不错了，房间挺大，还有沙发，能免费上网，酒店楼下就是大连最大的熟食品批发市场，买东西很方便。', '短评打分': 5}
{'短评内容': '我订的是家庭套房，网上介绍说1张单人床120cm*200cm)；2张双人床：200cm*200cm，我们就是看着床的尺寸大才选择的这家酒店，但是入住后发现是两张单人床，一张双人床，前台服务员说家庭套房都是这样的。\n不过房间确实挺大的，还算比较干净，电视太古老。\n另外因为酒店位置离熟食品市场很近，所以打车不是很好打，最起码要等10分钟左右。\n', '短评打分': 5}
{'短评内容': '家庭旅馆，太简陋，不值这个价，下次不会再订', '短评打分': 1}
{'短评内容': '服务好，挺安静 性价比不错 ', '短评打分': 3}
