{'短评内容': '食物还可以，环境也不错', '短评打分': 5}
{'短评内容': '推荐很不错的酒店 房间卫生 够宽四周围绿化很好', '短评打分': 5}
{'短评内容': '安静，虽然有点旧，但还是不错的', '短评打分': 5}
{'短评内容': '住了几次，真还可以', '短评打分': 5}
{'短评内容': '很好。非常干净', '短评打分': 5}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '位置比较偏僻，如果不是在附近办事，或者自驾车，不建议住这边，酒店大堂指示不明显，拖着行李找了一会儿。住的是副楼，明显感觉设施已老旧，不知道主楼情况如何，另外是奔着酒店有泳池订的，可惜最后没时间下水体会。', '短评打分': 3}
{'短评内容': '商务楼的房价便宜，其实算不上五星！主楼绝对够气派！价格也不一样！住商务楼，早餐需要到主楼去吃，步行至少五分钟以上！不太方便', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 4}
{'短评内容': '这次开会入住，酒店设施很好，价格也合适，性价比还是高，推荐入住，离客户公司很近，早餐丰富，就是打车不是很方便。出租车不打表，一口价。', '短评打分': 5}
{'短评内容': '这次开会入住，酒店设施很好，价格也合适，性价比还是高，推荐入住，离客户公司很近，早餐丰富，就是打车不是很方便。出租车不打表，一口价。', '短评打分': 5}
{'短评内容': '环境很好，典雅！', '短评打分': 3}
{'短评内容': '还行， 主要是离机场比较近，我的供应商又在这个方向，我同事也住那边....', '短评打分': 5}
{'短评内容': '窗户完全不能打开，不通风，空气质量不好。热水放了20分钟才出。床还是很舒服，服务也不错。早餐不好吃', '短评打分': 1}
{'短评内容': '酒店不错哈，环境很干净，服务也不错，客人们都比较满意，下次继续住哦。', '短评打分': 5}
{'短评内容': ',很不错的酒店，很宁静没有城市的喧嚣。', '短评打分': 3}
{'短评内容': '酒店在双流，网球中心内部环境很好。酒店也是不错。', '短评打分': 5}
{'短评内容': '酒店环境不错 但不提供机场接车的服务 建议一个五星级酒店可以提供这样的服务。', '短评打分': 5}
{'短评内容': '非常糟糕！！！ 五星级的宾馆，居然一整晚都没有热水！！！！ 客房中心一直说，在等10分钟，在等10分钟。。。。就等到了天亮！ 仍然没有热水。。。。', '短评打分': 1}
{'短评内容': '设施不错，环境幽静，夏天入住特别舒服，下次有机会继续住这里', '短评打分': 5}
{'短评内容': '房间还行，只能说一般，前不着村后不着店的', '短评打分': 3}
{'短评内容': '这里服务一流，房间宽阔，通风很好，设施也很好，感觉挺不错，值得推荐。', '短评打分': 5}
{'短评内容': '服务水平挺不错，房间挺大，挺干净的，设施质量挺好，也挺齐全，住的很舒适。', '短评打分': 5}
{'短评内容': '酒店挺不错，服务卫生都很到位，设施也很好，床很大很舒适，出行也很方便，感觉很满意。', '短评打分': 5}
{'短评内容': '首先我要说这家酒店确实5星级标准硬件，环境非常好，房间非常舒服，前台服务非常好。但对我们经常出差的人来说，美中有太多不足了，比如酒店晚上9点以后，到楼下大厅想喝杯咖啡已经关门，游泳池也关门，房间里的冰柜是空的，在外面奔波一天回来，想按个脚都要赶在晚上9点前，否则就没人了。总而言之，在9点后，你就自己看着办吧。从交通方面来说，酒店不提供接送机服务，成都的出租车司机非常的黑，从机场到酒店其实打表就要2', '短评打分': 1}
{'短评内容': '性价比很高的酒店，下次还会住的。', '短评打分': 5}
{'短评内容': '服务很专业，房间布置的很大气，设施也比较齐全，价格也不贵，值得推荐。', '短评打分': 5}
{'短评内容': '酒店装修的很时尚很有现代气息，感觉很豪华很奢侈。', '短评打分': 5}
{'短评内容': '感觉达到五星级的标准，住着很舒适，值得推荐。', '短评打分': 5}
{'短评内容': '地理位置偏了一些，服务态度可以，主要就是酒店的价格很便宜要是同一类型的酒店都得七八百左右这家酒店的价格还是比较不错的，房间爱你也很好，主要就是位置不是很好酒店我还是能接受的。', '短评打分': 5}
{'短评内容': '分别于10月22日晚和10月24日晚入住了该酒店，当初预定酒店就是因为看中了它在机场的附近，而且号称的&quot;距双流国际机场10分钟车程“，22日晚下飞机已是子夜12点多，一连找了4位出租车司机都说不认识这家酒店，后来好不容易找到一位好心的司机边打电话与总台联系边开车才终于把我们送到了酒店，酒店在网球中心里面，周边一片荒凉、也没什么标示，看样子找到这里是不太容易，而且车程起码要半个小时左右。为', '短评打分': 1}
